"sept_23_29_2013","backing_unsafely","brake_lights_defect_or_improper","bus_lane_driving_in","cell_phone","commercial_veh_on_pkwy","defective_brakes","disobey_sign","equipment_other","fail_to_keep_right","fail_to_signal","fail_to_stop_on_signal","following_too_closely","headlights_defect_or_improper","improper_lights","improper_passing","improper_turn","improper_missing_plates","not_giving_r_of_w_to_pedes","not_giving_r_of_w_to_veh","one_way_street","pavement_markings","safety_belt","school_bus_passing_stopped","speeding","spillback","tinted_windows","truck_routes","u_turn","uninspected","uninsured","unlicensed_operator","unregistered","unsafe_lane_change","other_movers","total_movers"
"Precinct 40","8","15","0","103","0","0","95","13","2","11","37","1","18","1","1","97","0","5","11","5","0","66","0","68","33","257","21","13","0","104","97","14","1","49","1146"
"Precinct 41","1","20","0","23","0","0","121","3","0","2","14","0","22","1","1","26","4","0","1","3","9","45","0","40","3","56","17","6","8","60","44","14","1","13","558"
"Precinct 42","1","11","0","71","0","1","54","0","0","21","45","1","9","1","1","81","2","29","0","1","10","38","1","8","0","61","3","9","4","17","43","9","1","12","545"
"Precinct 43","2","37","0","43","0","0","65","13","0","69","12","0","29","0","0","73","0","18","0","0","13","33","0","20","0","146","7","7","4","21","56","5","11","45","729"
"Precinct 44","5","17","0","69","0","0","256","7","1","8","8","0","4","0","0","5","9","5","1","0","5","116","1","1","2","60","25","7","3","44","52","16","3","50","780"
"Precinct 45","0","15","0","61","1","0","56","0","0","3","22","0","11","0","1","0","2","2","0","0","6","63","0","11","0","29","15","0","6","40","33","12","1","15","405"
"Precinct 46","7","23","4","69","0","0","128","24","0","17","56","0","56","0","0","5","4","13","2","4","7","71","0","9","0","369","4","17","1","131","65","17","0","149","1252"
"Precinct 47","0","16","0","36","0","0","34","0","0","0","11","0","31","0","0","47","0","8","0","0","16","118","1","0","0","44","5","0","6","91","47","24","0","16","551"
"Precinct 48","3","12","0","87","0","0","34","3","2","8","29","0","8","3","0","118","0","0","0","2","24","71","0","72","0","44","9","1","3","24","64","19","0","20","660"
"Precinct 49","0","5","0","54","1","2","38","0","0","15","2","0","2","1","0","5","0","0","0","1","4","75","0","8","0","26","0","0","2","5","36","2","0","3","287"
"Precinct 50","0","5","0","122","0","0","105","0","2","1","3","0","4","0","0","15","0","0","0","2","0","96","0","6","0","49","0","0","0","7","15","13","2","38","485"
"Precinct 52","6","49","3","53","0","0","142","3","0","7","18","1","28","4","0","94","5","2","2","7","10","65","0","20","1","279","0","13","12","44","127","29","0","24","1048"
