"remote","label","routes","transfers","color","express","closed","point_x_city","point_x","point_x_state","point_y","full_fare","senior_discount","_7_day_americans_w_disabilities_act_farecard_access_system_unl","_30_day_americans_w_disabilities_act_ada_farecard_access_system_reduced_metrocard_fare_unl","joint_railroad_tkt","_7_day_unl","_30_day_unl","transitcheck_metrocard","railroad_unlimited_no_trade","transitcheck_metrocard_annual_mc","mail_ride_ezpay_exp","mail_ride_ezpay_unl","airtrain_full_fare","total"
"307","138th St / Grand Concourse (4,5)","4,5","4,5","GREEN","",,"Bronx","POINT (-73.929918 40.813077)","NY","40.813077","8289","215","45","81","3","3437","3490","24","4","221","28","24","6","15867"
"205","149th St / Grand Concourse (4)","4","2,4,5","GREEN","express",,"Bronx","POINT (-73.927406 40.818348)","NY","40.818348","28140","1077","205","367","14","18716","15920","71","9","2662","95","62","78","67416"
"205","149th St / Grand Concourse (2,5)","2,5","2,4,5","RED-GREEN","express",,"Bronx","POINT (-73.927271 40.818553)","NY","40.818553000000001","28140","1077","205","367","14","18716","15920","71","9","2662","95","62","78","67416"
"195","161st St / Yankee Stadium (B,D,4)","B,D,4","B,D,4","GREEN-ORANGE","",,"Bronx","POINT (-73.925847 40.827963)","NY","40.827962999999997","47766","2268","271","885","25","32140","26001","90","57","2124","148","113","168","112056"
"104","167th St (B,D)","B,D","B,D","ORANGE","",,"Bronx","POINT (-73.91768 40.834513)","NY","40.834513000000001","20819","766","111","208","0","15943","10730","63","1","826","38","35","66","49606"
"221","167th St (4)","4","4","GREEN","",,"Bronx","POINT (-73.921296 40.835691)","NY","40.835690999999997","21532","655","90","206","4","16279","10383","37","3","937","33","54","61","50274"
"443","170th St (B,D)","B,D","B,D","ORANGE","",,"Bronx","POINT (-73.913686 40.83884)","NY","40.838839999999998","13800","643","67","207","0","11198","6455","17","4","465","11","26","39","32932"
"243","170th St (4)","4","4","GREEN","",,"Bronx","POINT (-73.917705 40.840203)","NY","40.840203000000002","21955","847","77","232","0","16208","8863","17","0","740","19","33","63","49054"
"386","174th St (2,5)","2,5","2,5","RED-GREEN","",,"Bronx","POINT (-73.887682 40.837349)","NY","40.837349000000003","15316","636","97","236","6","10960","6443","26","3","599","23","36","44","34425"
"253","174th St / 175th St (B,D)","B,D","B,D","ORANGE","",,"Bronx","POINT (-73.910174 40.845914)","NY","40.845914","12580","478","50","113","2","7039","5627","21","4","357","14","44","47","26376"
"309","176th St (4)","4","4","GREEN","",,"Bronx","POINT (-73.911694 40.848646)","NY","40.848646000000002","14119","474","51","186","12","9771","5553","18","2","439","12","9","34","30680"
"237","182nd St / 183rd St (B,D)","B,D","B,D","ORANGE","",,"Bronx","POINT (-73.900271 40.856816)","NY","40.856816000000002","12642","568","40","123","1","6939","4436","21","1","330","11","17","21","25150"
"275","183rd St (4)","4","4","GREEN","",,"Bronx","POINT (-73.903962 40.858367)","NY","40.858367000000001","17402","548","54","102","2","10694","5605","9","5","397","18","14","28","34878"
"157","205th St / Norwood (D)","D","D","ORANGE","",,"Bronx","POINT (-73.879427 40.874979)","NY","40.874979000000003","18222","723","122","296","1","9965","9840","42","17","811","65","34","120","40258"
"365","219th St (2,5)","2,5","2,5","RED-GREEN","",,"Bronx","POINT (-73.8628 40.883579)","NY","40.883578999999997","9171","381","46","81","1","4451","3083","37","0","266","12","6","16","17551"
"366","225th St (2,5)","2,5","2,5","RED-GREEN","",,"Bronx","POINT (-73.860425 40.88781)","NY","40.887810000000002","11884","442","34","122","9","5761","3445","47","0","290","18","12","30","22094"
"40","231st St (1)","1","1","RED","",,"Bronx","POINT (-73.904784 40.87891)","NY","40.878909999999998","18187","1395","150","388","4","9888","12753","67","14","847","126","100","53","43972"
"367","233rd St (2,5)","2,5","2,5","RED-GREEN","",,"Bronx","POINT (-73.857349 40.893393)","NY","40.893393000000003","13007","674","79","209","0","6901","5094","32","1","446","13","14","35","26505"
"306","238th St (1)","1","1","RED","",,"Bronx","POINT (-73.900641 40.885077)","NY","40.885077000000003","9841","459","45","99","0","2837","5623","71","10","345","133","46","40","19549"
"145","241st St / Wakefield (2)","2","2","RED","",,"Bronx","POINT (-73.850375 40.903428)","NY","40.903427999999998","13497","461","82","107","2","6592","3748","29","3","298","11","15","64","24909"
"117","242nd St (1)","1","1","RED","",,"Bronx","POINT (-73.898506 40.889424)","NY","40.889423999999998","13235","559","66","166","5","6150","8270","94","23","597","175","32","37","29409"
"445","3rd Ave / 138th St (6)","6","6","GREEN","express",,"Bronx","POINT (-73.927194 40.810995)","NY","40.810994999999998","17337","735","86","210","5","12350","8182","24","6","703","32","31","35","39736"
"53","3rd Ave / 149th St (2,5)","2,5","2,5","RED-GREEN","express",,"Bronx","POINT (-73.917642 40.816061)","NY","40.816060999999998","45853","1837","352","838","31","36600","24561","91","18","2462","140","55","141","112979"
"362","Allerton Ave (2,5)","2,5","2,5","RED-GREEN","",,"Bronx","POINT (-73.86732 40.865434)","NY","40.865434","14187","665","83","228","4","7512","5423","69","1","355","21","23","52","28623"
"292","Baychester Ave (5)","5","5","GREEN","",,"Bronx","POINT (-73.838591 40.878663)","NY","40.878663000000003","10231","336","12","44","0","3721","3342","37","1","328","12","3","52","18119"
"156","Bedford Park Blvd (B,D)","B,D","B,D","ORANGE","",,"Bronx","POINT (-73.887873 40.872109)","NY","40.872109000000002","13375","735","72","228","6","7341","8242","46","1","535","56","49","34","30720"
"183","Bedford Park Blvd / Lehman College (4)","4","4","GREEN","",,"Bronx","POINT (-73.889781 40.873596)","NY","40.873595999999999","11752","417","58","188","2","6690","6579","30","7","448","58","33","30","26292"
"389","Bronx Park East (2,5)","2,5","2,5","RED-GREEN","",,"Bronx","POINT (-73.868356 40.848991)","NY","40.848990999999998","6734","198","44","83","1","3403","3078","32","1","234","16","1","8","13833"
"446","Brook Ave (6)","6","6","GREEN","",,"Bronx","POINT (-73.919237 40.807568)","NY","40.807568000000003","16453","702","74","144","5","10284","5669","15","10","462","12","45","38","33913"
"428","Buhre Ave (6)","6","6","GREEN","",,"Bronx","POINT (-73.83226 40.847026)","NY","40.847026","9587","454","40","69","0","2799","4106","89","0","339","78","23","28","17612"
"363","Burke Ave (2,5)","2,5","2,5","RED-GREEN","",,"Bronx","POINT (-73.867173 40.871435)","NY","40.871434999999998","9927","480","31","106","0","4853","3415","34","0","358","29","3","13","19249"
"244","Burnside Ave (4)","4","4","GREEN","",,"Bronx","POINT (-73.907372 40.853798)","NY","40.853797999999998","26566","994","142","351","0","18857","11913","47","7","774","31","36","50","59768"
"106","Castle Hill Ave (6)","6","6","GREEN","",,"Bronx","POINT (-73.851642 40.834191)","NY","40.834190999999997","16851","702","112","208","0","9022","8620","61","8","795","55","29","32","36495"
