"date_range","remote","label","routes","transfers","color","express","full_fare","senior_discount","_7_day_americans_w_disabilities_act_farecard_access_system_unl","_30_day_americans_w_disabilities_act_ada_farecard_access_system_reduced_metrocard_fare_unl","joint_railroad_tkt","_7_day_unl","_30_day_unl","transitcheck_metrocard","railroad_unlimited_no_trade","transitcheck_metrocard_annual_mc","mail_ride_ezpay_exp","mail_ride_ezpay_unl","airtrain_full_fare","total","point_x"
,"R450","Longwood Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"(40.816321, -73.89621)"
,"R016","Elder Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"(40.828583, -73.87916)"
,"R104","167th St (B,D)","B,D","B,D","ORANGE","false","0",,,,,,,,,,,,,,"(40.834513, -73.91768)"
,"R119","Fordham Rd (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"(40.862733, -73.901091)"
,"R409","Freeman St (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"(40.83017, -73.891832)"
,"R362","Allerton Ave (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"(40.865434, -73.86732)"
,"R221","167th St (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"(40.835691, -73.921296)"
,"R309","176th St (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"(40.848646, -73.911694)"
,"R222","E 177th St / Parkchester (6)","6","6","GREEN","true","0",,,,,,,,,,,,,,"(40.832927, -73.862713)"
,"R405","Jackson Ave (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"(40.816242, -73.908253)"
,"R146","Hunts Point Ave (6)","6","6","GREEN","true","0",,,,,,,,,,,,,,"(40.820614, -73.891642)"
,"R183","Bedford Park Blvd / Lehman College (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"(40.873596, -73.889781)"
,"R366","225th St (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"(40.88781, -73.860425)"
,"R427","Middletown Rd (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"(40.843473, -73.836766)"
,"R244","Burnside Ave (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"(40.853798, -73.907372)"
,"R431","Dyre Ave / Eastchester (5)","5","5","GREEN","false","0",,,,,,,,,,,,,,"(40.889097, -73.830596)"
,"R039","225th St / Marble Hill (1)","1","1","RED","false","0",,,,,,,,,,,,,,"(40.874631, -73.909724)"
,"R106","Castle Hill Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"(40.834191, -73.851642)"
,"R430","Pelham Pky (5)","5","5","GREEN","false","0",,,,,,,,,,,,,,"(40.85817, -73.856079)"
,"R243","170th St (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"(40.840203, -73.917705)"
,"R325","Whitlock Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"(40.827566, -73.88609)"
,"R195","161st St / Yankee Stadium (B,D,4)","B,D,4","B,D,4","GREEN-ORANGE","false","0",,,,,,,,,,,,,,"(40.827963, -73.925847)"
,"R292","Baychester Ave (5)","5","5","GREEN","false","0",,,,,,,,,,,,,,"(40.878663, -73.838591)"
,"R446","Brook Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"(40.807568, -73.919237)"
,"R117","242nd St (1)","1","1","RED","false","0",,,,,,,,,,,,,,"(40.889424, -73.898506)"
,"R406","Prospect Ave (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"(40.819678, -73.901629)"
,"R145","241st St / Wakefield (2)","2","2","RED","false","0",,,,,,,,,,,,,,"(40.903428, -73.850375)"
,"R361","Pelham Pky (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"(40.857235, -73.867607)"
,"R040","231st St (1)","1","1","RED","false","0",,,,,,,,,,,,,,"(40.87891, -73.904784)"
,"R275","183rd St (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"(40.858367, -73.903962)"
,"R306","238th St (1)","1","1","RED","false","0",,,,,,,,,,,,,,"(40.885077, -73.900641)"
,"R365","219th St (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"(40.883579, -73.8628)"
,"R445","3rd Ave / 138th St (6)","6","6","GREEN","true","0",,,,,,,,,,,,,,"(40.810995, -73.927194)"
,"R156","Bedford Park Blvd (B,D)","B,D","B,D","ORANGE","false","0",,,,,,,,,,,,,,"(40.872109, -73.887873)"
,"R205","149th St / Grand Concourse (4)","4","2,4,5","GREEN","true","0",,,,,,,,,,,,,,"(40.818348, -73.927406)"
,"R364","Gun Hill Rd (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"(40.877411, -73.866518)"
,"R429","Pelham Bay Park (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"(40.852928, -73.827095)"
,"R237","182nd St / 183rd St (B,D)","B,D","B,D","ORANGE","false","0",,,,,,,,,,,,,,"(40.856816, -73.900271)"
,"R133","Mosholu Pky (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"(40.87974, -73.884635)"
,"R407","Intervale Ave (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"(40.822096, -73.896893)"
,"R387","E Tremont Ave / West Farms Sq (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"(40.84009, -73.880427)"
,"R107","Westchester Sq / E Tremont Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"(40.84061, -73.842011)"
,"R326","Zerega Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"(40.836771, -73.846694)"
,"R447","Cypress Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"(40.805548, -73.914465)"
,"R052","Woodlawn (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"(40.886019, -73.87877)"
,"R307","138th St / Grand Concourse (4,5)","4,5","4,5","GREEN","false","0",,,,,,,,,,,,,,"(40.813077, -73.929918)"
,"R386","174th St (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"(40.837349, -73.887682)"
,"R444","Nereid Ave / 238th St (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"(40.898462, -73.854323)"
,"R157","205th St / Norwood (D)","D","D","ORANGE","false","0",,,,,,,,,,,,,,"(40.874979, -73.879427)"
,"R388","E 180th St (2,5)","2,5","2,5","RED-GREEN","true","0",,,,,,,,,,,,,,"(40.841372, -73.874154)"
,"R448","E 143rd St / St Mary's St (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"(40.808193, -73.907838)"
,"R155","Kingsbridge Rd (B,D)","B,D","B,D","ORANGE","false","0",,,,,,,,,,,,,,"(40.866175, -73.894293)"
,"R253","174th St / 175th St (B,D)","B,D","B,D","ORANGE","false","0",,,,,,,,,,,,,,"(40.845914, -73.910174)"
,"R120","Sound View Ave / Morrison Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"(40.829527, -73.874475)"
,"R363","Burke Ave (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"(40.871435, -73.867173)"
,"R329","Morris Park (5)","5","5","GREEN","false","0",,,,,,,,,,,,,,"(40.854472, -73.860359)"
,"R226","Gun Hill Rd (5)","5","5","GREEN","false","0",,,,,,,,,,,,,,"(40.870182, -73.845803)"
,"R408","Simpson St (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"(40.824131, -73.892955)"
,"R205","149th St / Grand Concourse (2,5)","2,5","2,4,5","RED-GREEN","true","0",,,,,,,,,,,,,,"(40.818553, -73.927271)"
,"R112","Fordham Rd (B,D)","B,D","B,D","ORANGE","true","0",,,,,,,,,,,,,,"(40.862416, -73.897102)"
