"precinct","point_x","point_x_city","point_y","point_x_state","backing_unsafely","brake_lights_defect_or_improper","bus_lane_driving_in","cell_phone","commercial_veh_on_pkwy","defective_brakes","disobey_sign","equipment_other","fail_to_keep_right","fail_to_signal","fail_to_stop_on_signal","following_too_closely","headlights_defect_or_improper","improper_lights","improper_passing","improper_turn","improper_missing_plates","not_giving_r_of_w_to_pedes","not_giving_r_of_w_to_veh","one_way_street","pavement_markings","safety_belt","school_bus_passing_stopped","speeding","spillback","tinted_windows","truck_routes","u_turn","uninspected","uninsured","unlicensed_operator","unregistered","unsafe_lane_change","other_movers","total"
" Precinct 46","POINT (-73.909574 40.852747)","Bronx","40.852747000000001","NY","1","118","1","73","0","0","92","24","0","9","30","0","63","8","2","137","8","2","0","2","9","28","1","28","0","208","0","1","0","129","70","23","5","82","1154"
" Precinct 52","POINT (-73.885859 40.872287)","Bronx","40.872287","NY","4","109","0","87","0","1","20","11","1","18","30","0","193","12","0","63","18","2","1","0","11","57","0","0","0","192","3","9","55","56","105","54","4","35","1151"
" Precinct 40","POINT (-73.91647 40.810908)","Bronx","40.810907999999998","NY","4","41","0","83","0","0","18","0","2","18","33","3","76","0","3","98","0","6","15","2","18","55","2","16","1","210","3","13","1","89","77","7","0","52","946"
" Precinct 42","POINT (-73.899108 40.834934)","Bronx","40.834933999999997","NY","5","9","0","87","0","1","94","4","0","7","68","0","23","5","0","166","0","7","4","0","19","54","4","12","0","202","0","0","6","31","43","6","0","8","865"
" Precinct 47","POINT (-73.849068 40.887312)","Bronx","40.887312000000001","NY","0","23","0","70","0","0","41","0","0","0","9","1","50","0","1","46","0","13","0","0","4","135","0","14","0","22","0","0","24","91","52","20","0","240","856"
" Precinct 48","POINT (-73.887517 40.852222)","Bronx","40.852221999999998","NY","2","15","1","134","0","0","42","0","0","3","21","0","1","0","1","83","0","1","1","2","19","79","0","117","2","212","4","3","1","14","59","6","0","7","830"
" Precinct 44","POINT (-73.920798 40.833804)","Bronx","40.833804000000001","NY","0","38","0","84","0","0","162","12","2","3","12","0","26","0","0","8","8","5","0","0","9","126","1","4","4","77","0","1","10","27","57","20","8","4","708"
" Precinct 50","POINT (-73.90144 40.890541)","Bronx","40.890540999999999","NY","1","8","0","131","0","0","123","2","0","4","7","0","7","1","0","11","0","1","0","1","1","184","1","6","0","67","0","0","2","73","25","3","1","22","682"
" Precinct 41","POINT (-73.888165 40.813795)","Bronx","40.813794999999999","NY","1","23","0","27","0","0","124","11","0","10","39","0","30","4","0","57","3","0","0","2","9","11","0","59","0","44","1","21","8","69","51","14","1","5","624"
" Precinct 49","POINT (-73.854576 40.855673)","Bronx","40.855673000000003","NY","1","34","0","35","0","0","179","0","0","32","8","5","26","0","0","29","0","0","2","0","0","39","1","6","0","54","1","1","2","33","46","9","1","16","560"
" Precinct 43","POINT (-73.861463 40.824725)","Bronx","40.824725000000001","NY","5","12","0","16","2","1","50","1","0","24","27","0","46","0","0","44","0","6","1","0","53","62","0","0","0","40","1","40","2","20","29","12","5","27","526"
" Precinct 45","POINT (-73.826079 40.836451)","Bronx","40.836450999999997","NY","0","16","0","41","0","0","74","0","0","3","10","0","22","0","0","0","2","0","1","5","16","24","0","1","0","46","0","0","18","42","37","3","3","8","372"
