"remote","station","routes","transfers","color","express","closed","point_x","point_y","c","d","e","f","g","h","i","j","k","l","m","n","o"
"16","LEXINGTON AVENUE              ","6","6","GREEN","","","(40.828583, -73.87916)","40.828583000000002","21670","828","33","195","85","4242","13849","301","198","869","412","164","152"
"195","161ST STREET-YANKEE STADIUM   ","B,D,4","B,D,4","GREEN-ORANGE","","","(40.827963, -73.925847)","40.827962999999997","44213","1972","324","789","33","29613","23562","81","80","1873","170","113","162"
"40","231ST STREET                  ","1","1","RED","","","(40.87891, -73.904784)","40.878909999999998","15848","1095","124","331","2","8370","11013","52","5","745","122","89","47"
"133","MOSHOLU PARKWAY-JEROME AVE    ","4","4","GREEN","","","(40.87974, -73.884635)","40.879739999999998","19574","1000","112","255","8","10098","9106","25","11","958","77","76","98"
"222","177TH STREET-PARKCHESTER      ","6","6","GREEN","express","","(40.832927, -73.862713)","40.832926999999998","29683","1394","190","460","0","16194","19778","151","4","1604","99","71","107"
"205","149TH ST-GRAND CONCOURSE      ","2,5","2,4,5","RED-GREEN","express","","(40.818553, -73.927271)","40.818553000000001","23238","895","165","272","11","15142","12497","56","16","2370","69","57","58"
"112","FORDHAM RD/GRAND CONCOURSE    ","B,D","B,D","ORANGE","express","","(40.862416, -73.897102)","40.862416000000003","25652","827","126","299","6","16064","11268","47","28","787","63","57","75"
"205","149TH ST-GRAND CONCOURSE      ","4","2,4,5","GREEN","express","","(40.818348, -73.927406)","40.818348","23238","895","165","272","11","15142","12497","56","16","2370","69","57","58"
"119","FORDHAM ROAD & JEROME AVE     ","4","4","GREEN","","","(40.862733, -73.901091)","40.862732999999999","25519","852","141","292","1","17996","10958","54","8","836","59","55","45"
"450","LONGWOOD AVE-SOUTHERN BLVD    ","6","6","GREEN","","","(40.816321, -73.89621)","40.816321000000002","7902","275","50","104","2","5101","3105","5","9","218","15","52","9"
"53","149TH STREET & 3RD AVENUE     ","2,5","2,5","RED-GREEN","express","","(40.816061, -73.917642)","40.816060999999998","40846","1484","314","706","12","33063","21079","82","13","2241","89","51","111"
"361","PELHAM PKWY-WHITE PLAINS RD   ","2,5","2,5","RED-GREEN","","","(40.857235, -73.867607)","40.857235000000003","17107","924","95","244","3","10795","9183","51","1","927","56","45","38"
"39","225TH STREET                  ","1","1","RED","","","(40.874631, -73.909724)","40.874631000000001","10947","593","54","135","13","6001","6695","23","47","488","80","44","42"
"156","BEDFORD PARK BLVD-203RD ST    ","B,D","B,D","ORANGE","","","(40.872109, -73.887873)","40.872109000000002","12432","627","54","223","1","6731","7308","37","0","508","48","43","31"
"253","174TH-175TH ST-GRAND CONCOU   ","B,D","B,D","ORANGE","","","(40.845914, -73.910174)","40.845914","11758","504","43","110","0","6694","4923","17","4","334","13","42","31"
"146","HUNTS PT AVE-SOUTHERN BLVD    ","6","6","GREEN","express","","(40.820614, -73.891642)","40.820613999999999","17542","635","130","284","1","14003","9584","41","0","740","32","41","23"
"446","BROOK AVENUE-138TH STREET     ","6","6","GREEN","","","(40.807568, -73.919237)","40.807568000000003","15234","627","77","127","3","9902","5131","22","7","431","21","41","22"
"221","167TH STREET-RIVER AVENUE     ","4","4","GREEN","","","(40.835691, -73.921296)","40.835690999999997","18765","573","78","176","1","14047","8808","27","4","827","42","38","37"
"154","TREMONT AVE-179TH ST          ","B,D","B,D","ORANGE","express","","(40.84949, -73.90593)","40.849490000000003","16803","602","112","233","0","13423","8451","47","15","699","20","37","51"
"388","EAST 180TH ST-MORRIS PARK     ","2,5","2,5","RED-GREEN","express","","(40.841372, -73.874154)","40.841372","12399","302","72","140","0","8365","6027","28","6","460","50","37","50"
"244","BURNSIDE AVE-JEROME AVE       ","4","4","GREEN","","","(40.853798, -73.907372)","40.853797999999998","22406","777","118","318","3","16370","9282","44","5","710","31","33","49"
"243","170TH STREET-JEROME AVENUE    ","4","4","GREEN","","","(40.840203, -73.917705)","40.840203000000002","18846","654","81","183","3","14325","7535","42","0","647","15","32","44"
"161","KINGSBRIDGE RD-JEROME AVE     ","4","4","GREEN","","","(40.867497, -73.897401)","40.867497","20184","831","96","279","7","13462","9493","37","1","732","25","32","48"
"443","170TH STREET-GRAND CONC.      ","B,D","B,D","ORANGE","","","(40.83884, -73.913686)","40.838839999999998","12752","537","94","173","3","10284","5932","28","3","464","8","31","51"
"387","EAST TREMONT AVENUE-178 ST    ","2,5","2,5","RED-GREEN","","","(40.84009, -73.880427)","40.840089999999996","12818","447","99","231","2","10601","5924","16","3","624","29","31","56"
"155","KINGSBRIDGE RD-196TH ST       ","B,D","B,D","ORANGE","","","(40.866175, -73.894293)","40.866174999999998","16054","548","85","180","4","9755","7085","21","1","600","22","30","35"
"107","WESTCHESTER SQUARE            ","6","6","GREEN","","","(40.84061, -73.842011)","40.840609999999998","10094","508","88","171","2","6367","6123","18","11","378","76","30","58"
"104","167TH ST-GRAND CONCOURSE      ","B,D","B,D","ORANGE","","","(40.834513, -73.91768)","40.834513000000001","18867","736","125","195","5","14892","9508","46","3","758","30","29","63"
"406","PROSPECT AVENUE-WESTCHESTER   ","2,5","2,5","RED-GREEN","","","(40.819678, -73.901629)","40.819678000000003","15837","624","96","217","1","9621","6002","23","4","413","23","29","41"
"106","CASTLE HILL AVENUE            ","6","6","GREEN","","","(40.834191, -73.851642)","40.834190999999997","15161","608","104","167","0","8642","7667","50","9","710","40","29","38"
"447","CYPRESS AVENUE-138TH STREET   ","6","6","GREEN","","","(40.805548, -73.914465)","40.805548000000002","9280","295","50","62","0","5898","2819","15","2","242","19","28","14"
"306","238TH STREET-BROADWAY         ","1","1","RED","","","(40.885077, -73.900641)","40.885077000000003","7894","390","26","82","2","2391","4614","57","4","319","94","28","30"
"183","BEDFORD PARK BLVD-JEROME AV   ","4","4","GREEN","","","(40.873596, -73.889781)","40.873595999999999","10038","357","56","173","0","5977","5001","20","1","338","37","27","26"
"386","174TH STREET-SOUTHERN BLVD    ","2,5","2,5","RED-GREEN","","","(40.837349, -73.887682)","40.837349000000003","14057","459","97","221","8","10281","5492","26","0","540","22","27","41"
"445","138TH STREET-3RD AVE          ","6","6","GREEN","express","","(40.810995, -73.927194)","40.810994999999998","15961","545","119","167","0","11334","7088","28","10","592","25","27","45"
"117","242ND STREET & BROADWAY       ","1","1","RED","","","(40.889424, -73.898506)","40.889423999999998","12369","527","53","162","5","5967","7516","73","10","555","160","26","27"
"157","205TH ST-BAINBRIDGE AVE       ","D","D","ORANGE","","","(40.874979, -73.879427)","40.874979000000003","16521","618","100","244","3","9226","8829","39","17","680","46","26","114"
"226","GUN HILL ROAD-SEYMOUR         ","5","5","GREEN","","","(40.870182, -73.845803)","40.870182","12549","478","80","118","1","6096","4792","85","1","595","29","22","49"
"409","FREEMAN ST-SOUTHERN BLVD      ","2,5","2,5","RED-GREEN","","","(40.83017, -73.891832)","40.830170000000003","10508","366","44","93","1","6155","4435","15","1","255","14","22","27"
"275","183RD STREET-JEROME AVENUE    ","4","4","GREEN","","","(40.858367, -73.903962)","40.858367000000001","15846","455","35","90","0","9826","5051","12","6","340","36","21","18"
"408","SIMPSON ST-WESTCHESTER AVE    ","2,5","2,5","RED-GREEN","","","(40.824131, -73.892955)","40.824131000000001","16223","591","109","206","1","14134","7152","20","1","588","13","19","47"
"120","MORRISON AVE & WESTCHESTER    ","6","6","GREEN","","","(40.829527, -73.874475)","40.829526999999999","13832","453","57","144","0","10054","5280","28","5","376","15","19","23"
"145","241ST ST-WHITE PLAINS RD      ","2","2","RED","","","(40.903428, -73.850375)","40.903427999999998","12462","410","61","105","1","6139","3365","17","1","313","14","19","62"
"364","GUNHILL RD-WHITE PLAINS RD    ","2,5","2,5","RED-GREEN","","","(40.877411, -73.866518)","40.877411000000002","12456","536","100","207","0","8914","5276","21","3","514","27","17","65"
"307","138TH ST-GRAND CONCOURSE      ","4,5","4,5","GREEN","","","(40.813077, -73.929918)","40.813077","7401","187","47","71","2","3056","3050","11","9","227","28","17","15"
"428","BUHRE AVE-WESTCHESTER AVE     ","6","6","GREEN","","","(40.847026, -73.83226)","40.847026","8715","388","24","47","0","2626","3567","75","0","296","77","17","25"
"237","182ND STREET-183RD STREET     ","B,D","B,D","ORANGE","","","(40.856816, -73.900271)","40.856816000000002","11500","479","27","89","1","6488","3899","17","0","322","3","15","20"
"407","INTERVALE 163RD STREET        ","2,5","2,5","RED-GREEN","","","(40.822096, -73.896893)","40.822096000000002","6638","200","33","66","4","4484","2612","1","0","155","12","15","28"
"362","ALLERTON AV-WHITE PLAINS RD   ","2,5","2,5","RED-GREEN","","","(40.865434, -73.86732)","40.865434","12960","563","71","210","1","6709","4779","50","0","359","24","15","62"
"308","MT EDEN AVENUE-JEROME AVE     ","4","4","GREEN","","","(40.844292, -73.914746)","40.844292000000003","13857","525","53","199","2","8341","5086","20","11","427","4","14","20"
"427","MIDDLETOWN ROAD-WESTCHESTER   ","6","6","GREEN","","","(40.843473, -73.836766)","40.843473000000003","5172","201","14","48","0","1014","1726","65","0","141","46","13","10"
"367","233RD ST-WHITE PLAINS ROAD    ","2,5","2,5","RED-GREEN","","","(40.893393, -73.857349)","40.893393000000003","11671","563","64","188","0","6412","4392","29","2","411","13","12","20"
"329","MORRIS PARK-PAULDING AVENUE   ","5","5","GREEN","","","(40.854472, -73.860359)","40.854472000000001","5461","179","9","28","0","1145","2312","41","1","248","39","12","6"
"366","225TH ST-WHITE PLAINS ROAD    ","2,5","2,5","RED-GREEN","","","(40.88781, -73.860425)","40.887810000000002","10834","378","42","113","10","5270","3110","38","0","270","15","12","19"
"430","PELHAM PKWY-ESPLANADE         ","5","5","GREEN","","","(40.85817, -73.856079)","40.858170000000001","6932","295","30","55","0","2201","2841","42","4","362","65","11","16"
"429","PELHAM BAY PARK-BRUCKNER BL   ","6","6","GREEN","","","(40.852928, -73.827095)","40.852927999999999","7241","427","72","236","0","5705","6925","86","1","735","50","11","64"
"405","JACKSON AVENUE-WESTCHESTER    ","2,5","2,5","RED-GREEN","","","(40.816242, -73.908253)","40.816242000000003","12746","477","47","56","5","7463","4353","20","5","407","13","10","16"
"363","BURKE AVE-WHITE PLAINS ROAD   ","2,5","2,5","RED-GREEN","","","(40.871435, -73.867173)","40.871434999999998","8804","444","22","104","6","4444","3020","31","0","343","24","10","6"
"448","EAST 143RD ST-SOUTHERN BLVD   ","6","6","GREEN","","","(40.808193, -73.907838)","40.808193000000003","2205","77","8","26","4","1226","903","5","1","27","7","10","0"
"431","DYRE AVENUE-LIGHT STREET      ","5","5","GREEN","","","(40.889097, -73.830596)","40.889097","10030","262","26","51","3","4462","3630","39","6","364","36","9","45"
"52","WOODLAWN ROAD                 ","4","4","GREEN","","","(40.886019, -73.87877)","40.886018999999997","10558","611","122","257","6","7342","6039","43","9","550","43","8","23"
"309","176TH STREET-JEROME AVENUE    ","4","4","GREEN","","","(40.848646, -73.911694)","40.848646000000002","12659","406","60","176","0","8744","4734","29","3","389","19","7","8"
"365","219TH ST-WHITE PLAINS ROAD    ","2,5","2,5","RED-GREEN","","","(40.883579, -73.8628)","40.883578999999997","8216","285","52","73","0","4135","2653","26","0","222","13","7","16"
"245","ST LAWRENCE AVE-WEST AVE      ","6","6","GREEN","","","(40.831598, -73.86728)","40.831598","10293","369","15","49","0","5840","3189","43","0","218","7","7","30"
"326","ZEREGA AVE-WESTCHESTER AVE    ","6","6","GREEN","","","(40.836771, -73.846694)","40.836770999999999","7035","298","59","61","0","2903","2947","58","5","190","25","5","10"
"292","BAYCHESTER AVE-TILLOTSON      ","5","5","GREEN","","","(40.878663, -73.838591)","40.878663000000003","8630","265","15","43","0","3300","2779","35","1","307","14","5","56"
"449","EAST 149TH ST-SOUTHERN BLVD   ","6","6","GREEN","","","(40.812115, -73.904147)","40.812114999999999","9449","418","53","75","0","7178","4029","27","0","385","3","5","22"
"389","BRONX PARK EAST               ","2,5","2,5","RED-GREEN","","","(40.848991, -73.868356)","40.848990999999998","5992","203","33","58","0","3072","2643","23","2","206","17","2","15"
"325","WHITLOCK AVE-WESTCHESTER AV   ","6","6","GREEN","","","(40.827566, -73.88609)","40.827565999999997","3731","105","6","24","0","2438","1381","5","2","75","0","1","9"
"444","238TH ST-WHITE PLAINS ROAD    ","2,5","2,5","RED-GREEN","","","(40.898462, -73.854323)","40.898462000000002","7642","325","51","54","4","3787","2733","29","1","247","14","1","27"
