"remote","routes","transfers","color","express","closed","point_x","point_y","full_fare","senoir_discount","_7_day_afas_unlimited","_30_d_afas_rmf_unlimited","joint_railroad_ticket","_7_day_unlimited","_30_day_unlimited","transitcheck_metrocard","railroad_unlimited_no_trade","annual_transitcheck_metrocard","mail_ride_ezpay_express","mail_ride_ezpay_unlimited","airtrain_full_fare"
"307","45","45","GREEN",,,"POINT (-73.929918 40.813077)","40.813077","8844","233","43","89","4","3723","3617","18","5","248","24","16","19"
"205","4","245","GREEN","express",,"POINT (-73.927406 40.818348)","40.818348","26554","1007","184","364","18","16791","13783","65","15","2669","83","54","75"
"205","25","245","RED-GREEN","express",,"POINT (-73.927271 40.818553)","40.818553","26554","1007","184","364","18","16791","13783","65","15","2669","83","54","75"
"195",,,"GREEN-ORANGE",,,"POINT (-73.925847 40.827963)","40.827963","50213","2310","356","874","33","32707","26072","92","100","2167","142","109","156"
"104",,,"ORANGE",,,"POINT (-73.91768 40.834513)","40.834513","19943","783","103","203","4","14591","9641","50","5","780","35","30","70"
"221","4","4","GREEN",,,"POINT (-73.921296 40.835691)","40.835691","22794","693","114","188","2","16825","10129","35","5","925","43","38","44"
"443",,,"ORANGE",,,"POINT (-73.913686 40.83884)","40.83884","13161","591","91","176","6","10232","6012","39","5","455","11","23","54"
"243","4","4","GREEN",,,"POINT (-73.917705 40.840203)","40.840203","23004","899","75","226","1","16516","8715","49","1","718","20","37","59"
"386","25","25","RED-GREEN",,,"POINT (-73.887682 40.837349)","40.837349","15342","616","118","258","10","11267","5974","35","3","633","33","29","38"
"253",,,"ORANGE",,,"POINT (-73.910174 40.845914)","40.845914","11921","520","56","143","1","6641","4977","23","5","311","11","50","46"
"309","4","4","GREEN",,,"POINT (-73.911694 40.848646)","40.848646","15132","458","55","225","1","9980","5447","23","5","468","20","5","22"
"237",,,"ORANGE",,,"POINT (-73.900271 40.856816)","40.856816","11594","505","23","86","0","6339","3942","21","0","313","11","18","27"
"275","4","4","GREEN",,,"POINT (-73.903962 40.858367)","40.858367","17648","529","52","90","0","10989","5572","16","5","385","13","18","26"
"157",,,"ORANGE",,,"POINT (-73.879427 40.874979)","40.874979","17251","715","100","260","1","9498","8985","31","21","739","42","20","124"
"365","25","25","RED-GREEN",,,"POINT (-73.8628 40.883579)","40.883579","9306","336","67","79","1","4394","2794","36","1","245","11","6","24"
