"remote","label","cross_st","routes","transfers","color","express","closed","point_x_city","point_x","point_y","point_x_state","full_fare","senior_discount","day_afas_unlimited","day_afas_unlimites","joint_railroad_ticket","day_unlimited_1","day_unlimited_2","transitcheck_metrocard","railroad_unlimited","annual_transitcheck_metrocard","mail_ride_ezpay_express","mail_ride_ezpay_unlimited","airtrain_full_fare"
"307","138th St / Grand Concourse (4,5)","Grand Concourse","4,5","4,5","GREEN"," ",,"Bronx","POINT (-73.929918 40.813077)","40.813077","NY","9030","254","53","104","0","3960","3588","11","7","241","45","23","14"
"205","149th St / Grand Concourse (4)","Grand Concourse","4","2,4,5","GREEN","express",,"Bronx","POINT (-73.927406 40.818348)","40.818348","NY","31834","1264","253","364","22","21162","17933","64","18","2876","76","62","86"
"205","149th St / Grand Concourse (2,5)","Grand Concourse","2,5","2,4,5","RED-GREEN","express",,"Bronx","POINT (-73.927271 40.818553)","40.818553000000001","NY","31834","1264","253","364","22","21162","17933","64","18","2876","76","62","86"
"195","161st St / Yankee Stadium (B,D,4)","River Ave","B,D,4","B,D,4","GREEN-ORANGE"," ",,"Bronx","POINT (-73.925847 40.827963)","40.827962999999997","NY","53163","2701","401","897","38","35434","28025","119","95","2124","160","122","210"
"104","167th St (B,D)","Grand Concourse","B,D","B,D","ORANGE"," ",,"Bronx","POINT (-73.91768 40.834513)","40.834513000000001","NY","19985","869","113","209","1","15450","10392","46","3","768","31","30","73"
"221","167th St (4)","River Ave","4","4","GREEN"," ",,"Bronx","POINT (-73.921296 40.835691)","40.835690999999997","NY","23898","755","105","212","2","18356","11440","50","2","953","39","50","37"
"443","170th St (B,D)","Grand Concourse","B,D","B,D","ORANGE"," ",,"Bronx","POINT (-73.913686 40.83884)","40.838839999999998","NY","15116","747","84","225","6","12626","7287","22","5","548","14","26","52"
"243","170th St (4)","Jerome Ave","4","4","GREEN"," ",,"Bronx","POINT (-73.917705 40.840203)","40.840203000000002","NY","22638","986","96","237","1","17810","9155","44","3","716","19","37","52"
"386","174th St (2,5)","Southern Blvd","2,5","2,5","RED-GREEN"," ",,"Bronx","POINT (-73.887682 40.837349)","40.837349000000003","NY","15490","667","139","263","2","12202","6655","21","3","627","28","33","54"
"253","174th St / 175th St (B,D)","Grand Concourse","B,D","B,D","ORANGE"," ",,"Bronx","POINT (-73.910174 40.845914)","40.845914","NY","12544","551","70","151","1","7676","5726","22","5","342","14","41","49"
"309","176th St (4)","Jerome Ave","4","4","GREEN"," ",,"Bronx","POINT (-73.911694 40.848646)","40.848646000000002","NY","14527","522","83","194","0","10664","5670","26","3","409","10","7","10"
"237","182nd St / 183rd St (B,D)","Grand Concourse","B,D","B,D","ORANGE"," ",,"Bronx","POINT (-73.900271 40.856816)","40.856816000000002","NY","12924","531","48","102","3","7030","4545","12","0","301","31","18","35"
"275","183rd St (4)","Jerome Ave","4","4","GREEN"," ",,"Bronx","POINT (-73.903962 40.858367)","40.858367000000001","NY","17741","563","66","117","1","11400","5984","14","6","400","13","18","15"
"157","205th St / Norwood (D)","Bainbridge Ave","D","D","ORANGE"," ",,"Bronx","POINT (-73.879427 40.874979)","40.874979000000003","NY","18824","871","113","274","2","10730","10254","31","23","751","52","44","119"
"365","219th St (2,5)","White Plains Rd","2,5","2,5","RED-GREEN"," ",,"Bronx","POINT (-73.8628 40.883579)","40.883578999999997","NY","9831","372","55","113","0","4731","3180","36","2","228","8","6","13"
"366","225th St (2,5)","White Plains Rd","2,5","2,5","RED-GREEN"," ",,"Bronx","POINT (-73.860425 40.88781)","40.887810000000002","NY","12465","502","44","132","0","6196","3579","49","0","307","17","18","30"
"40","231st St (1)","Broadway","1","1","RED"," ",,"Bronx","POINT (-73.904784 40.87891)","40.878909999999998","NY","19776","1618","157","458","3","10854","13858","68","6","836","134","93","37"
"367","233rd St (2,5)","White Plains Rd","2,5","2,5","RED-GREEN"," ",,"Bronx","POINT (-73.857349 40.893393)","40.893393000000003","NY","13938","813","116","188","5","7566","5106","48","1","401","26","12","18"
"306","238th St (1)","Broadway","1","1","RED"," ",,"Bronx","POINT (-73.900641 40.885077)","40.885077000000003","NY","10930","602","38","96","5","3321","6110","63","7","361","111","29","50"
"145","241st St / Wakefield (2)","White Plains Rd","2","2","RED"," ",,"Bronx","POINT (-73.850375 40.903428)","40.903427999999998","NY","14179","496","85","104","1","7239","3973","29","4","346","17","19","88"
"117","242nd St (1)","Broadway","1","1","RED"," ",,"Bronx","POINT (-73.898506 40.889424)","40.889423999999998","NY","14177","659","50","179","4","6851","8410","76","10","560","200","32","62"
"445","3rd Ave / 138th St (6)","138th St","6","6","GREEN","express",,"Bronx","POINT (-73.927194 40.810995)","40.810994999999998","NY","18112","804","94","210","4","12869","8589","25","13","680","30","32","29"
"53","3rd Ave / 149th St (2,5)","149th St","2,5","2,5","RED-GREEN","express",,"Bronx","POINT (-73.917642 40.816061)","40.816060999999998","NY","48715","2152","413","834","12","40943","25259","121","15","2455","93","64","124"
"362","Allerton Ave (2,5)","White Plains Rd","2,5","2,5","RED-GREEN"," ",,"Bronx","POINT (-73.86732 40.865434)","40.865434","NY","15135","804","93","250","4","7904","5621","64","0","376","27","19","39"
"292","Baychester Ave (5)","Tillotson Ave","5","5","GREEN"," ",,"Bronx","POINT (-73.838591 40.878663)","40.878663000000003","NY","10627","353","24","46","1","4125","3449","49","1","302","23","7","66"
"156","Bedford Park Blvd (B,D)","Grand Concourse","B,D","B,D","ORANGE"," ",,"Bronx","POINT (-73.887873 40.872109)","40.872109000000002","NY","14457","859","105","244","8","7920","8790","58","2","585","174","50","43"
"183","Bedford Park Blvd / Lehman College (4)","Jerome Ave","4","4","GREEN"," ",,"Bronx","POINT (-73.889781 40.873596)","40.873595999999999","NY","13346","529","69","186","6","7844","7356","23","7","459","50","37","35"
"389","Bronx Park East (2,5)","White Plains Rd","2,5","2,5","RED-GREEN"," ",,"Bronx","POINT (-73.868356 40.848991)","40.848990999999998","NY","7073","231","56","84","0","3685","3198","36","3","223","24","5","20"
"446","Brook Ave (6)","E 138th St","6","6","GREEN"," ",,"Bronx","POINT (-73.919237 40.807568)","40.807568000000003","NY","16780","750","134","140","1","10978","5892","20","6","465","26","34","19"
"428","Buhre Ave (6)","Westchester Ave","6","6","GREEN"," ",,"Bronx","POINT (-73.83226 40.847026)","40.847026","NY","9942","514","38","59","0","2873","4141","85","4","318","87","10","18"
"363","Burke Ave (2,5)","White Plains Rd","2,5","2,5","RED-GREEN"," ",,"Bronx","POINT (-73.867173 40.871435)","40.871434999999998","NY","10314","545","46","114","0","5030","3414","35","1","402","23","8","22"
"244","Burnside Ave (4)","Jerome Ave","4","4","GREEN"," ",,"Bronx","POINT (-73.907372 40.853798)","40.853797999999998","NY","28449","1102","185","375","2","20638","12793","30","6","786","34","40","47"
"106","Castle Hill Ave (6)","Westchester Ave","6","6","GREEN"," ",,"Bronx","POINT (-73.851642 40.834191)","40.834190999999997","NY","17146","782","119","164","2","9576","8667","73","4","751","45","23","19"
"447","Cypress Ave (6)","E 138th St","6","6","GREEN"," ",,"Bronx","POINT (-73.914465 40.805548)","40.805548000000002","NY","10347","321","70","103","2","6305","3432","10","2","226","19","2","24"
"431","Dyre Ave / Eastchester (5)","233rd St","5","5","GREEN"," ",,"Bronx","POINT (-73.830596 40.889097)","40.889097","NY","11949","355","32","69","2","5237","4462","46","4","420","42","25","91"
"448","E 143rd St / St Mary's St (6)","Southern Blvd","6","6","GREEN"," ",,"Bronx","POINT (-73.907838 40.808193)","40.808193000000003","NY","2663","132","2","39","4","1397","1128","13","0","29","12","10","4"
"449","E 149th St (6)","Southern Blvd","6","6","GREEN"," ",,"Bronx","POINT (-73.904147 40.812115)","40.812114999999999","NY","10716","531","57","118","0","8296","4560","41","1","409","5","7","18"
"222","E 177th St / Parkchester (6)","Westchester Ave","6","6","GREEN","express",,"Bronx","POINT (-73.862713 40.832927)","40.832926999999998","NY","35284","1945","213","522","4","19178","23494","190","8","1692","109","81","91"
"388","E 180th St (2,5)","Morris Park Ave","2,5","2,5","RED-GREEN","express",,"Bronx","POINT (-73.874154 40.841372)","40.841372","NY","14424","417","67","146","1","10029","7184","44","5","506","49","35","54"
"387","E Tremont Ave / West Farms Sq (2,5)","Boston Rd","2,5","2,5","RED-GREEN"," ",,"Bronx","POINT (-73.880427 40.84009)","40.840089999999996","NY","15248","592","108","252","3","12785","6829","31","4","618","14","24","70"
"16","Elder Ave (6)","Westchester Ave","6","6","GREEN"," ",,"Bronx","POINT (-73.87916 40.828583)","40.828583000000002","NY","24099","1184","35","182","119","5643","15252","392","187","847","397","160","155"
"112","Fordham Rd (B,D)","Grand Concourse","B,D","B,D","ORANGE","express",,"Bronx","POINT (-73.897102 40.862416)","40.862416000000003","NY","29267","1149","190","363","10","19096","12956","40","51","861","79","67","81"
"119","Fordham Rd (4)","Jerome Ave","4","4","GREEN"," ",,"Bronx","POINT (-73.901091 40.862733)","40.862732999999999","NY","30701","1231","182","338","2","21641","13209","47","10","943","53","37","69"
"409","Freeman St (2,5)","Southern Blvd","2,5","2,5","RED-GREEN"," ",,"Bronx","POINT (-73.891832 40.83017)","40.830170000000003","NY","12514","482","81","104","3","7236","5122","11","1","276","12","31","28"
"226","Gun Hill Rd (5)","Seymour Ave","5","5","GREEN"," ",,"Bronx","POINT (-73.845803 40.870182)","40.870182","NY","14719","615","67","148","0","7389","5896","96","1","647","33","17","46"
"364","Gun Hill Rd (2,5)","White Plains Rd","2,5","2,5","RED-GREEN"," ",,"Bronx","POINT (-73.866518 40.877411)","40.877411000000002","NY","14447","777","120","195","3","10619","6342","30","4","567","24","28","73"
"146","Hunts Point Ave (6)","Southern Blvd","6","6","GREEN","express",,"Bronx","POINT (-73.891642 40.820614)","40.820613999999999","NY","20372","804","126","333","0","16603","11094","29","2","809","46","31","25"
"407","Intervale Ave (2,5)","Westchester Ave","2,5","2,5","RED-GREEN"," ",,"Bronx","POINT (-73.896893 40.822096)","40.822096000000002","NY","7905","287","58","75","7","5324","3045","8","1","178","12","17","14"
"405","Jackson Ave (2,5)","Westchester Ave","2,5","2,5","RED-GREEN"," ",,"Bronx","POINT (-73.908253 40.816242)","40.816242000000003","NY","14043","587","52","91","5","8620","5032","28","6","443","19","14","33"
"155","Kingsbridge Rd (B,D)","Grand Concourse","B,D","B,D","ORANGE"," ",,"Bronx","POINT (-73.894293 40.866175)","40.866174999999998","NY","18282","765","93","164","0","11164","8311","32","5","608","34","29","28"
"161","Kingsbridge Rd (4)","Jerome Ave","4","4","GREEN"," ",,"Bronx","POINT (-73.897401 40.867497)","40.867497","NY","24962","1011","142","335","7","15805","12046","45","2","847","31","34","38"
"450","Longwood Ave (6)","Southern Blvd","6","6","GREEN"," ",,"Bronx","POINT (-73.89621 40.816321)","40.816321000000002","NY","9001","402","39","119","0","5864","3385","20","9","241","18","45","12"
"427","Middletown Rd (6)","Westchester Ave","6","6","GREEN"," ",,"Bronx","POINT (-73.836766 40.843473)","40.843473000000003","NY","6298","236","11","62","1","1251","1981","102","0","151","67","19","17"
"329","Morris Park (5)","Esplanade","5","5","GREEN"," ",,"Bronx","POINT (-73.860359 40.854472)","40.854472000000001","NY","6785","236","9","24","1","1320","2715","61","0","235","49","7","28"
"120","Sound View Ave / Morrison Ave (6)","Westchester Ave","6","6","GREEN"," ",,"Bronx","POINT (-73.874475 40.829527)","40.829526999999999","NY","15949","658","69","156","0","11510","6168","29","5","389","19","21","35"
"133","Mosholu Pky (4)","Jerome Ave","4","4","GREEN"," ",,"Bronx","POINT (-73.884635 40.87974)","40.879739999999998","NY","12788","718","83","132","4","6861","6083","22","4","579","35","43","63"
"308","Mt Eden Ave (4)","Jerome Ave","4","4","GREEN"," ",,"Bronx","POINT (-73.914746 40.844292)","40.844292000000003","NY","16011","717","86","244","0","9662","6223","18","5","502","16","24","25"
"444","Nereid Ave / 238th St (2,5)","White Plains Rd","2,5","2,5","RED-GREEN"," ",,"Bronx","POINT (-73.854323 40.898462)","40.898462000000002","NY","8741","455","63","79","1","4401","3170","33","0","262","12","4","40"
