"remote","point_x","point_y","station","routes","transfers","color","express","full_fare","senior_discount","d_afas_unl","d_afas_rmf_unl","joint_rr_tkt","d_unl_1","d_unl_2","transitchek_metrocard","rr_unl_no_trade","tcmc_annual_mc","mr_ezpay_exp","mr_ezpay_unl","airtrain_full_fare","none"
"307","POINT (-73.929918 40.813077)","40.813077","138TH ST-GRAND CONCOURSE      ","4,5","4,5","GREEN"," ","7036","196","45","70","1","2816","2647","22","5","197","18","16","21",
"53","POINT (-73.927406 40.818348)","40.818348","149TH STREET & 3RD AVENUE     ","4","2,4,5","GREEN","express","38944","1610","313","615","12","26546","17404","87","8","1756","64","41","151",
"205","POINT (-73.927271 40.818553)","40.818553000000001","149TH ST-GRAND CONCOURSE      ","2,5","2,4,5","RED-GREEN","express","22223","831","150","275","19","12745","10335","46","16","2136","34","39","53",
"195","POINT (-73.925847 40.827963)","40.827962999999997","161ST STREET-YANKEE STADIUM   ","B,D,4","B,D,4","GREEN-ORANGE"," ","57421","2049","267","731","38","28374","21800","90","60","1865","163","118","288",
"104","POINT (-73.91768 40.834513)","40.834513000000001","167TH ST-GRAND CONCOURSE      ","B,D","B,D","ORANGE"," ","20293","677","93","164","4","12359","8532","37","5","715","27","20","72",
"221","POINT (-73.921296 40.835691)","40.835690999999997","167TH STREET-RIVER AVENUE     ","4","4","GREEN"," ","20544","616","95","150","0","13314","8547","33","5","790","21","17","57",
"443","POINT (-73.913686 40.83884)","40.838839999999998","170TH STREET-GRAND CONC.      ","B,D","B,D","ORANGE"," ","13474","628","94","152","3","8937","5668","19","8","445","19","20","53",
"243","POINT (-73.917705 40.840203)","40.840203000000002","170TH STREET-JEROME AVENUE    ","4","4","GREEN"," ","20621","758","70","188","1","13072","7260","34","1","639","22","26","64",
"386","POINT (-73.887682 40.837349)","40.837349000000003","174TH STREET-SOUTHERN BLVD    ","2,5","2,5","RED-GREEN"," ","14890","601","94","211","5","8916","5083","16","3","500","28","18","41",
"253","POINT (-73.910174 40.845914)","40.845914","174TH-175TH ST-GRAND CONCOU   ","B,D","B,D","ORANGE"," ","11550","474","58","134","2","5628","4494","17","3","306","15","39","59",
"309","POINT (-73.911694 40.848646)","40.848646000000002","176TH STREET-JEROME AVENUE    ","4","4","GREEN"," ","13705","415","86","164","0","8012","4467","14","1","374","20","7","22",
"260","POINT (-73.900271 40.856816)","40.856816000000002","181ST STREET-ST NICHOLAS AV   ","B,D","B,D","ORANGE"," ","23589","1283","162","288","13","14575","10406","28","8","790","81","68","104",
