"remote","point_x_city","point_x","point_x_state","point_y","station","routes","transfers","color","express","closed","ff","sen_dis","d_afas_unl","d_afas_rmf_unl","joint_rr_tkt","d_unl_1","d_unl_2","tcmc","rr_unl_no_trade","tcmc_annual_mc","mr_ezpay_exp","mr_ezpay_unl","airtrain_ff"
"307","Bronx","POINT (-73.929918 40.813077)","NY","40.813077","138TH ST-GRAND CONCOURSE      ","4,5","4,5","GREEN"," "," ","9075","239","58","86","1","3615","3556","24","9","252","23","13","20"
"53","Bronx","POINT (-73.927406 40.818348)","NY","40.818348","149TH STREET & 3RD AVENUE     ","4","2,4,5","GREEN","express"," ","45916","1910","360","779","21","34909","22789","112","13","2426","81","48","159"
"205","Bronx","POINT (-73.927271 40.818553)","NY","40.818553000000001","149TH ST-GRAND CONCOURSE      ","2,5","2,4,5","RED-GREEN","express"," ","27399","1071","185","327","20","17028","13649","65","14","2630","49","47","91"
"195","Bronx","POINT (-73.925847 40.827963)","NY","40.827962999999997","161ST STREET-YANKEE STADIUM   ","B,D,4","B,D,4","GREEN-ORANGE"," "," ","52153","2410","328","880","38","32030","25759","67","110","2144","166","112","184"
"104","Bronx","POINT (-73.91768 40.834513)","NY","40.834513000000001","167TH ST-GRAND CONCOURSE      ","B,D","B,D","ORANGE"," "," ","20443","782","101","200","4","14533","9684","61","3","759","28","30","85"
"221","Bronx","POINT (-73.921296 40.835691)","NY","40.835690999999997","167TH STREET-RIVER AVENUE     ","4","4","GREEN"," "," ","23068","642","108","200","0","16201","10291","35","2","923","34","38","54"
"443","Bronx","POINT (-73.913686 40.83884)","NY","40.838839999999998","170TH STREET-GRAND CONC.      ","B,D","B,D","ORANGE"," "," ","13452","657","92","166","8","10298","6103","33","5","475","13","25","53"
"243","Bronx","POINT (-73.917705 40.840203)","NY","40.840203000000002","170TH STREET-JEROME AVENUE    ","4","4","GREEN"," "," ","23505","935","80","240","1","16178","8445","46","0","737","23","37","62"
"386","Bronx","POINT (-73.887682 40.837349)","NY","40.837349000000003","174TH STREET-SOUTHERN BLVD    ","2,5","2,5","RED-GREEN"," "," ","16045","607","121","300","5","10974","5972","28","1","609","35","29","54"
"253","Bronx","POINT (-73.910174 40.845914)","NY","40.845914","174TH-175TH ST-GRAND CONCOU   ","B,D","B,D","ORANGE"," "," ","12304","535","68","138","3","6539","5107","21","4","326","13","44","47"
"309","Bronx","POINT (-73.911694 40.848646)","NY","40.848646000000002","176TH STREET-JEROME AVENUE    ","4","4","GREEN"," "," ","14979","513","64","234","0","9837","5306","23","4","439","20","5","22"
"260","Bronx","POINT (-73.900271 40.856816)","NY","40.856816000000002","181ST STREET-ST NICHOLAS AV   ","B,D","B,D","ORANGE"," "," ","23589","1470","183","294","18","16874","11945","29","7","894","99","97","75"
"275","Bronx","POINT (-73.903962 40.858367)","NY","40.858367000000001","183RD STREET-JEROME AVENUE    ","4","4","GREEN"," "," ","17809","547","40","108","0","10322","5433","29","7","346","17","18","31"
"157","Bronx","POINT (-73.879427 40.874979)","NY","40.874979000000003","205TH ST-BAINBRIDGE AVE       ","D","D","ORANGE"," "," ","18348","797","103","250","2","9536","9353","38","22","742","49","30","124"
"365","Bronx","POINT (-73.8628 40.883579)","NY","40.883578999999997","219TH ST-WHITE PLAINS ROAD    ","2,5","2,5","RED-GREEN"," "," ","9634","359","66","89","0","4303","2822","42","0","221","12","10","36"
