"township","gender","count"
"Andover","F","322"
"Andover","M","262"
"Ansonia","F","4838"
"Ansonia","M","3841"
"Ashford","F","661"
"Ashford","M","627"
"Avon","F","1014"
"Avon","M","743"
"Barkhamsted","F","354"
"Barkhamsted","M","339"
"Beacon Falls","F","650"
"Beacon Falls","M","547"
"Berlin","F","2004"
"Berlin","M","1538"
"Bethany","F","335"
"Bethany","M","331"
"Bethel","F","2202"
"Bethel","M","1744"
"Bethlehem","F","354"
"Bethlehem","M","330"
"Bloomfield","F","4027"
"Bloomfield","M","3173"
"Bolton","F","404"
"Bolton","M","377"
"Bozrah","F","341"
"Bozrah","M","319"
"Branford","F","3653"
"Branford","M","2906"
"Bridgeport","F","48604"
"Bridgeport","M","41584"
"Bridgewater","F","106"
"Bridgewater","M","90"
"Bristol","F","12727"
"Bristol","M","10246"
"Brookfield","F","1440"
"Brookfield","M","1194"
"Brooklyn","F","1392"
"Brooklyn","M","1137"
"Burlington","F","539"
"Burlington","M","543"
"Canaan","F","640"
"Canaan","M","458"
"Canterbury","F","742"
"Canterbury","M","592"
"Canton","F","818"
"Canton","M","684"
"Chaplin","F","373"
"Chaplin","M","363"
"Cheshire","F","1970"
"Cheshire","M","1539"
"Chester","F","462"
"Chester","M","353"
"Clinton","F","1694"
"Clinton","M","1366"
"Colchester","F","1990"
"Colchester","M","1580"
"Colebrook","F","75"
"Colebrook","M","71"
"Columbia","F","502"
"Columbia","M","440"
"Cornwall","F","169"
"Cornwall","M","165"
"Coventry","F","1297"
"Coventry","M","1124"
"Cromwell","F","1638"
"Cromwell","M","1282"
"Danbury","F","15502"
"Danbury","M","12812"
"Darien","F","700"
"Darien","M","587"
"Deep River","F","558"
"Deep River","M","492"
"Derby","F","3073"
"Derby","M","2379"
"Durham","F","441"
"Durham","M","400"
"East Granby","F","421"
"East Granby","M","376"
"East Haddam","F","893"
"East Haddam","M","755"
"East Hampton","F","1299"
"East Hampton","M","1140"
"East Hartford","F","15072"
"East Hartford","M","12263"
"East Haven","F","5716"
"East Haven","M","4632"
"East Lyme","F","1955"
"East Lyme","M","1494"
"East Windsor","F","1921"
"East Windsor","M","1535"
"Eastford","F","169"
"Eastford","M","159"
"Easton","F","369"
"Easton","M","333"
"Ellington","F","1377"
"Ellington","M","1093"
"Enfield","F","6299"
"Enfield","M","5035"
"Essex","F","587"
"Essex","M","446"
"Fairfield","F","4459"
"Fairfield","M","3500"
"Farmington","F","2281"
"Farmington","M","1824"
"Franklin","F","202"
"Franklin","M","177"
"Glastonbury","F","2441"
"Glastonbury","M","1786"
"Goshen","F","251"
"Goshen","M","211"
"Granby","F","720"
"Granby","M","599"
"Greenwich","F","4267"
"Greenwich","M","3224"
"Griswold","F","2414"
"Griswold","M","2040"
"Groton","F","5690"
"Groton","M","4440"
"Guilford","F","1632"
"Guilford","M","1330"
"Haddam","F","594"
"Haddam","M","556"
"Hamden","F","9199"
"Hamden","M","7230"
"Hampton","F","303"
"Hampton","M","288"
"Hartford","F","50746"
"Hartford","M","45151"
"Hartland","F","150"
"Hartland","M","150"
"Harwinton","F","528"
"Harwinton","M","395"
"Hebron","F","625"
"Hebron","M","622"
"Kent","F","391"
"Kent","M","288"
"Killingly","F","4260"
"Killingly","M","3413"
"Killingworth","F","394"
"Killingworth","M","390"
"Lebanon","F","815"
"Lebanon","M","1202"
"Ledyard","F","1788"
"Ledyard","M","1507"
"Lisbon","F","571"
"Lisbon","M","474"
"Litchfield","F","936"
"Litchfield","M","771"
"Lyme","F","159"
"Lyme","M","145"
"Madison","F","1096"
"Madison","M","834"
"Manchester","F","12504"
"Manchester","M","10407"
"Mansfield","F","1489"
"Mansfield","M","1142"
"Marlborough","F","503"
"Marlborough","M","411"
"Meriden","F","16244"
"Meriden","M","13488"
"Middlebury","F","636"
"Middlebury","M","446"
"Middlefield","F","396"
"Middlefield","M","321"
"Middletown","F","9256"
"Middletown","M","8138"
"Milford","F","6078"
"Milford","M","4707"
"Monroe","F","1404"
"Monroe","M","1126"
"Montville","F","3006"
"Montville","M","2564"
"Morris","F","279"
"Morris","M","250"
"Naugatuck","F","6567"
"Naugatuck","M","5228"
"New Britain","F","25221"
"New Britain","M","21892"
"New Canaan","F","674"
"New Canaan","M","509"
"New Fairfield","F","1032"
"New Fairfield","M","895"
"New Hartford","F","588"
"New Hartford","M","549"
"New Haven","F","41001"
"New Haven","M","36509"
"New London","F","8967"
"New London","M","7648"
"New Milford","F","3677"
"New Milford","M","3019"
"Newington","F","3976"
"Newington","M","3003"
"Newtown","F","1892"
"Newtown","M","1566"
"Norfolk","F","191"
"Norfolk","M","166"
"North Branford","F","1364"
"North Branford","M","1066"
"North Canaan","F","197"
