"lastupdatedate","town_no","town","towntotalcases","townconfirmedcases","townprobablecases","towncaserate","towntotaldeaths","townconfirmeddeaths","townprobabledeaths","peopletested","ratetested100k","numberoftests","numberofpositives","numberofnegatives","numberofindeterminates"
"2022-06-24T00:00:00.000","1","Andover","514","439","75","15884","6","4","2","2442","75464","9378","590","8780","8"
"2022-06-24T00:00:00.000","2","Ansonia","4911","4222","689","26327","49","39","10","16305","87408","77023","6048","70818","157"
"2022-06-24T00:00:00.000","3","Ashford","744","671","73","17485","5","4","1","3398","79859","13168","896","12259","13"
"2022-06-24T00:00:00.000","4","Avon","3030","2773","257","16579","81","65","16","17103","93582","74898","3563","71253","82"
"2022-06-24T00:00:00.000","5","Barkhamsted","527","490","37","14615","8","7","1","2698","74820","11013","621","10378","14"
"2022-06-24T00:00:00.000","6","Beacon Falls","1306","1163","143","20990","11","11","0","4909","78897","23227","1591","21591","45"
"2022-06-24T00:00:00.000","7","Berlin","4098","3751","347","20053","52","45","7","16527","80872","75260","4960","70217","83"
"2022-06-24T00:00:00.000","8","Bethany","991","901","90","17862","4","3","1","4654","83886","23382","1211","22140","31"
"2022-06-24T00:00:00.000","9","Bethel","4090","3345","745","20657","71","56","15","18113","91480","74508","4926","69498","84"
"2022-06-24T00:00:00.000","10","Bethlehem","620","529","91","18225","3","2","1","2781","81746","11841","749","11070","22"
"2022-06-24T00:00:00.000","11","Bloomfield","4961","4529","432","23389","136","116","20","20226","95356","133754","6221","127332","201"
"2022-06-24T00:00:00.000","12","Bolton","753","654","99","15418","5","4","1","3960","81081","15008","891","14106","11"
"2022-06-24T00:00:00.000","13","Bozrah","611","561","50","22414","7","7","0","2225","81621","10039","736","9294","9"
"2022-06-24T00:00:00.000","14","Branford","5949","5355","594","21323","82","73","9","25532","91513","124606","7159","117307","140"
"2022-06-24T00:00:00.000","15","Bridgeport","42752","38547","4205","29607","450","370","80","140154","97060","687262","55043","631139","1080"
"2022-06-24T00:00:00.000","16","Bridgewater","201","134","67","12294","0","0","0","1426","87217","5285","241","5038","6"
"2022-06-24T00:00:00.000","17","Bristol","14449","12422","2027","24103","211","172","39","52458","87507","273117","17897","254870","350"
"2022-06-24T00:00:00.000","18","Brookfield","3724","2987","737","21941","27","20","7","15831","93272","62794","4446","58288","60"
"2022-06-24T00:00:00.000","19","Brooklyn","2118","2007","111","25604","18","18","0","7571","91526","45912","2584","43300","28"
"2022-06-24T00:00:00.000","20","Burlington","1750","1498","252","18034","8","6","2","7907","81482","33601","2101","31462","38"
"2022-06-24T00:00:00.000","21","Canaan","29","28","1","2754","0","0","0","357","33903","1284","36","1248","0"
"2022-06-24T00:00:00.000","22","Canterbury","1134","1048","86","22327","4","4","0","4085","80429","17034","1354","15664","16"
"2022-06-24T00:00:00.000","23","Canton","1463","1317","146","14268","39","32","7","8273","80681","35080","1690","33363","27"
"2022-06-24T00:00:00.000","24","Chaplin","445","415","30","19875","3","3","0","1792","80036","7523","530","6991","2"
"2022-06-24T00:00:00.000","25","Cheshire","6364","5640","724","21993","80","66","14","26353","91070","167177","7639","159390","148"
"2022-06-24T00:00:00.000","26","Chester","615","562","53","14598","19","16","3","3516","83456","17261","768","16468","25"
"2022-06-24T00:00:00.000","27","Clinton","2653","2476","177","20526","15","10","5","11835","91567","49167","3216","45893","58"
"2022-06-24T00:00:00.000","28","Colchester","3149","2824","325","19919","42","29","13","13883","87817","63386","3810","59502","74"
"2022-06-24T00:00:00.000","29","Colebrook","146","137","9","10429","1","1","0","857","61214","3665","168","3493","4"
"2022-06-24T00:00:00.000","30","Columbia","973","859","114","18089","13","10","3","4482","83324","17972","1153","16804","15"
"2022-06-24T00:00:00.000","31","Cornwall","190","181","9","13950","2","0","2","1404","103084","5033","218","4812","3"
"2022-06-24T00:00:00.000","32","Coventry","2116","1828","288","17055","11","10","1","9938","80100","38474","2482","35951","41"
"2022-06-24T00:00:00.000","33","Cromwell","2969","2654","315","21454","66","42","24","12614","91148","66660","3642","62929","89"
"2022-06-24T00:00:00.000","34","Danbury","21006","18829","2177","24802","218","181","37","80853","95465","322956","25786","296675","495"
"2022-06-24T00:00:00.000","35","Darien","3887","3425","462","17889","13","12","1","22639","104193","91960","4723","87157","80"
"2022-06-24T00:00:00.000","36","Deep River","756","707","49","17016","1","1","0","3837","86361","15651","915","14716","20"
"2022-06-24T00:00:00.000","37","Derby","3124","2655","469","25318","30","24","6","10968","88889","50108","3824","46191","93"
"2022-06-24T00:00:00.000","38","Durham","1469","1331","138","20502","9","8","1","6189","86378","29843","1778","28037","28"
