"town_code","town","next_reval_year"
"1","Andover","2016"
"2","Ansonia","2017"
"3","Ashford","2016"
"4","Avon","2013"
"5","Barkhamsted","2013"
"6","Beacon Falls","2016"
"7","Berlin","2017"
"8","Bethany","2013"
"9","Bethel","2017"
"10","Bethlehem","2013"
"11","Bloomfield","2014"
"12","Bolton","2013"
"13","Bozrah","2017"
"14","Branford","2014"
"15","Bridgeport","2013"
"16","Bridgewater","2016"
"17","Bristol","2017"
"18","Brookfield","2016"
"19","Brooklyn","2015"
"20","Burlington","2013"
"21","Canaan","2017"
"22","Canterbury","2015"
"23","Canton","2013"
"24","Chaplin","2013"
"25","Cheshire","2013"
"26","Chester","2013"
"27","Clinton","2015"
"28","Colchester","2016"
"29","Colebrook","2015"
"30","Columbia","2016"
"31","Cornwall","2016"
"32","Coventry","2014"
"33","Cromwell","2017"
"34","Danbury","2017"
"35","Darien","2013"
"36","Deep River","2015"
"37","Derby","2015"
"38","Durham","2015"
"39","Eastford","2013"
"40","East Granby","2013"
"41","East Haddam","2017"
"42","East Hampton","2015"
"43","East Hartford","2016"
"44","East Haven","2016"
"45","East Lyme","2016"
"46","Easton","2016"
"47","East Windsor","2017"
"48","Ellington","2015"
"49","Enfield","2016"
"50","Essex","2013"
"51","Fairfield","2015"
"52","Farmington","2017"
"53","Franklin","2013"
"54","Glastonbury","2017"
"55","Goshen","2017"
"56","Granby","2017"
"57","Greenwich","2015"
"58","Griswold","2016"
"59","Groton","2016"
"60","Guilford","2013"
"61","Haddam","2015"
"62","Hamden","2015"
"63","Hampton","2013"
"64","Hartford","2016"
"65","Hartland","2015"
"66","Harwinton","2013"
"67","Hebron","2016"
"68","Kent","2013"
"69","Killingly","2013"
"70","Killingworth","2016"
"71","Lebanon","2013"
"72","Ledyard","2015"
"73","Lisbon","2016"
"74","Litchfield","2013"
"75","Lyme","2013"
"76","Madison","2013"
"77","Manchester","2016"
"78","Mansfield","2014"
"79","Marlborough","2015"
"80","Meriden","2016"
"81","Middlebury","2016"
"82","Middlefield","2016"
"83","Middletown","2013"
"84","Milford","2016"
"85","Monroe","2014"
"86","Montville","2016"
"87","Morris","2014"
"88","Naugatuck","2017"
"89","New Britain","2017"
"90","New Canaan","2013"
"91","New Fairfield","2014"
"92","New Hartford","2013"
"93","New Haven","2016"
"94","Newington","2015"
"95","New London","2013"
"96","New Milford","2015"
"97","Newtown","2017"
"98","Norfolk","2013"
"99","North Branford","2015"
"100","North Canaan","2017"
"101","North Haven","2014"
"102","North Stonington","2015"
"103","Norwalk","2013"
"104","Norwich","2013"
"105","Old Lyme","2014"
"106","Old Saybrook","2013"
"107","Orange","2016"
"108","Oxford","2015"
"109","Plainfield","2017"
"110","Plainville","2016"
"111","Plymouth","2016"
"112","Pomfret","2015"
"113","Portland","2016"
"114","Preston","2017"
"115","Prospect","2015"
"116","Putnam","2014"
"117","Redding","2017"
"118","Ridgefield","2017"
"119","Rocky Hill","2013"
"120","Roxbury","2017"
"121","Salem","2016"
"122","Salisbury","2015"
"123","Scotland","2013"
"124","Seymour","2015"
"125","Sharon","2013"
"126","Shelton","2016"
"127","Sherman","2013"
"128","Simsbury","2017"
"129","Somers","2014"
"130","Southbury","2017"
"131","Southington","2015"
"132","South Windsor","2017"
"133","Sprague","2017"
"134","Stafford","2015"
"135","Stamford","2017"
"136","Sterling","2017"
"137","Stonington","2017"
"138","Stratford","2014"
"139","Suffield","2013"
"140","Thomaston","2016"
"141","Thompson","2014"
"142","Tolland","2014"
"143","Torrington","2014"
"144","Trumbull","2015"
"145","Union","2013"
"146","Vernon","2016"
"147","Voluntown","2015"
"148","Wallingford","2015"
"149","Warren","2017"
"150","Washington","2013"
"151","Waterbury","2017"
"152","Waterford","2017"
"153","Watertown","2013"
"154","Westbrook","2016"
"155","West Hartford","2016"
"156","West Haven","2015"
"157","Weston","2013"
"158","Westport","2015"
"159","Wethersfield","2013"
"160","Willington","2013"
"161","Wilton","2017"
"162","Winchester","2017"
"163","Windham","2013"
"164","Windsor","2013"
"165","Windsor Locks","2013"
"166","Wolcott","2016"
"167","Woodbridge","2014"
"168","Woodbury","2013"
"169","Woodstock","2016"
