"year_of_birth","gender","first_name","count"
"1858","FEMALE",,"1"
"1859","FEMALE",,"3"
"1868","NOT STATED",,"1"
"1873","MALE",,"46"
"1874","FEMALE",,"145"
"1875","FEMALE",,"103"
"1876","MALE",,"55"
"1877","FEMALE",,"67"
"1878","MALE",,"183"
"1879","FEMALE",,"163"
"1880","MALE",,"93"
"1881","FEMALE",,"22"
"1882","NOT STATED",,"31"
"1883","FEMALE",,"35"
"1884","FEMALE",,"46"
"1885","FEMALE",,"120"
"1886","MALE",,"83"
"1887","MALE",,"130"
"1888","FEMALE",,"135"
"1889","MALE",,"160"
"1890","NOT STATED",,"109"
"1891","MALE",,"62"
"1892","FEMALE",,"17"
"1893","MALE",,"15"
"1894","MALE",,"10"
"1895","NOT STATED",,"56"
"1896","MALE",,"73"
"1897","FEMALE",,"65"
"1898","FEMALE",,"69"
"1899","FEMALE",,"100"
"1900","FEMALE",,"452"
"1901","FEMALE",,"68"
"1902","MALE",,"52"
"1903","MALE",,"102"
"1904","MALE",,"51"
"1905","MALE",,"72"
"1906","MALE",,"98"
"1907","MALE",,"88"
"1908","FEMALE",,"87"
"1909","MALE",,"88"
"1910","FEMALE",,"74"
"1911","MALE",,"79"
"1912","FEMALE",,"101"
"1913","MALE",,"76"
"1914","MALE",,"90"
"1915","MALE",,"92"
"1916","FEMALE",,"85"
"1917","FEMALE",,"44"
"1918","MALE",,"31"
"1919","FEMALE",,"41"
"1920","FEMALE",,"29"
"1921","FEMALE",,"27"
"1922","MALE",,"34"
"1923","FEMALE",,"4"
"1924","MALE",,"12"
"1925","MALE",,"11"
"1926","FEMALE",,"6"
"1927","FEMALE",,"7"
"1928","MALE",,"13"
"1929","FEMALE",,"11"
"1931","FEMALE",,"4"
"1932","FEMALE",,"5"
"1933","MALE",,"6"
"1934","MALE",,"3"
"1935","FEMALE",,"6"
"1924","MALE","A","1"
"1925","MALE","AARON","1"
"1894","FEMALE","ABBIE","1"
"1876","FEMALE","ABBY","1"
"1912","MALE","ABERTO","1"
"1918","MALE","ABIE","1"
"1906","MALE","ABRAHAM","1"
"1930","MALE","ACEA","1"
"1913","MALE","ACHILLE","1"
"1882","FEMALE","ADA","1"
"1886","FEMALE","ADA","1"
"1894","FEMALE","ADA","1"
"1896","FEMALE","ADA","1"
"1900","FEMALE","ADA","1"
