"bond_series","original_loan_amount","loan_purchase_date","purchase_year","original_ltv","loan_type","sonyma_dpal_ccal_amount","original_term","county","fips_code","of_units","property_type","housing_type","household_size"
"HMB Warehouse","117370","2016-06-30T00:00:00.000","2016","97","Conventional","3630","360","Schuyler","36097","1 Family","Detached","Existing","1"
"HMB Warehouse","228800","2016-06-30T00:00:00.000","2016","80","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","133860","2016-06-30T00:00:00.000","2016","97.00","Conventional","0","360","Livingston","36051","1 Family","Detached","Existing","2"
"HMB Warehouse","260800","2016-06-30T00:00:00.000","2016","80.00","Conventional","9780","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","139500","2016-06-30T00:00:00.000","2016","90.00","Conventional","0","360","Nassau","36059","1 Family","Cooperative","Existing","1"
"HMB Warehouse","339500","2016-06-30T00:00:00.000","2016","97.00","Conventional","10500","360","Bronx","36005","1 Family","Attached","Existing","1"
"HMB Warehouse","188000","2016-06-30T00:00:00.000","2016","80","Conventional","0","360","Nassau","36059","1 Family","Cooperative","Existing","1"
"HMB Warehouse","32883","2016-06-30T00:00:00.000","2016","97.00","Conventional","3000","360","Chautauqua","36013","1 Family","Detached","Existing","5"
"HMB Warehouse","151499","2016-06-30T00:00:00.000","2016","97","Conventional","4685","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","83000","2016-06-30T00:00:00.000","2016","89","Conventional","3000","360","Chautauqua","36013","1 Family","Detached","Existing","1"
"HMB Warehouse","95220","2016-06-30T00:00:00.000","2016","90","Conventional","0","360","Chemung","36015","1 Family","Detached","Existing","4"
"HMB Warehouse","63050","2016-06-30T00:00:00.000","2016","97.00","Conventional","3000","360","Chautauqua","36013","1 Family","Detached","Existing","4"
"HMB Warehouse","120280","2016-06-30T00:00:00.000","2016","97.00","Conventional","3720","360","Erie","36029","1 Family","Detached","Existing","4"
"HMB Warehouse","143560","2016-06-30T00:00:00.000","2016","97.00","Conventional","4440","360","Rockland","36087","1 Family","Condominium","Existing","1"
"HMB Warehouse","233000","2016-06-30T00:00:00.000","2016","89","Conventional","7890","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","261900","2016-06-30T00:00:00.000","2016","97","Conventional","8100","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","92700","2016-06-30T00:00:00.000","2016","90","Conventional","3090","360","Westchester","36119","1 Family","Cooperative","Existing","2"
"HMB Warehouse","50000","2016-06-30T00:00:00.000","2016","38.49","Conventional","0","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","210000","2016-06-30T00:00:00.000","2016","50.50","Conventional","0","360","Kings","36047","1 Family","Condominium","New","1"
"HMB Warehouse","74150","2016-06-30T00:00:00.000","2016","78","Conventional","0","360","Rensselaer","36083","1 Family","Detached","Existing","3"
"HMB Warehouse","190000","2016-06-30T00:00:00.000","2016","62.50","Conventional","0","360","Kings","36047","1 Family","Cooperative","Existing","1"
"HMB Warehouse","290000","2016-06-30T00:00:00.000","2016","79.89","Conventional","0","360","Suffolk","36103","1 Family","Detached","New","2"
"HMB Warehouse","224000","2016-06-30T00:00:00.000","2016","80.00","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","78350","2016-06-30T00:00:00.000","2016","87.06","Conventional","2700","360","Bronx","36005","1 Family","Cooperative","Existing","2"
"HMB Warehouse","101850","2016-06-30T00:00:00.000","2016","97","Conventional","0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","110000","2016-06-30T00:00:00.000","2016","25.53","Conventional","0","360","Kings","36047","1 Family","Condominium","New","1"
"HMB Warehouse","165000","2016-06-30T00:00:00.000","2016","82.50","Conventional","6000","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","127300","2016-06-30T00:00:00.000","2016","95","Conventional","0","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","269950","2016-06-30T00:00:00.000","2016","61","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","72700","2016-06-30T00:00:00.000","2016","96.93","Conventional","3000","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","112000","2016-06-23T00:00:00.000","2016","94.92","Conventional","0","360","Niagara","36063","1 Family","Detached","Existing","1"
"HMB Warehouse","293425","2016-06-23T00:00:00.000","2016","96.46","Conventional","8850","360","Suffolk","36103","1 Family","Detached","Existing","1"
"HMB Warehouse","132000","2016-06-23T00:00:00.000","2016","80.00","Conventional","0","360","Delaware","36025","1 Family","Detached","Existing","2"
"HMB Warehouse","154860","2016-06-23T00:00:00.000","2016","97.00","Conventional","4789","360","Rockland","36087","1 Family","Detached","Existing","2"
"HMB Warehouse","354350","2016-06-23T00:00:00.000","2016","95","Conventional","11190","360","Nassau","36059","2 Family","Attached","Existing","1"
"HMB Warehouse","161000","2016-06-23T00:00:00.000","2016","82.56","Conventional","5850","360","Suffolk","36103","1 Family","Detached","Existing","4"
"HMB Warehouse","31701","2016-06-23T00:00:00.000","2016","58","Conventional","1650","360","Suffolk","36103","1 Family","Cooperative","Existing","1"
"HMB Warehouse","323034","2016-06-23T00:00:00.000","2016","97","Conventional","10027","360","Suffolk","36103","1 Family","Detached","Existing","5"
"HMB Warehouse","166200","2016-06-23T00:00:00.000","2016","93.90","Conventional","0","360","Dutchess","36027","1 Family","Detached","Existing","2"
"HMB Warehouse","138710","2016-06-23T00:00:00.000","2016","97","Conventional","0","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","152000","2016-06-23T00:00:00.000","2016","80","Conventional","0","360","Suffolk","36103","1 Family","Cooperative","Existing","2"
