"id","region","pin","county","cont_no","sh","descript","bin","length","fa_code","fa_proj","est_total","bid_price","executed","asbuiltsdone","numbersheets","dot_quad_no","prop_only","e_spec_date","has_as_let","is_permit","route","loc_municipality","url"
"4681487","1",,"Albany","P 1-03-0176",,"Albany Ring #3 Wolf Road Connection",,,,,,,,"Yes","0",,"No",,"No","Yes",,,"https://rpol.dot.ny.gov/?id=P-1-03-0176"
"4674431","2",,"MONTGOMERY","RC 1620","0107","BRIDGE;",,,,,,,"1927-04-28T00:00:00.000","Yes","3",,"No",,"No","No","NY30A","T-Glen","https://rpol.dot.ny.gov/?id=RC-1620"
"4651403","4",,"Monroe","P 2019-04-74588",,"Laurelton Bayside Animal Hospital",,,,,,,,"Yes","1",,"No",,"Yes","Yes",,,"https://rpol.dot.ny.gov/?id=P-2019-04-74588"
"4651143",,"X731.45.121","BRONX","D900040","I-278",,,,,,"193",,,"No","0",,"No",,"No","No",,,"https://rpol.dot.ny.gov/?id=D900040"
"4663737","8",,"ULSTER","RC 66-125",,"TREE REMOVAL;",,,,,"0.025","19960.00","1966-09-23T00:00:00.000","Yes","5",,"No",,"No","No",,,"https://rpol.dot.ny.gov/?id=RC-66-125"
"4666477","3","3700.02","ONONDAGA","A72-3-1",,"Emergency Repairs.",,,,,"0.312","335000.00","1972-11-23T00:00:00.000","No",,,"Yes",,"No","No",,,"https://rpol.dot.ny.gov/?id=A72-3-1"
"4666476","4","4700.16","LIVINGSTON","A72-4-1",,"Emergency Repairs.",,,,"ER-118(2)","0.104","132450.00","1972-10-14T00:00:00.000","No",,,"Yes",,"No","No",,,"https://rpol.dot.ny.gov/?id=A72-4-1"
"4667603","4","4700.34","LIVINGSTON","A72-4-2",,"Emergency Repairs.",,,,"ER-118(4)","0.059","71800.00","1972-10-11T00:00:00.000","No",,,"Yes",,"No","No",,,"https://rpol.dot.ny.gov/?id=A72-4-2"
"4668676","4","4700.21","LIVINGSTON","A72-4-3",,"Emergency Repairs.",,,,,"0.022","32000.00","1972-10-18T00:00:00.000","No",,,"Yes",,"No","No",,,"https://rpol.dot.ny.gov/?id=A72-4-3"
"4667886","11",,"BRONX","BE 62-2","BE","LANDSCAPING,;RT. I-95;",,"1.55",,"I-95-1(51)","0.094","59791.60","1962-09-26T00:00:00.000","Yes","18","215C","No",,"No","No",,,"https://rpol.dot.ny.gov/?id=BE-62-2"
"4667679","11",,"BRONX","BE 65-1","BE","MISC.,;RT. I-95;",,"2.42",,"I-95-1(62)","0.048","37185.00","1965-03-25T00:00:00.000","Yes","7","215C","No",,"No","No",,,"https://rpol.dot.ny.gov/?id=BE-65-1"
"4673302","9",,"BROOME","CR 64-4",,"CEMETERY REMOVAL,;RT. 17;",,,,,"0.009","8340.00","1964-12-15T00:00:00.000","Yes","2",,"No",,"No","No",,,"https://rpol.dot.ny.gov/?id=CR-64-4"
"4671341","8",,"COLUMBIA","CR 65-1","0615","CEMETERY REMOVAL;",,,,,"0.005","3980.00","1965-07-08T00:00:00.000","No",,,"Yes",,"No","No","980C, NY22, US20","T-New Lebanon","https://rpol.dot.ny.gov/?id=CR-65-1"
"4671340","5",,"CATTARAUGUS","CR 68-1","STE","CEMETERY REMOVAL,;RT. 17, SECT. 5S;",,,,,"0.008","5380.00","1968-05-08T00:00:00.000","No",,,"Yes",,"No","No",,,"https://rpol.dot.ny.gov/?id=CR-68-1"
"4659591","4","4158.05","WYOMING","D250460","68--09","A.C. RESURFACING;",,,,,,"706905.00","1983-04-11T00:00:00.000","No",,,"Yes",,"No","No","NY77","T-Java, T-Sheldon","https://rpol.dot.ny.gov/?id=D250460"
"4653965","7","M704.00","LEWIS","D250616","1490","BRIDGE PAINTING;",,,,,,"11669.00","1983-06-24T00:00:00.000","No",,,"Yes",,"No","No","NY177","T-Pinckney","https://rpol.dot.ny.gov/?id=D250616"
"4655566","9","M904.00","CHENANGO, DELAWARE","D250646",,"BRIDGE PAINTING ON RT. 41, 30;",,,,,,"118363.41","1983-07-28T00:00:00.000","No",,,"Yes",,"No","No",,,"https://rpol.dot.ny.gov/?id=D250646"
"4654369","7","7720.40","CLINTON","D250815",,"COMFORT STATION; PLUMBING",,,,"IR-87-4(64)",,"66600.00","1984-01-24T00:00:00.000","Yes","21",,"No",,"No","No",,,"https://rpol.dot.ny.gov/?id=D250815"
"4652521","1","9682.22","GREENE","D96822",,"EMERGENCY REPAIRS ON RT. 23A;",,,,,,"9500.00","1981-05-01T00:00:00.000","No",,,"Yes",,"No","No",,,"https://rpol.dot.ny.gov/?id=D96822"
