"station","route","lanes","months_used","count_date","direction","class1","class2","class3","class4","class5","class6","class7","class8","class9","class10","class11","class12","class13","latitude","longitude","location_1"
"280","McGUINNESS BLVD","4","Apr-Jun, Nov-Dec","2013-12-31T00:00:00.000","NORTH","49","12701","2240","32","432","207","10","26","174","5","0","0","3","40.72549","-73.9488","(40.72549, -73.9488)"
"280","McGUINNESS BLVD","4","Apr-Jun, Nov-Dec","2013-12-31T00:00:00.000","SOUTH","81","13894","2254","26","398","229","15","32","165","1","2","0","1","40.72549","-73.9488","(40.72549, -73.9488)"
"280","McGUINNESS BLVD","4","Apr-Jun, Nov-Dec","2013-12-30T00:00:00.000","SOUTH","77","13466","2900","34","484","299","20","38","198","15","0","1","2","40.72549","-73.9488","(40.72549, -73.9488)"
"280","McGUINNESS BLVD","4","Apr-Jun, Nov-Dec","2013-12-30T00:00:00.000","NORTH","49","12140","2617","28","493","196","21","49","205","6","3","0","4","40.72549","-73.9488","(40.72549, -73.9488)"
"280","McGUINNESS BLVD","4","Apr-Jun, Nov-Dec","2013-12-27T00:00:00.000","SOUTH","60","13043","2501","32","461","301","15","29","186","4","1","0","2","40.72549","-73.9488","(40.72549, -73.9488)"
"280","McGUINNESS BLVD","4","Apr-Jun, Nov-Dec","2013-12-27T00:00:00.000","NORTH","63","12242","2342","40","446","237","26","37","177","14","1","2","2","40.72549","-73.9488","(40.72549, -73.9488)"
"280","McGUINNESS BLVD","4","Apr-Jun, Nov-Dec","2013-12-26T00:00:00.000","NORTH","73","10453","2104","25","408","187","11","28","175","5","3","0","2","40.72549","-73.9488","(40.72549, -73.9488)"
"280","McGUINNESS BLVD","4","Apr-Jun, Nov-Dec","2013-12-26T00:00:00.000","SOUTH","49","11378","2283","27","409","234","9","24","169","6","0","1","0","40.72549","-73.9488","(40.72549, -73.9488)"
"280","McGUINNESS BLVD","4","Apr-Jun, Nov-Dec","2013-12-25T00:00:00.000","NORTH","12","6960","497","26","46","9","1","4","50","0","0","0","0","40.72549","-73.9488","(40.72549, -73.9488)"
"280","McGUINNESS BLVD","4","Apr-Jun, Nov-Dec","2013-12-25T00:00:00.000","SOUTH","21","7289","389","24","39","15","1","3","35","0","0","0","0","40.72549","-73.9488","(40.72549, -73.9488)"
"280","McGUINNESS BLVD","4","Apr-Jun, Nov-Dec","2013-12-24T00:00:00.000","NORTH","48","11876","2092","23","361","166","7","21","133","2","5","0","0","40.72549","-73.9488","(40.72549, -73.9488)"
"280","McGUINNESS BLVD","4","Apr-Jun, Nov-Dec","2013-12-24T00:00:00.000","SOUTH","64","13888","2200","37","360","189","8","32","115","0","1","0","0","40.72549","-73.9488","(40.72549, -73.9488)"
"280","McGUINNESS BLVD","4","Apr-Jun, Nov-Dec","2013-12-23T00:00:00.000","NORTH","51","12773","2769","27","503","214","26","42","201","8","3","0","4","40.72549","-73.9488","(40.72549, -73.9488)"
