"record_type","color","registration_class"
"VEH","GY","3142486"
"VEH","WH","2263757"
"VEH","BK","2262913"
"VEH","BL","1308236"
"VEH","RD","1077055"
"VEH","GR","378457"
"VEH","TN","196317"
"VEH","BR","158853"
"VEH","YW","133942"
"VEH","GL","78156"
"VEH","OR","76626"
"VEH","LT GY","68221"
"VEH","MR","64107"
"VEH","DK GY","28519"
"VEH","PR","19617"
"VEH","DK BL","15859"
"VEH","WH/BL","11433"
"VEH","DK RD","7904"
"VEH","LT BL","5948"
"VEH","GY/BK","5814"
"VEH","BL/WH","5667"
"VEH","DK GR","5554"
"VEH","BL/GY","5554"
"VEH","RD/BK","5257"
"VEH","BK/GY","4441"
"VEH","RD/WH","4311"
"VEH","BK/BL","3895"
"VEH","WH/BK","3272"
"VEH","NOCL","3049"
"VEH","BL/BK","2992"
"VEH","LT GR","2983"
"VEH","RD/GY","2840"
"VEH","GR/BK","2519"
"VEH","BK/RD","2292"
"VEH","WH/RD","2090"
"VEH","YW/BL","1904"
"VEH","LT TN","1744"
"VEH","OR/BK","1695"
"VEH","BK/WH","1678"
"VEH","WH/GY","1662"
"VEH","GR/WH","1577"
"VEH","GR/BR","1555"
"VEH","GR/GY","1346"
"VEH","PK","1227"
"VEH","GY/BL","1201"
"VEH","LT BR","1183"
"VEH","BL/GR","1129"
"VEH","WH/GR","1087"
"VEH","YW/BK","994"
"VEH","BR/GR","966"
"VEH","WH/OR","939"
"VEH","GR/TN","868"
"VEH","BK/YW","742"
"VEH","BK/OR","739"
"VEH","GL/BK","722"
"VEH","MR/GY","703"
"VEH","DK BR","687"
"VEH","BL/YW","668"
"VEH","GY/GR","666"
"VEH","BK/GR","653"
"VEH","BR/BK","650"
"VEH","OR/WH","633"
"VEH","MR/BK","576"
"VEH","RD/TN","542"
"VEH","BR/TN","523"
"VEH","DK PR","504"
"VEH","RD/MR","500"
"VEH","GY/RD","486"
"VEH","GY/WH","478"
"VEH","DK MR","476"
"VEH","BK/TN","467"
"VEH","WH/TN","450"
"VEH","TN/BR","433"
"VEH","BK/GL","432"
"VEH","YW/WH","390"
"VEH","TN/BK","378"
"VEH","LT GL","371"
"VEH","OR/GY","349"
"VEH","WH/GL","320"
"VEH","BL/TN","297"
"VEH","DK OR","289"
"VEH","LT BK","284"
"VEH","BL/OR","278"
"VEH","TN/GR","259"
"VEH","WH/BR","259"
"VEH","WH/YW","258"
"VEH","BR/WH","257"
"VEH","PR/GY","252"
"VEH","MR/WH","241"
"VEH","RD/GL","240"
"VEH","RD/BL","225"
"VEH","BK/MR","216"
"VEH","GR/BL","206"
"VEH","BK/BR","203"
"VEH","DK TN","193"
"VEH","MR/TN","185"
"VEH","MR/RD","180"
"VEH","GY/TN","159"
"VEH","TN/WH","159"
"VEH","GY/MR","154"
"VEH","OR/BL","152"
"VEH","BL/GL","148"
"VEH","RD/YW","144"
"VEH","OR/BR","139"
"VEH","TN/GY","131"
"VEH","BK/PR","129"
"VEH","PR/BK","123"
"VEH","BR/GY","121"
"VEH","BL/RD","119"
"VEH","PR/WH","117"
"VEH","GR/YW","116"
"VEH","GY/BR","115"
"VEH","GY/OR","108"
"VEH","LT YW","105"
"VEH","WH/MR","105"
"VEH","GL/WH","103"
"VEH","BR/GL","103"
"VEH","DK BK","102"
"VEH","YW/GY","102"
"VEH","DK GL","100"
"VEH","LT PR","99"
"VEH","RD/GR","95"
"VEH","WH/PR","93"
"VEH","YW/GR","93"
"VEH","PK/WH","84"
"VEH","GR/GL","79"
"VEH","GY/YW","77"
"VEH","OR/TN","77"
"VEH","RD/BR","76"
"VEH","GL/GY","73"
"VEH","LT WH","73"
"VEH","WH/PK","68"
"VEH","LT RD","67"
"VEH","TN/GL","66"
"VEH","MR/GL","61"
"VEH","GL/BR","61"
"VEH","TN/MR","60"
"VEH","TN/BL","59"
"VEH","TN/RD","57"
"VEH","YW/BR","57"
"VEH","GY/PR","55"
"VEH","GL/TN","55"
"VEH","GY/GL","53"
"VEH","YW/PR","50"
"VEH","GR/PR","49"
"VEH","OR/RD","49"
"VEH","RD/OR","48"
"VEH","GY/PK","47"
"VEH","YW/RD","47"
"VEH","BR/OR","41"
"VEH","GR/RD","40"
"VEH","BL/PR","38"
"VEH","BR/RD","36"
"VEH","PR/RD","36"
"VEH","LT OR","35"
"VEH","BL/BR","33"
"VEH","LT MR","32"
"VEH","YW/OR","30"
"VEH","RD/PR","29"
"VEH","BR/YW","28"
"VEH","PR/GR","27"
"VEH","GL/BL","27"
"VEH","LT PK","26"
"VEH","BK/PK","26"
"VEH","DK PK","24"
"VEH","TN/OR","24"
"VEH","PR/OR","23"
"VEH","GR/OR","22"
"VEH","BR/BL","22"
"VEH","PK/GY","21"
"VEH","PR/BL","21"
"VEH","GL/GR","18"
