"naic_no","company","calendar_year","direct_premium_written"
"50028","ACE Capital Title Reinsurance Company","2019","0"
"51411","American Guaranty Title Insurance Company","2019","0"
"15269","Ameristract Title Insurance Company, Inc.","2019","0"
"51578","AmTrust Title Insurance Company","2019","31597328"
"12600","ARIS Title Insurance Corporation","2019","38136"
"51187","CATIC Title Insurance Company","2019","2440265"
"50229","Chicago Title Insurance Company","2019","135090196"
"50083","Commonwealth Land Title Insurance Company","2019","38313845"
"51209","Conestoga Title Insurance Co.","2019","574587"
"51586","Fidelity National Title Insurance Company","2019","135298515"
"51624","First American Title Guaranty Company","2019","0"
"50814","First American Title Insurance Company","2019","274466998"
"50369","Investors Title Insurance Company","2019","1405986"
"50377","National Investors Title Insurance Company","2019","0"
"51020","National Title Insurance of New York Inc.","2019","4501225"
"50520","Old Republic National Title Insurance Company","2019","211451373"
"15362","OneTitle National Guaranty Company, Inc.","2019","1266"
"51632","Radian Title Insurance Inc.","2019","6244663"
"50784","Security Title Guarantee Corporation of Baltimore","2019","27856101"
"51420","Stewart Title Insurance Company","2019","200502510"
"50016","Title Resources Guaranty Company","2019","8640928"
"50050","Westcor Land Title Insurance Company","2019","50252277"
"51152","WFG National Title Insurance Company","2019","12816876"
"50028","ACE Capital Title Reinsurance Company","2020","0"
"51411","American Guaranty Title Insurance Company","2020","0"
"15269","Ameristract Title Insurance Company, Inc.","2020","0"
"51578","AmTrust Title Insurance Company","2020","34898863"
"12600","ARIS Title Insurance Corporation","2020","0"
"51187","CATIC Title Insurance Company","2020","2896404"
"50229","Chicago Title Insurance Company","2020","109428799"
"50083","Commonwealth Land Title Insurance Company","2020","24150044"
"51209","Conestoga Title Insurance Co.","2020","747258"
"51586","Fidelity National Title Insurance Company","2020","121580070"
"51624","First American Title Guaranty Company","2020","0"
"50814","First American Title Insurance Company","2020","223558467"
"50369","Investors Title Insurance Company","2020","2796308"
"50377","National Investors Title Insurance Company","2020","0"
"51020","National Title Insurance of New York Inc.","2020","6361003"
"50520","Old Republic National Title Insurance Company","2020","190956314"
"51632","Radian Title Insurance Inc.","2020","8666352"
"50784","Security Title Guarantee Corporation of Baltimore","2020","27808022"
"51420","Stewart Title Insurance Company","2020","172724157"
"50016","Title Resources Guaranty Company","2020","5666739"
"50050","Westcor Land Title Insurance Company","2020","62992916"
"51152","WFG National Title Insurance Company","2020","20189054"
"51411","American Guaranty Title Insurance Company","2018","0"
"15269","Ameristract Title Insurance Company, Inc.","2018","0"
"51578","AmTrust Title Insurance Company","2018","23551706"
"12600","ARIS Title Insurance Corporation","2018","207758"
"51187","CATIC Title Insurance Company","2018","1151849"
"50229","Chicago Title Insurance Company","2018","121634880"
"50083","Commonwealth Land Title Insurance Company","2018","48633131"
"51209","Conestoga Title Insurance Co.","2018","696282"
"51632","EnTitle Insurance Company","2018","6248896"
"51586","Fidelity National Title Insurance Company","2018","137564594"
"51624","First American Title Guaranty Company","2018","0"
"50814","First American Title Insurance Company","2018","249316956"
"50369","Investors Title Insurance Company","2018","2087564"
"50377","National Investors Title Insurance Company","2018","20"
"51020","National Title Insurance of New York Inc.","2018","2935751"
"50520","Old Republic National Title Insurance Company","2018","206705564"
"15362","OneTitle National Guaranty Company, Inc.","2018","724867"
"50784","Security Title Guarantee Corporation of Baltimore","2018","22639451"
"51420","Stewart Title Insurance Company","2018","207525347"
"50016","Title Resources Guaranty Company","2018","5208650"
"50050","Westcor Land Title Insurance Company","2018","51809751"
"51152","WFG National Title Insurance Company","2018","9001303"
"50028","ACE Capital Title Reinsurance Company","2017","0"
"51411","American Guaranty Title Insurance Company","2017","0"
"15269","Ameristract Title Insurance Company, Inc.","2017","0"
"51578","AmTrust Title Insurance Company","2017","17841759"
"12600","ARIS Title Insurance Corporation","2017","230587"
"51187","CATIC Title Insurance Company","2017","16910"
"50229","Chicago Title Insurance Company","2017","126376963"
"50083","Commonwealth Land Title Insurance Company","2017","46258847"
"51209","Conestoga Title Insurance Co.","2017","766889"
"51632","EnTitle Insurance Company","2017","5801854"
"51586","Fidelity National Title Insurance Company","2017","136203551"
"51624","First American Title Guaranty Company","2017","0"
"50814","First American Title Insurance Company","2017","259055800"
"50369","Investors Title Insurance Company","2017","2740762"
"50377","National Investors Title Insurance Company","2017","20"
"51020","National Title Insurance of New York Inc.","2017","2952327"
"50520","Old Republic National Title Insurance Company","2017","191093883"
"15362","OneTitle National Guaranty Company, Inc.","2017","860195"
"50784","Security Title Guarantee Corporation of Baltimore","2017","21915840"
"51420","Stewart Title Insurance Company","2017","208612513"
"50016","Title Resources Guaranty Company","2017","5520962"
"50050","Westcor Land Title Insurance Company","2017","51316280"
"51152","WFG National Title Insurance Company","2017","9829162"
"51411","American Guaranty Title Insurance Company","2016","0"
"15269","Ameristract Title Insurance Company, Inc.","2016","0"
"51578","AmTrust Title Insurance Company","2016","4601628"
"12600","ARIS Title Insurance Corporation","2016","116523"
"50229","Chicago Title Insurance Company","2016","136711338"
"50083","Commonwealth Land Title Insurance Company","2016","44514525"
"51209","Conestoga Title Insurance Co.","2016","833860"
"51632","EnTitle Insurance Company","2016","5557686"
"51586","Fidelity National Title Insurance Company","2016","151693484"
"51624","First American Title Guaranty Company","2016","0"
"50814","First American Title Insurance Company","2016","270136219"
"50369","Investors Title Insurance Company","2016","2854007"
"50377","National Investors Title Insurance Company","2016","4895"
"51020","National Title Insurance of New York Inc.","2016","2518706"
"51187","New Jersey Title Insurance Company","2016","0"
"50520","Old Republic National Title Insurance Company","2016","190145773"
"15362","OneTitle National Guaranty Company, Inc.","2016","578328"
"50784","Security Title Guarantee Corporation of Baltimore","2016","22878257"
"51420","Stewart Title Insurance Company","2016","211029729"
"50016","Title Resources Guaranty Company","2016","6895798"
"50050","Westcor Land Title Insurance Company","2016","43187258"
"51152","WFG National Title Insurance Company","2016","9043574"
"50028","Ace Capital Title Reins Co","2015","0"
"51411","American Guar Title Ins Co","2015","0"
"15269","Ameristract Title Ins Co Inc","2015","0"
"51578","AmTrust Title Ins Co","2015","4080075"
"12600","ARIS Title Ins Co","2015","567644"
"50229","Chicago Title Ins Co","2015","142531659"
