"event_type","organization_name","facility_name","direction","city","county","state","create_time","close_time","event_description","responding_organization_id","latitude","longitude"
"installation of conduits","New Jersey DOT - Statewide Traffic Management Center","US 206","Both directions","Roxbury Twp","Morris","NJ","2020-04-22T15:04:29.000",,"Installation of conduits on US 206 both directions North of CR 613/Drakesdale Rd (Roxbury Twp) to South of I-80 (Roxbury Twp) , Thursday April 23rd, 2020, 08:00 AM thru 04:00 PM, right shoulder closed","New Jersey DOT - Statewide Traffic Management Center","40.874183","-74.692597"
"tree trimming","New Jersey DOT - Statewide Traffic Management Center","NJ 38","Westbound","Mount Laurel Twp","Burlington","NJ","2020-04-22T15:03:44.000",,"Tree trimming on NJ 38 westbound West of CR 615/Marter Rd (Mount Laurel Twp) to US 130 (Pennsauken Twp) Not currently scheduled","New Jersey DOT - Statewide Traffic Management Center","39.965646","-74.92096"
"bridge work","New Jersey Department of Transportation - Traffic Operations Center South","US 130","Northbound","Gloucester City","Camden","NJ","2020-04-22T15:03:44.000",,"Bridge work on US 130 northbound I-76 (Gloucester City) Not currently scheduled","New Jersey Department of Transportation - Traffic Operations Center South","39.888188","-75.104427"
"bridge inspection","New York State Department of Transportation (Region 8)","Taconic State Parkway","Both directions","between New Castle","Westchester","NY","2020-04-22T15:03:44.000",,"Bridge inspection on Taconic State Parkway both directions between Exit 8 - Saw Mill River Road; NY 100 (New Castle) and Exit 11 - NY 134 (Yorktown) D037877 Not currently scheduled","New York State Department of Transportation (Region 8)","41.1851","-73.807098"
"bridge work","New Jersey Department of Transportation - Traffic Operations Center South","NJ 73","Both directions","at Maple Shade Twp","Burlington","NJ","2020-04-22T15:03:44.000",,"Bridge work on NJ 73 both directions at NJ 41 (Maple Shade Twp) , Thursday April 23rd, 2020 thru Friday April 24th, 2020 Thursday/ Friday, 09:00 AM thru 03:00 PM, right lane closed","New Jersey Department of Transportation - Traffic Operations Center South","39.945732","-74.982454"
"construction","MTA NYC Transit Subway","Staten Island Railway","Both directions","from Staten Island","Richmond","NY","2020-04-22T15:03:44.000",,"Due to Construction, both directions Staten Island Railway from Stapleton Station (Staten Island) to Grasmere Station (Staten Island) board/exit all trains at the St. George-bound platform. Boarding change includes Stapleton, Clifton, and Grasmere Stations. Not currently scheduled","MTA NYC Transit Subway","40.627652","-74.075558"
"special event","MTA Bridges and Tunnels","Verrazano-Narrows Bridge","Westbound","New York","Kings/Richmond","NY","2020-04-22T15:03:44.000",,"Special event, operational activity on Verrazano-Narrows Bridge westbound Staten Island Bound Upper Level (New York) high occupancy lane open until 8:00 P.M. HOV 3","MTA Bridges and Tunnels","40.608008","-74.040468"
"construction","New Jersey DOT - Statewide Traffic Management Center","US 1&9/Tonnelle Avenue","Northbound","North Bergen Twp","Hudson","NJ","2020-04-22T15:03:44.000",,"Construction on US 1&9/Tonnelle Avenue northbound Secaucus Rd (North Bergen Twp) to NJ 495/NJ 3 (North Bergen Twp) Not currently scheduled","New Jersey DOT - Statewide Traffic Management Center","40.759449","-74.051649"
"construction","NJ Transit Rail","MidTOWN Direct","Both directions","into/out of Manhattan","New York","NY","2020-04-22T14:59:21.000",,"Due to Track repairs, both directions MidTOWN Direct into/out of New York Penn Station (Manhattan) Customers may experience service delays up to 20 minutes due to Amtrak track maintenance work. Please allow extra travel time., Continuous Friday April 24th, 2020 10:00 PM thru Monday April 27th, 2020 5:00 AM ,","NJ Transit Rail","40.749717","-73.991653"
"construction","NJ Transit Rail","North Jersey Coast Line","Both directions","into/out of Manhattan","New York","NY","2020-04-22T14:51:31.000",,"Due to Track repairs, both directions North Jersey Coast Line into/out of New York Penn Station (Manhattan) Customers may experience service delays up to 20 minutes due to Amtrak track maintenance work. Please allow extra travel time., Continuous Friday April 24th, 2020 10:00 PM thru Monday April 27th, 2020 5:00 AM ,","NJ Transit Rail","40.75032","-73.991172"
