Site Number,Region,Owner,"Ownership, Full Name",Site Name,Property Manager,DEC Brochure Site Number,Longitude,Latitude,Location,NYS Municipal Boundaries,New York Zip Codes,Counties
1,One:Catskills,DEC,NYS DEC,North-South Lake State Campground,same,NE-18,-74.056191209,42.201922909,"(42.201922909, -74.056191209)",755,187,2087
2,One:Catskills,DEC,NYS Parks,Minnewaska State Park Preserve,Palisades Interstate Park Commission,SE-03,-74.204341458,41.735836691,"(41.735836691, -74.204341458)",435,969,2182
3,One:Catskills,DEC,NYS DEC,Bashakill WMA,same,SE-02,-74.510764916,41.54541304,"(41.54541304, -74.510764916)",653,780,2180
4,One:Catskills,DEC,NYS DEC,Mongaup Valley WMA - Eagle Observation Area,NTS DEC & Eldred Preserve,SE-01,-74.785694528,41.554608396,"(41.554608396, -74.785694528)",658,1094,2180
5,Two: applachian Plateau,DEC,NYS DEC,Rogers Environmental Education Center,same,NE-12,-75.529140225,42.695155934,"(42.695155934, -75.529140225)",256,1373,2037
6,Two: applachian Plateau,DEC,NYS DEC,Chenango Valley State Park,same,W-21,-75.819293131,42.216497293,"(42.216497293, -75.819293131)",945,453,2033
7,Two: applachian Plateau,DEC,Waterman Conservation Education Center - Inc.,Fred L. Waterman Conservation Education Center,same,W-20,-76.17032086,42.081758951,"(42.081758951, -76.17032086)",53,1627,630
8,Two: applachian Plateau,DEC,NYS Parks,Buttermilk Falls State Park,same,W-19,-76.523816914,42.417169865,"(42.417169865, -76.523816914)",708,1786,2181
9,Two: applachian Plateau,DEC,Spencer Crest Nature Center - Inc.,Spencer Crest Nature Center,same,W-14,-77.081722635,42.120999929,"(42.120999929, -77.081722635)",38,1774,2178
10,Two: applachian Plateau,DEC,The Nature Conservency,Moss Lake Preserve,same,W-09,-78.186745162,42.40062915,"(42.40062915, -78.186745162)",463,1722,2031
11,Two: applachian Plateau,DEC,Buffalo Audobon Society - Inc.,Beaver Meadow Nature Center,same,W-08,-78.382940959,42.672658433,"(42.672658433, -78.382940959)",397,530,2186
12,Two: applachian Plateau,DEC,Jamestown Audobon Nature Center,North-South Jamestown Audobon Nature Center,same,W-12,-79.170715448,42.018436475,"(42.018436475, -79.170715448)",208,1687,2035
13,Two: applachian Plateau,DEC,Roger Tory Peterson Institute of Natural History,Roger Tory Peterson Institute of Natural History,same,W-02,-79.221571345,42.110850943,"(42.110850943, -79.221571345)",209,1687,2035
14,Three: Great Lakes Plain,DEC,The City of Dunkirk&Niagara Mohawk Corp.,Dunkirk Harbor,The City of Dunkirk,W-01,-79.339753585,42.486927993,"(42.486927993, -79.339753585)",217,508,2035
