"name","category","region","county","facility_url","x","y","location"
"Lakeside Beach","State Park","3","Orleans","https://parks.ny.gov/parks/161/details.aspx","-78.24370249","43.36638358","(43.36638358, -78.24370249)"
"Letchworth","State Park","3","Liv/Wyo","https://parks.ny.gov/parks/79/details.aspx","-77.97576922","42.64592135","(42.64592135, -77.97576922)"
"Long Point","State Park","4","Cayuga","https://parks.ny.gov/parks/170/details.aspx","-76.69840928","42.71741104","(42.71741104, -76.69840928)"
"Long Point","State Park","10","Jefferson","https://parks.ny.gov/parks/54/details.aspx","-76.21705748","44.02844022","(44.02844022, -76.21705748)"
"Macomb Reservation","State Park","10","Clinton","https://parks.ny.gov/parks/77/details.aspx","-73.61240776","44.61786492","(44.61786492, -73.61240776)"
"Margaret Lewis Norrie","State Park","7","Dutchess","https://parks.ny.gov/parks/171/details.aspx","-73.93895514","41.84153655","(41.84153655, -73.93895514)"
"Mary Island","State Park","10","Jefferson","https://parks.ny.gov/parks/40/details.aspx","-75.92157812","44.3655711","(44.3655711, -75.92157812)"
"Max V. Shaul","State Park","11","Schoharie","https://parks.ny.gov/parks/94/details.aspx","-74.41092231","42.54799377","(42.54799377, -74.41092231)"
"Moreau Lake","State Park","11","Saratoga","https://parks.ny.gov/parks/150/details.aspx","-73.7337769","43.23321367","(43.23321367, -73.7337769)"
"Newtown Battlefield","State Park","4","Chemung","https://parks.ny.gov/parks/107/details.aspx","-76.73631727","42.04902652","(42.04902652, -76.73631727)"
"Oquaga Creek","State Park","5","Broome/Delaware","https://parks.ny.gov/parks/27/details.aspx","-75.42467935","42.17805145","(42.17805145, -75.42467935)"
"Robert G. Wehle","State Park","10","Jefferson","https://parks.ny.gov/parks/137/details.aspx","-76.27550032","43.86716908","(43.86716908, -76.27550032)"
"Robert H. Treman","State Park","4","Tompkins","https://parks.ny.gov/parks/135/details.aspx","-76.57954421","42.40057564","(42.40057564, -76.57954421)"
"Allegany","State Park","2","Cattaraugus","https://parks.ny.gov/parks/136/details.aspx","-78.76855865","42.05475752","(42.05475752, -78.76855865)"
"Betty & Wilbur Davis","State Park","5","Otsego","https://parks.ny.gov/parks/85/details.aspx","-74.83290982","42.66363969","(42.66363969, -74.83290982)"
"Bowman Lake","State Park","5","Chenango","https://parks.ny.gov/parks/76/details.aspx","-75.6806338","42.51998474","(42.51998474, -75.6806338)"
"Burnham Point","State Park","10","Jefferson","https://parks.ny.gov/parks/57/details.aspx","-76.26444427","44.16250249","(44.16250249, -76.26444427)"
"Buttermilk Falls","State Park","4","Tompkins","https://parks.ny.gov/parks/151/details.aspx","-76.51225664","42.40402596","(42.40402596, -76.51225664)"
"Canoe Picnic Point","State Park","10","Jefferson","https://parks.ny.gov/parks/64/details.aspx","-76.07471216","44.30417139","(44.30417139, -76.07471216)"
"Cayuga Lake","State Park","4","Seneca","https://parks.ny.gov/parks/123/details.aspx","-76.75531185","42.89795191","(42.89795191, -76.75531185)"
"Cedar Island","State Park","10","St. Lawrence","https://parks.ny.gov/parks/25/details.aspx","-75.79052886","44.44967933","(44.44967933, -75.79052886)"
"Cedar Point","State Park","10","Jefferson","https://parks.ny.gov/parks/21/details.aspx","-76.19613394","44.2034892","(44.2034892, -76.19613394)"
"Chenango Valley","State Park","5","Broome","https://parks.ny.gov/parks/41/details.aspx","-75.83623684","42.21554025","(42.21554025, -75.83623684)"
"Cherry Plain","State Park","11","Rensselaer","https://parks.ny.gov/parks/173/details.aspx","-73.41221527","42.61786779","(42.61786779, -73.41221527)"
"Clarence Fahnestock","State Park","7","Putnam","https://parks.ny.gov/parks/133/details.aspx","-73.84764739","41.45275633","(41.45275633, -73.84764739)"
"Coles Creek","State Park","10","St. Lawrence","https://parks.ny.gov/parks/72/details.aspx","-75.12323609","44.88473357","(44.88473357, -75.12323609)"
"Cumberland Bay","State Park","10","Clinton","https://parks.ny.gov/parks/34/details.aspx","-73.42117996","44.73334654","(44.73334654, -73.42117996)"
"Darien Lakes","State Park","3","Genesee","https://parks.ny.gov/parks/144/details.aspx","-78.4114923","42.91181416","(42.91181416, -78.4114923)"
"Delta Lake","State Park","5","Oneida","https://parks.ny.gov/parks/66/details.aspx","-75.42187224","43.29096558","(43.29096558, -75.42187224)"
"DeWolf Point","State Park","10","Jefferson","https://parks.ny.gov/parks/22/details.aspx","-75.9901418","44.33274077","(44.33274077, -75.9901418)"
"Eel Weir","State Park","10","St. Lawrence","https://parks.ny.gov/parks/121/details.aspx","-75.47592958","44.62999004","(44.62999004, -75.47592958)"
"Evangola","State Park","1","Erie","https://parks.ny.gov/parks/91/details.aspx","-79.10185926","42.60579936","(42.60579936, -79.10185926)"
