"area","area_name","series","title","year","month","current_employment"
"00000","Statewide","00000000","Total Nonfarm","1990","1","8093300"
"00000","Statewide","00000000","Total Nonfarm","1990","2","8121600"
"00000","Statewide","00000000","Total Nonfarm","1990","3","8180800"
"00000","Statewide","00000000","Total Nonfarm","1990","4","8187700"
"00000","Statewide","00000000","Total Nonfarm","1990","5","8283400"
"00000","Statewide","00000000","Total Nonfarm","1990","6","8333500"
"00000","Statewide","00000000","Total Nonfarm","1990","7","8202800"
"00000","Statewide","00000000","Total Nonfarm","1990","8","8206300"
"00000","Statewide","00000000","Total Nonfarm","1990","9","8213700"
"00000","Statewide","00000000","Total Nonfarm","1990","10","8211400"
"00000","Statewide","00000000","Total Nonfarm","1990","11","8211300"
"00000","Statewide","00000000","Total Nonfarm","1990","12","8202100"
"00000","Statewide","00000000","Total Nonfarm","1991","1","7841500"
"00000","Statewide","00000000","Total Nonfarm","1991","2","7839000"
"00000","Statewide","00000000","Total Nonfarm","1991","3","7870300"
"00000","Statewide","00000000","Total Nonfarm","1991","4","7879200"
"00000","Statewide","00000000","Total Nonfarm","1991","5","7935200"
"00000","Statewide","00000000","Total Nonfarm","1991","6","7986800"
"00000","Statewide","00000000","Total Nonfarm","1991","7","7833600"
"00000","Statewide","00000000","Total Nonfarm","1991","8","7834500"
"00000","Statewide","00000000","Total Nonfarm","1991","9","7844300"
"00000","Statewide","00000000","Total Nonfarm","1991","10","7886700"
"00000","Statewide","00000000","Total Nonfarm","1991","11","7904200"
"00000","Statewide","00000000","Total Nonfarm","1991","12","7888700"
"00000","Statewide","00000000","Total Nonfarm","1992","1","7597200"
"00000","Statewide","00000000","Total Nonfarm","1992","2","7611600"
"00000","Statewide","00000000","Total Nonfarm","1992","3","7648100"
"00000","Statewide","00000000","Total Nonfarm","1992","4","7702000"
"00000","Statewide","00000000","Total Nonfarm","1992","5","7762200"
"00000","Statewide","00000000","Total Nonfarm","1992","6","7803900"
"00000","Statewide","00000000","Total Nonfarm","1992","7","7723900"
"00000","Statewide","00000000","Total Nonfarm","1992","8","7713600"
"00000","Statewide","00000000","Total Nonfarm","1992","9","7726500"
"00000","Statewide","00000000","Total Nonfarm","1992","10","7781400"
"00000","Statewide","00000000","Total Nonfarm","1992","11","7790700"
"00000","Statewide","00000000","Total Nonfarm","1992","12","7807600"
"00000","Statewide","00000000","Total Nonfarm","1993","1","7562900"
"00000","Statewide","00000000","Total Nonfarm","1993","2","7598100"
"00000","Statewide","00000000","Total Nonfarm","1993","3","7630900"
"00000","Statewide","00000000","Total Nonfarm","1993","4","7689500"
"00000","Statewide","00000000","Total Nonfarm","1993","5","7772100"
"00000","Statewide","00000000","Total Nonfarm","1993","6","7829500"
"00000","Statewide","00000000","Total Nonfarm","1993","7","7777300"
"00000","Statewide","00000000","Total Nonfarm","1993","8","7762300"
"00000","Statewide","00000000","Total Nonfarm","1993","9","7774100"
"00000","Statewide","00000000","Total Nonfarm","1993","10","7840600"
