"subsidiary","year","ridership","month"
"Batavia Bus Service","2014","60279","12"
"Batavia Bus Service","2013","59216","12"
"Batavia Bus Service","2012","61905","12"
"Batavia Bus Service","2011","65616","12"
"Batavia Bus Service","2010","62177","12"
"Batavia Bus Service","2009","62946","12"
"Batavia Bus Service","2008","64852","12"
"Batavia Bus Service","2007","75938","12"
"Batavia Bus Service","2006","54372","9"
"Lift Line","2014","45489","3"
"Lift Line","2013","133407","9"
"Lift Line ","2014","137460","9"
"Lift Line ","2013","44946","3"
"Lift Line ","2012","168331","12"
"Lift Line ","2011","165763","12"
"Lift Line ","2010","171632","12"
"Lift Line ","2009","180653","12"
"Lift Line ","2008","182306","12"
"Lift Line ","2007","177712","12"
"Lift Line ","2006","132934","9"
"Livingston Area Transportation Service","2014","206827","12"
"Livingston Area Transportation Service","2013","201182","12"
"Livingston Area Transportation Service","2012","238978","12"
"Livingston Area Transportation Service","2011","246878","12"
"Livingston Area Transportation Service","2010","245521","12"
"Livingston Area Transportation Service","2009","282513","12"
"Livingston Area Transportation Service","2008","275101","12"
"Livingston Area Transportation Service","2007","248223","12"
"Livingston Area Transportation Service","2006","165626","9"
"Orleans Transit Service","2014","41099","12"
"Orleans Transit Service","2013","38574","12"
"Orleans Transit Service","2012","34791","12"
"Orleans Transit Service","2011","59258","12"
"Orleans Transit Service","2010","72535","12"
"Orleans Transit Service","2009","65445","12"
"Orleans Transit Service","2008","61245","12"
"Orleans Transit Service","2007","87006","12"
"Orleans Transit Service","2006","66361","9"
"Regional Transit Service","2021","7255935","12"
"Regional Transit Service","2020","8876727","12"
"Regional Transit Service","2019","14441143","12"
"Regional Transit Service","2018","14626707","12"
"Regional Transit Service","2017","15125019","12"
"Regional Transit Service","2016","15788241","12"
"Regional Transit Service","2015","16837734","12"
"Regional Transit Service","2014","17158702","12"
"Regional Transit Service","2013","17603867","12"
"Regional Transit Service","2012","17455360","12"
"Regional Transit Service","2011","17388737","12"
"Regional Transit Service","2010","16838786","12"
"Regional Transit Service","2009","16844073","12"
"Regional Transit Service","2008","16212321","12"
"Regional Transit Service","2007","14872304","12"
"Regional Transit Service","2006","10386169","9"
"RTS Access","2021","153979","12"
"RTS Access","2020","139999","12"
"RTS Access","2019","240751","12"
"RTS Access","2018","222158","12"
"RTS Access","2017","212415","12"
"RTS Access","2016","194950","12"
"RTS Access","2015","191453","12"
"RTS Genesee","2021","22298","12"
"RTS Genesee","2020","20870","12"
"RTS Genesee","2019","45483","12"
"RTS Genesee","2018","54443","12"
"RTS Genesee","2017","68227","12"
"RTS Genesee","2016","63702","12"
"RTS Genesee","2015","62012","12"
"RTS Livingston","2021","52405","12"
"RTS Livingston","2020","55086","12"
"RTS Livingston","2019","154309","12"
"RTS Livingston","2018","154760","12"
"RTS Livingston","2017","160250","12"
"RTS Livingston","2016","173296","12"
"RTS Livingston","2015","194538","12"
"RTS Ontario","2021","111242","12"
"RTS Ontario","2020","100209","12"
"RTS Ontario","2019","235526","12"
"RTS Ontario","2018","256453","12"
"RTS Ontario","2017","262494","12"
"RTS Ontario","2016","268161","12"
"RTS Ontario","2015","296037","12"
"RTS Orleans","2021","26685","12"
"RTS Orleans","2020","26482","12"
"RTS Orleans","2019","41566","12"
"RTS Orleans","2018","34570","12"
"RTS Orleans","2017","42880","12"
"RTS Orleans","2016","40751","12"
"RTS Orleans","2015","40811","12"
"RTS Seneca","2021","29682","12"
"RTS Seneca","2020","28019","12"
"RTS Seneca","2019","60175","12"
"RTS Seneca","2018","58824","12"
"RTS Seneca","2017","66171","12"
"RTS Seneca","2016","70760","12"
"RTS Seneca","2015","75535","12"
"RTS Wayne","2021","76723","12"
"RTS Wayne","2020","72264","12"
"RTS Wayne","2019","222152","12"
"RTS Wayne","2018","229342","12"
"RTS Wayne","2017","234983","12"
"RTS Wayne","2016","233831","12"
"RTS Wayne","2015","252988","12"
"RTS Wyoming","2021","49439","12"
"RTS Wyoming","2020","26954","12"
"RTS Wyoming","2019","48575","12"
"RTS Wyoming","2018","44673","12"
"RTS Wyoming","2017","46613","12"
"RTS Wyoming","2016","53835","12"
"RTS Wyoming","2015","65219","12"
"Seneca Transit Service","2014","86899","12"
"Seneca Transit Service","2013","88662","12"
"Seneca Transit Service","2012","83853","12"
"Seneca Transit Service","2011","86954","12"
"Seneca Transit Service","2010","74864","12"
"Seneca Transit Service","2009","71821","12"
"Seneca Transit Service","2008","64045","12"
"Seneca Transit Service","2007","40360","12"
"Seneca Transit Service","2006","27660","9"
"Wayne Area Transit Service","2014","45424","3"
"Wayne Area Transit Service","2013","181411","9"
"Wayne Area Transportation Service","2014","186811","9"
"Wayne Area Transportation Service","2013","40533","3"
"Wayne Area Transportation Service","2012","158476","12"
"Wayne Area Transportation Service","2011","156095","12"
"Wayne Area Transportation Service","2010","144767","12"
"Wayne Area Transportation Service","2009","151689","12"
"Wayne Area Transportation Service","2008","158530","12"
"Wayne Area Transportation Service","2007","147924","12"
"Wayne Area Transportation Service","2006","106729","9"
"Wyoming Transit Service","2014","16911","3"
"Wyoming Transit Service","2013","60701","9"
"Wyoming Transportation Service","2014","51298","9"
"Wyoming Transportation Service","2013","19070","3"
"Wyoming Transportation Service","2012","83956","12"
"Wyoming Transportation Service","2011","92954","12"
"Wyoming Transportation Service","2010","92566","12"
"Wyoming Transportation Service","2009","85045","12"
"Wyoming Transportation Service","2008","111206","12"
"Wyoming Transportation Service","2007","101354","12"
"Wyoming Transportation Service","2006","84167","9"
