"month","division","line","num_sched_trains","num_actual_trains","service_delivered"
"2022-06","A DIVISION","1","1848","1724","0.9329"
"2022-06","A DIVISION","2","2424","2265","0.9344"
"2022-06","A DIVISION","3","2248","2089","0.9293"
"2022-06","A DIVISION","4","3098","2892","0.9335"
"2022-06","A DIVISION","5","2690","2501","0.9297"
"2022-06","A DIVISION","6","2266","2154","0.9506"
"2022-06","A DIVISION","7","2986","2749","0.9206"
"2022-06","A DIVISION","S 42nd","2222","2191","0.986"
"2022-06","B DIVISION","A","2834","2579","0.91"
"2022-06","B DIVISION","B","1848","1645","0.8902"
"2022-06","B DIVISION","C","1650","1463","0.8867"
"2022-06","B DIVISION","D","2003","1802","0.8997"
"2022-06","B DIVISION","E","1716","1568","0.9138"
"2022-06","B DIVISION","F","3182","2850","0.8957"
"2022-06","B DIVISION","G","990","954","0.9636"
"2022-06","B DIVISION","JZ","1122","1049","0.9349"
"2022-06","B DIVISION","L","2112","1983","0.9389"
"2022-06","B DIVISION","M","1980","1716","0.8667"
"2022-06","B DIVISION","N","1976","1791","0.9064"
"2022-06","B DIVISION","Q","2265","2090","0.9227"
"2022-06","B DIVISION","R","2178","1950","0.8953"
"2022-06","B DIVISION","S Fkln","792","790","0.9975"
"2022-06","B DIVISION","S Rock","462","462","1"
"2022-06","B DIVISION","W","857","789","0.9207"
"2022-05","A DIVISION","1","1764","1654","0.9376"
"2022-05","A DIVISION","2","2310","2163","0.9364"
"2022-05","A DIVISION","3","2142","2010","0.9384"
"2022-05","A DIVISION","4","2961","2764","0.9335"
"2022-05","A DIVISION","5","2637","2496","0.9465"
"2022-05","A DIVISION","6","2163","2038","0.9422"
"2022-05","A DIVISION","7","2856","2613","0.9149"
"2022-05","A DIVISION","S 42nd","2121","2114","0.9967"
"2022-05","B DIVISION","A","2709","2432","0.8977"
"2022-05","B DIVISION","B","1760","1582","0.8989"
"2022-05","B DIVISION","C","1575","1364","0.866"
"2022-05","B DIVISION","D","1912","1727","0.9032"
"2022-05","B DIVISION","E","1638","1488","0.9084"
"2022-05","B DIVISION","F","3034","2710","0.8932"
"2022-05","B DIVISION","G","945","918","0.9714"
"2022-05","B DIVISION","JZ","1071","1007","0.9402"
"2022-05","B DIVISION","L","2016","1900","0.9425"
"2022-05","B DIVISION","M","1890","1712","0.9058"
"2022-05","B DIVISION","N","1890","1684","0.891"
"2022-05","B DIVISION","Q","2163","1985","0.9177"
"2022-05","B DIVISION","R","2079","1874","0.9014"
"2022-05","B DIVISION","S Fkln","756","742","0.9815"
"2022-05","B DIVISION","S Rock","441","442","1.0023"
"2022-05","B DIVISION","W","818","713","0.8716"
"2022-04","A DIVISION","1","1764","1650","0.9354"
"2022-04","A DIVISION","2","2310","2107","0.9121"
"2022-04","A DIVISION","3","2142","1967","0.9183"
"2022-04","A DIVISION","4","2961","2760","0.9321"
"2022-04","A DIVISION","5","2647","2467","0.932"
"2022-04","A DIVISION","6","2163","2032","0.9394"
"2022-04","A DIVISION","7","2847","2651","0.9312"
"2022-04","A DIVISION","S 42nd","2121","2099","0.9896"
"2022-04","B DIVISION","A","2709","2475","0.9136"
"2022-04","B DIVISION","B","1680","1570","0.9345"
"2022-04","B DIVISION","C","1575","1432","0.9092"
"2022-04","B DIVISION","D","1820","1700","0.9341"
"2022-04","B DIVISION","E","1638","1511","0.9225"
"2022-04","B DIVISION","F","3045","2714","0.8913"
"2022-04","B DIVISION","G","945","910","0.963"
"2022-04","B DIVISION","JZ","1071","1043","0.9739"
"2022-04","B DIVISION","L","2016","1934","0.9593"
"2022-04","B DIVISION","M","1890","1723","0.9116"
"2022-04","B DIVISION","N","1800","1641","0.9117"
"2022-04","B DIVISION","Q","2163","1989","0.9196"
"2022-04","B DIVISION","R","1980","1802","0.9101"
"2022-04","B DIVISION","S Fkln","756","739","0.9775"
"2022-04","B DIVISION","S Rock","441","445","1.0091"
"2022-04","B DIVISION","W","779","699","0.8973"
"2022-03","A DIVISION","1","1932","1873","0.9695"
"2022-03","A DIVISION","2","2530","2462","0.9731"
"2022-03","A DIVISION","3","2346","2310","0.9847"
"2022-03","A DIVISION","4","3243","3124","0.9633"
"2022-03","A DIVISION","5","2921","2793","0.9562"
"2022-03","A DIVISION","6","2369","2239","0.9451"
"2022-03","A DIVISION","7","3126","2893","0.9255"
"2022-03","A DIVISION","S 42nd","2323","2293","0.9871"
"2022-03","B DIVISION","A","2967","2736","0.9221"
"2022-03","B DIVISION","B","1924","1807","0.9392"
"2022-03","B DIVISION","C","1725","1569","0.9096"
"2022-03","B DIVISION","D","2095","1969","0.9399"
"2022-03","B DIVISION","E","1794","1644","0.9164"
"2022-03","B DIVISION","F","3335","3031","0.9088"
"2022-03","B DIVISION","G","1035","1026","0.9913"
"2022-03","B DIVISION","JZ","1173","1122","0.9565"
"2022-03","B DIVISION","L","2208","2110","0.9556"
"2022-03","B DIVISION","M","2070","1930","0.9324"
"2022-03","B DIVISION","N","2070","1898","0.9169"
"2022-03","B DIVISION","Q","2369","2221","0.9375"
"2022-03","B DIVISION","R","2277","2098","0.9214"
"2022-03","B DIVISION","S Fkln","828","819","0.9891"
"2022-03","B DIVISION","S Rock","483","479","0.9917"
"2022-03","B DIVISION","W","896","835","0.9319"
"2022-02","A DIVISION","1","3192","3076","0.9637"
"2022-02","A DIVISION","2","4180","3994","0.9555"
"2022-02","A DIVISION","3","3876","3746","0.9665"
"2022-02","A DIVISION","4","5358","5078","0.9477"
"2022-02","A DIVISION","5","4756","4542","0.955"
"2022-02","A DIVISION","6","3914","3730","0.953"
"2022-02","A DIVISION","7","5168","4854","0.9392"
"2022-02","B DIVISION","A","4902","4312","0.8796"
"2022-02","B DIVISION","B","3192","3018","0.9455"
"2022-02","B DIVISION","C","2850","2504","0.8786"
"2022-02","B DIVISION","D","3460","3216","0.9295"
"2022-02","B DIVISION","E","2964","2738","0.9238"
"2022-02","B DIVISION","F","4072","3720","0.9136"
"2022-02","B DIVISION","G","1710","1670","0.9766"
"2022-02","B DIVISION","JZ","1938","1850","0.9546"
"2022-02","B DIVISION","L","2864","2784","0.9721"
"2022-02","B DIVISION","M","2580","2390","0.9264"
"2022-02","B DIVISION","N","3420","3160","0.924"
"2022-02","B DIVISION","Q","3914","3614","0.9234"
"2022-02","B DIVISION","R","3490","3286","0.9415"
"2022-02","B DIVISION","S Fkln","1368","1350","0.9868"
"2022-02","B DIVISION","S Rock","798","800","1.0025"
"2022-02","B DIVISION","W","1480","1376","0.9297"
"2022-01","A DIVISION","1","1602","1501","0.937"
"2022-01","A DIVISION","2","2310","2182","0.9446"
"2022-01","A DIVISION","3","1540","1487","0.9656"
"2022-01","A DIVISION","4","2961","2699","0.9115"
"2022-01","A DIVISION","5","2667","2429","0.9108"
"2022-01","A DIVISION","6","1911","1777","0.9299"
"2022-01","A DIVISION","7","2484","2349","0.9457"
"2022-01","B DIVISION","A","2709","2203","0.8132"
"2022-01","B DIVISION","B","756","716","0.9471"
"2022-01","B DIVISION","C","1575","1339","0.8502"
"2022-01","B DIVISION","D","1911","1759","0.9205"
"2022-01","B DIVISION","E","1638","1535","0.9371"
"2022-01","B DIVISION","F","1889","1759","0.9312"
"2022-01","B DIVISION","G","945","942","0.9968"
"2022-01","B DIVISION","JZ","879","840","0.9556"
"2022-01","B DIVISION","L","1568","1540","0.9821"
"2022-01","B DIVISION","M","1260","1176","0.9333"
"2022-01","B DIVISION","N","1875","1720","0.9173"
"2022-01","B DIVISION","Q","2163","1979","0.9149"
"2022-01","B DIVISION","R","1756","1587","0.9038"
"2022-01","B DIVISION","S Fkln","756","730","0.9656"
"2022-01","B DIVISION","S Rock","441","431","0.9773"
"2022-01","B DIVISION","W","234","193","0.8248"
"2021-12","A DIVISION","1","1751","1585","0.9052"
"2021-12","A DIVISION","2","2310","2142","0.9273"
"2021-12","A DIVISION","3","1970","1822","0.9249"
"2021-12","A DIVISION","4","2961","2677","0.9041"
"2021-12","A DIVISION","5","2659","2425","0.912"
"2021-12","A DIVISION","6","2163","1983","0.9168"
"2021-12","A DIVISION","7","2856","2652","0.9286"
"2021-12","A DIVISION","S 42nd","2121","2081","0.9811"
