"sample_id","org_id","capture_event","capture_loc","latitude","longitude","site_id","project_id","org_hg_id","bdate","year","band_number","tissuecollected","analysis_tissue","analysis_tissue_wgt_g","analysis_tissue_moist","chem_value","chem_units","chemical_type","ww_dw_fw","convert_chem_value_fishadj","final_chem_standardized","final_convertedtissue","steps_reasonnotconverted","pcode","rmk","rmk_desc","limit","limit_desc","method","lab_code","lab_abbrev","duplicate1","hg_comments"
"NY001-020191NYT004-44.35730-74.28352-08082000-C8115-BlTHg","NY001-020191NYT004-44.35730-74.28352-08082000-C8115","NY001-020191NYT004-44.35730-74.28352-08082000","NY001-020191NYT004-44.35730-74.28352","44.3573","-74.28352","NY001-020191NYT004","NY001",,"2000-08-08T00:00:00.000","2000","1497-84948","Blood","Blood",,,"0.21","ppm","THg","ww",,"0.21","Blood","Value Maintained",,,,,,,,,,
"NY001-040451NYT068-45.04128-71.33524-08251998-C8114-BlTHg","NY001-040451NYT068-45.04128-71.33524-08251998-C8114","NY001-040451NYT068-45.04128-71.33524-08251998","NY001-040451NYT068-45.04128-71.33524","45.04128","-71.33524","NY001-040451NYT068","NY001",,"1998-08-25T00:00:00.000","1998","1427-10209","Blood","Blood",,,"0.013","ppm","THg","ww",,"0.013","Blood","Value Maintained",,"Yes","Below Detection Limit",,,,,,,
"NY001-040752NYT054-43.83145-74.84585-08122000-C8117-BlTHg","NY001-040752NYT054-43.83145-74.84585-08122000-C8117","NY001-040752NYT054-43.83145-74.84585-08122000","NY001-040752NYT054-43.83145-74.84585","43.83145","-74.84585","NY001-040752NYT054","NY001",,"2000-08-12T00:00:00.000","2000","1497-84962","Blood","Blood",,,"0.031","ppm","THg","ww",,"0.031","Blood","Value Maintained",,,,,,,,,,
"NY001-040982NYT163-43.59163-74.98727-08102000-C8116-BlTHg","NY001-040982NYT163-43.59163-74.98727-08102000-C8116","NY001-040982NYT163-43.59163-74.98727-08102000","NY001-040982NYT163-43.59163-74.98727","43.59163","-74.98727","NY001-040982NYT163","NY001",,"2000-08-10T00:00:00.000","2000","1497-84951","Blood","Blood",,,"1.14","ppm","THg","ww",,"1.14","Blood","Value Maintained",,,,,,,,,,
"NY001-050684NYT051T-43.98643-74.23667-07192007-C2377-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07192007-C2377","NY001-050684NYT051T-43.98643-74.23667-07192007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","AA80749","2007-07-19T00:00:00.000","2007","2251-71222","Blood","Blood",,,"0.0898","ppm","THg","ww",,"0.0898","Blood","Value Maintained",,"No",,,,,,"EPA",,
"NY001-050684NYT051T-43.98643-74.23667-07192007-C2378-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07192007-C2378","NY001-050684NYT051T-43.98643-74.23667-07192007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","AA80753","2007-07-19T00:00:00.000","2007","2281-67805","Blood","Blood",,,"0.1107","ppm","THg","ww",,"0.1107","Blood","Value Maintained",,"No",,,,,,"EPA",,
"NY001-050684NYT051T-43.98643-74.23667-07192007-C2379-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07192007-C2379","NY001-050684NYT051T-43.98643-74.23667-07192007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","AA80754","2007-07-19T00:00:00.000","2007","2281-67806","Blood","Blood",,,"0.1551","ppm","THg","ww",,"0.1551","Blood","Value Maintained",,"No",,,,,,"EPA",,
"NY001-050684NYT051T-43.98643-74.23667-07192007-C2959-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07192007-C2959","NY001-050684NYT051T-43.98643-74.23667-07192007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","AA80756","2007-07-19T00:00:00.000","2007","2520-76104","Blood","Blood",,,"0.2249","ppm","THg","ww",,"0.2249","Blood","Value Maintained",,"No",,,,,,"EPA",,
"NY001-050684NYT051T-43.98643-74.23667-07192007-C4590-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07192007-C4590","NY001-050684NYT051T-43.98643-74.23667-07192007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","AA80748","2007-07-19T00:00:00.000","2007","1921-69129","Blood","Blood",,,"0.2466","ppm","THg","ww",,"0.2466","Blood","Value Maintained",,"No",,,,,,"EPA",,
"NY001-050684NYT051T-43.98643-74.23667-07192007-C6256-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07192007-C6256","NY001-050684NYT051T-43.98643-74.23667-07192007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","AA80755","2007-07-19T00:00:00.000","2007","2281-67807","Blood","Blood",,,"0.1165","ppm","THg","ww",,"0.1165","Blood","Value Maintained",,"No",,,,,,"EPA",,
