"year_hierarchy_month_year","boroughname","eeaval","availabilityid","equipmentcode","month","year","totaloutages","scheduled","nonscheduled","entrapments","age","servicedate","createddate","am","pm","_24hr"
"2022-05-01T00:00:00.000","Manhattan","0.9647","20225409724","EL103","5","2022","7","5","2","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.9871","0.9677","0.9647"
"2022-05-01T00:00:00.000","Manhattan","0.8807","20225409722","EL104","5","2022","6","2","4","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.9087","0.871","0.8807"
"2022-05-01T00:00:00.000","Manhattan","0.9596","20225409723","EL105","5","2022","7","2","5","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.9648","0.9914","0.9596"
"2022-05-01T00:00:00.000","Manhattan","0.9649","20225409725","EL106","5","2022","3","2","1","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.9806","0.9677","0.9649"
"2022-05-01T00:00:00.000","Manhattan","0.9797","20225409870","EL107","5","2022","6","2","4","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.9819","0.9933","0.9797"
"2022-05-01T00:00:00.000","Manhattan","0.9617","20225409871","EL108","5","2022","7","1","6","2","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.9694","0.9648","0.9617"
"2022-05-01T00:00:00.000","Manhattan","0.8907","20225409872","EL109","5","2022","14","1","13","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.8987","0.8781","0.8907"
"2022-05-01T00:00:00.000","Manhattan","0.9222","20225409873","EL110","5","2022","16","3","13","1","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.9833","0.8616","0.9222"
"2022-05-01T00:00:00.000","Manhattan","0.9926","20225408656","EL111","5","2022","1","1","0","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","1","1","0.9926"
"2022-05-01T00:00:00.000","Manhattan","0.9923","20225408657","EL112","5","2022","1","1","0","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","1","1","0.9923"
"2022-05-01T00:00:00.000","Manhattan","0.9884","20225408658","EL113","5","2022","3","1","2","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","1","0.9874","0.9884"
"2022-05-01T00:00:00.000","Manhattan","0.9918","20225408659","EL114","5","2022","1","1","0","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","1","1","0.9918"
"2022-05-01T00:00:00.000","Manhattan","0.8555","20225408285","EL115","5","2022","6","1","5","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.9032","0.8325","0.8555"
"2022-05-01T00:00:00.000","Manhattan","0.8069","20225408286","EL116","5","2022","4","1","3","2","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.8007","0.8065","0.8069"
"2022-05-01T00:00:00.000","Manhattan","0.9816","20225408348","EL117","5","2022","4","2","2","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.9812","0.996","0.9816"
"2022-05-01T00:00:00.000","Manhattan","0.9853","20225408349","EL118","5","2022","4","2","2","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","1","0.998","0.9853"
"2022-05-01T00:00:00.000","Manhattan","0.9897","20225408350","EL119","5","2022","2","2","0","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","1","1","0.9897"
"2022-05-01T00:00:00.000","Manhattan","0.9992","20225454115","EL11X","5","2022","0","0","0","0","3","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","1","0.9953","0.9992"
"2022-05-01T00:00:00.000","Manhattan","0.9937","20225408287","EL120","5","2022","1","1","0","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","1","1","0.9937"
"2022-05-01T00:00:00.000","Bronx","0.9697","20225413018","EL121","5","2022","7","4","3","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.971","1","0.9697"
"2022-05-01T00:00:00.000","Bronx","0.9802","20225413037","EL122","5","2022","4","4","0","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.9886","0.9872","0.9802"
"2022-05-01T00:00:00.000","Manhattan","0.9574","20225408454","EL123","5","2022","5","5","0","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.9724","0.9677","0.9574"
"2022-05-01T00:00:00.000","Manhattan","0.9919","20225408489","EL124","5","2022","3","3","0","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.9984","1","0.9919"
"2022-05-01T00:00:00.000","Manhattan","0.9634","20225413777","EL125","5","2022","7","5","2","1","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.9778","0.922","0.9634"
"2022-05-01T00:00:00.000","Manhattan","0.9126","20225413870","EL126","5","2022","10","4","6","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.9207","0.8616","0.9126"
"2022-05-01T00:00:00.000","Bronx","0.9623","20225412684","EL127","5","2022","9","5","4","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.9778","0.9281","0.9623"
"2022-05-01T00:00:00.000","Bronx","0.8615","20225412678","EL128","5","2022","17","9","8","1","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","0.9308","0.8655","0.8615"
"2022-05-01T00:00:00.000","Bronx","0.9892","20225412821","EL129","5","2022","3","2","1","0","0","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","1","0.9866","0.9892"
