"month","borough","trip_type","total_miles","number_of_failures","mean_distance_between_failures"
"2022-06","Bronx","EXP","5442153","518","10506.08687"
"2022-06","Bronx","LCL/LTD","18156687","4150","4375.105301"
"2022-06","Bronx","SBS","1785102","372","4798.66129"
"2022-06","Brooklyn","EXP","1579752","211","7486.976303"
"2022-06","Brooklyn","LCL/LTD","29765353","3969","7499.459058"
"2022-06","Brooklyn","SBS","2046660","221","9260.904977"
"2022-06","Manhattan","LCL/LTD","11165386","2795","3994.771377"
"2022-06","Manhattan","SBS","3710220","708","5240.423729"
"2022-06","Non Depot","LCL/LTD","280886","0","0"
"2022-06","Queens","EXP","8085546","812","9957.568966"
"2022-06","Queens","LCL/LTD","37064358","5485","6757.403464"
"2022-06","Queens","SBS","3617970","575","6292.121739"
"2022-06","Staten Island","EXP","13610076","665","20466.2797"
"2022-06","Staten Island","LCL/LTD","10616128","489","21709.87321"
"2022-06","Staten Island","SBS","1318048","41","32147.5122"
"2022-05","Bronx","EXP","5437036","537","10124.83426"
"2022-05","Bronx","LCL/LTD","18072449","4207","4295.804374"
"2022-05","Bronx","SBS","1782886","358","4980.128492"
"2022-05","Brooklyn","EXP","1576454","204","7727.715686"
"2022-05","Brooklyn","LCL/LTD","29701428","3957","7506.047005"
"2022-05","Brooklyn","SBS","2041882","216","9453.157407"
"2022-05","Manhattan","LCL/LTD","11141258","2784","4001.888649"
"2022-05","Manhattan","SBS","3705221","681","5440.853157"
"2022-05","Non Depot","LCL/LTD","279736","0","0"
"2022-05","Queens","EXP","8080200","803","10062.51557"
"2022-05","Queens","LCL/LTD","37012232","5521","6703.900018"
"2022-05","Queens","SBS","3611132","551","6553.778584"
"2022-05","Staten Island","EXP","13570753","663","20468.70739"
"2022-05","Staten Island","LCL/LTD","10599257","483","21944.63147"
"2022-05","Staten Island","SBS","1317575","38","34673.02632"
"2022-04","Bronx","EXP","5441003","540","10075.93148"
"2022-04","Bronx","LCL/LTD","18045808","4155","4343.154753"
"2022-04","Bronx","SBS","1778490","339","5246.283186"
"2022-04","Brooklyn","EXP","1573701","203","7752.221675"
"2022-04","Brooklyn","LCL/LTD","29632027","3867","7662.794673"
"2022-04","Brooklyn","SBS","2025981","213","9511.647887"
"2022-04","Manhattan","LCL/LTD","11158047","2743","4067.826103"
"2022-04","Manhattan","SBS","3701336","657","5633.692542"
"2022-04","Non Depot","LCL/LTD","271799","0","0"
"2022-04","Queens","EXP","8043044","799","10066.38799"
"2022-04","Queens","LCL/LTD","36938982","5462","6762.904064"
"2022-04","Queens","SBS","3614918","548","6596.565693"
"2022-04","Staten Island","EXP","13515661","662","20416.40634"
"2022-04","Staten Island","LCL/LTD","10607738","462","22960.47186"
"2022-04","Staten Island","SBS","1320303","37","35683.86486"
"2022-03","Bronx","EXP","5445296","544","10009.73529"
"2022-03","Bronx","LCL/LTD","18045131","4102","4399.105558"
"2022-03","Bronx","SBS","1772934","327","5421.816514"
"2022-03","Brooklyn","EXP","1572660","197","7983.045685"
"2022-03","Brooklyn","LCL/LTD","29627241","3814","7768.023335"
"2022-03","Brooklyn","SBS","2019584","217","9306.83871"
"2022-03","Manhattan","LCL/LTD","11194252","2736","4091.466374"
"2022-03","Manhattan","SBS","3708532","650","5705.433846"
"2022-03","Non Depot","LCL/LTD","232382","0","0"
"2022-03","Queens","EXP","8038230","824","9755.133495"
"2022-03","Queens","LCL/LTD","36938743","5454","6772.780161"
"2022-03","Queens","SBS","3620975","526","6883.98289"
"2022-03","Staten Island","EXP","13512759","653","20693.35222"
"2022-03","Staten Island","LCL/LTD","10644654","475","22409.79789"
"2022-03","Staten Island","SBS","1323319","35","37809.11429"
"2022-02","Bronx","EXP","5429466","570","9525.378947"
"2022-02","Bronx","LCL/LTD","18062415","4074","4433.582474"
"2022-02","Bronx","SBS","1762838","304","5798.809211"
"2022-02","Brooklyn","EXP","1555257","180","8640.316667"
"2022-02","Brooklyn","LCL/LTD","29610055","3754","7887.601225"
"2022-02","Brooklyn","SBS","2013813","214","9410.341122"
"2022-02","Manhattan","LCL/LTD","11241223","2683","4189.796124"
"2022-02","Manhattan","SBS","3724359","630","5911.680952"
"2022-02","Non Depot","LCL/LTD","289591","0","0"
"2022-02","Queens","EXP","7978765","822","9706.526764"
"2022-02","Queens","LCL/LTD","36882078","5423","6801.047022"
"2022-02","Queens","SBS","3625502","521","6958.737044"
"2022-02","Staten Island","EXP","13391894","627","21358.68262"
"2022-02","Staten Island","LCL/LTD","10635603","467","22774.31049"
"2022-02","Staten Island","SBS","1323585","35","37816.71429"
"2022-01","Bronx","EXP","442137","41","10783.82927"
"2022-01","Bronx","LCL/LTD","18032134","4011","4495.670406"
"2022-01","Bronx","SBS","1727006","287","6017.442509"
"2022-01","Brooklyn","EXP","131660","19","6929.473684"
"2022-01","Brooklyn","LCL/LTD","29524709","3694","7992.612074"
"2022-01","Brooklyn","SBS","1985739","209","9501.143541"
"2022-01","Manhattan","LCL/LTD","11298229","2677","4220.481509"
"2022-01","Manhattan","SBS","3680965","620","5937.040323"
"2022-01","Non Depot","LCL/LTD","259651","0","0"
"2022-01","Queens","EXP","653142","56","11663.25"
"2022-01","Queens","LCL/LTD","36778829","5390","6823.530427"
"2022-01","Queens","SBS","3569924","502","7111.40239"
"2022-01","Staten Island","EXP","1072572","69","15544.52174"
"2022-01","Staten Island","LCL/LTD","10398919","464","22411.46336"
"2022-01","Staten Island","SBS","1510926","36","41970.16667"
"2021-12","Bronx","EXP","5455242","565","9655.295575"
"2021-12","Bronx","LCL/LTD","18155924","3963","4581.358567"
"2021-12","Bronx","SBS","1734329","271","6399.738007"
"2021-12","Brooklyn","EXP","1565220","180","8695.666667"
"2021-12","Brooklyn","LCL/LTD","29696225","3619","8205.643824"
"2021-12","Brooklyn","SBS","1998150","204","9794.852941"
"2021-12","Manhattan","LCL/LTD","11416901","2653","4303.392763"
"2021-12","Manhattan","SBS","3735047","603","6194.107794"
"2021-12","Non Depot","LCL/LTD","253141","0","0"
"2021-12","Queens","EXP","8003389","819","9772.147741"
"2021-12","Queens","LCL/LTD","36888411","5280","6986.441477"
"2021-12","Queens","SBS","3603518","508","7093.53937"
"2021-12","Staten Island","EXP","13417680","621","21606.57005"
"2021-12","Staten Island","LCL/LTD","10658575","449","23738.47439"
"2021-12","Staten Island","SBS","1329272","40","33231.8"
"2021-11","Bronx","EXP","5480839","589","9305.329372"
"2021-11","Bronx","LCL/LTD","18212483","3916","4650.787283"
"2021-11","Bronx","SBS","1728363","274","6307.894161"
"2021-11","Brooklyn","EXP","1565886","174","8999.344828"
"2021-11","Brooklyn","LCL/LTD","29736902","3683","8074.097746"
"2021-11","Brooklyn","SBS","1988094","202","9842.049505"
"2021-11","Manhattan","LCL/LTD","11520588","2704","4260.572485"
"2021-11","Manhattan","SBS","3737228","601","6218.349418"
"2021-11","Non Depot","LCL/LTD","192290","0","0"
"2021-11","Queens","EXP","7997017","831","9623.365824"
"2021-11","Queens","LCL/LTD","36859973","5279","6982.377912"
"2021-11","Queens","SBS","3588970","496","7235.826613"
"2021-11","Staten Island","EXP","13456707","600","22427.845"
"2021-11","Staten Island","LCL/LTD","10692739","460","23245.08478"
"2021-11","Staten Island","SBS","1330008","39","34102.76923"
"2021-10","Bronx","EXP","5483428","598","9169.61204"
"2021-10","Bronx","LCL/LTD","18252247","3931","4643.156194"
"2021-10","Bronx","SBS","1726888","273","6325.59707"
"2021-10","Brooklyn","EXP","1565705","174","8998.304598"
"2021-10","Brooklyn","LCL/LTD","29819258","3682","8098.657795"
"2021-10","Brooklyn","SBS","1987199","196","10138.77041"
"2021-10","Manhattan","LCL/LTD","11554763","2725","4240.28"
"2021-10","Manhattan","SBS","3765778","565","6665.093805"
"2021-10","Non Depot","LCL/LTD","174211","0","0"
"2021-10","Queens","EXP","7979184","817","9766.443084"
"2021-10","Queens","LCL/LTD","36824093","5254","7008.772935"
"2021-10","Queens","SBS","3601779","490","7350.569388"
"2021-10","Staten Island","EXP","13459780","599","22470.41736"
"2021-10","Staten Island","LCL/LTD","10698144","458","23358.39301"
"2021-10","Staten Island","SBS","1333548","36","37043"
"2021-09","Bronx","EXP","5518574","589","9369.395586"
"2021-09","Bronx","LCL/LTD","18413210","3878","4748.120165"
"2021-09","Bronx","SBS","1727712","274","6305.518248"
"2021-09","Brooklyn","EXP","1569611","165","9512.793939"
"2021-09","Brooklyn","LCL/LTD","29870412","3628","8233.29989"
"2021-09","Brooklyn","SBS","2100502","193","10883.43005"
"2021-09","Manhattan","LCL/LTD","11641690","2691","4326.157562"
"2021-09","Manhattan","SBS","3799232","557","6820.883303"
"2021-09","Non Depot","EXP","329","0","0"
"2021-09","Non Depot","LCL/LTD","168117","0","0"
"2021-09","Queens","EXP","8007735","827","9682.871826"
"2021-09","Queens","LCL/LTD","36918912","5215","7079.369511"
"2021-09","Queens","SBS","3638001","469","7756.93177"
"2021-09","Staten Island","EXP","13541264","587","23068.59285"
"2021-09","Staten Island","LCL/LTD","10775645","399","27006.62907"
"2021-09","Staten Island","SBS","1342236","90","14913.73333"
"2021-08","Bronx","EXP","5529949","584","9469.090753"
"2021-08","Bronx","LCL/LTD","18539690","3840","4828.044271"
"2021-08","Bronx","SBS","1729076","275","6287.549091"
"2021-08","Brooklyn","EXP","1570354","163","9634.07362"
"2021-08","Brooklyn","LCL/LTD","29851685","3580","8338.459497"
"2021-08","Brooklyn","SBS","2199117","199","11050.8392"
"2021-08","Manhattan","LCL/LTD","11701723","2643","4427.439652"
"2021-08","Manhattan","SBS","3830999","537","7134.07635"
"2021-08","Non Depot","LCL/LTD","133905","0","0"
"2021-08","Queens","EXP","8010733","817","9805.058752"
"2021-08","Queens","LCL/LTD","37022819","5131","7215.517248"
"2021-08","Queens","SBS","3672653","460","7984.028261"
"2021-08","Staten Island","EXP","13604506","573","23742.59337"
"2021-08","Staten Island","LCL/LTD","10805052","370","29202.84324"
"2021-08","Staten Island","SBS","1384489","90","15383.21111"
"2021-07","Bronx","EXP","5560773","590","9425.038983"
