"reporting_period","project_number","legacy_project_number","street_address","city","county","state","zip_code","incorporated_municipality","municipality_type","census_tract","sector","program_type","solicitation","electric_utility","purchase_type","date_application_received","date_install","project_status","contractor","minority_or_women_owned_business_enterprise_mwbe","inverter_manufacturer","primary_inverter_model_number","inverter_quantity","pv_module_manufacturer","pv_module_model_number","pv_module_quantity","project_cost","incentive","totalnameplatekwdc","expected_kwh_annual_production","remote_net_metering","affordable_solar","community_distributed_generation","green_jobs_green_new_york_participant","latitude","longitude","georeference"
"2022-07-31T00:00:00.000","2011-159247-SLPR",,,"West Babylon","Suffolk","NY","11704","Babylon","Town",,"Residential","Residential/Small Commercial","SPLR","Long Island Power Authority","Purchase","2009-12-15T00:00:00.000","2009-12-15T00:00:00.000","Complete",,"No",,,"0.00",,,"0.00","0.00","35225.00","10.15","11914",,"No","No","No","40.7220959","-73.3692774","POINT (-73.3692774 40.7220959)"
"2022-07-31T00:00:00.000","0000380283",,,"Hollis","Queens","NY","11423","New York","City","36081051000","Residential","Residential/Small Commercial","PON 2112","Consolidated Edison","Purchase","2022-01-11T00:00:00.000",,"Pipeline",,"No","SunPower","SPR-M425-H-AC [240V]","12.00","SunPower","SPR-M425-H-AC","12.00","34857.80","1020.00","5.1","6153",,"No","No","No","40.7097117","-73.7537153","POINT (-73.7537153 40.7097117)"
"2022-07-31T00:00:00.000","2011-156398-SLPR",,,"Southampton","Suffolk","NY","11968","Southampton","Town",,"Residential","Residential/Small Commercial","SLPR 2010 Residential","Long Island Power Authority","Purchase","2002-09-06T00:00:00.000","2002-09-06T00:00:00.000","Complete",,"No",,,"0.00",,,"0.00","2455.00","1980.00","0.33","387",,"No","No","No","40.9275064","-72.4206917","POINT (-72.4206917 40.9275064)"
"2022-07-31T00:00:00.000","2013-538593-Sola",,,"Syosset","Nassau","NY","11791","Oyster Bay","Town","36059518700","Residential","Residential/Small Commercial","Solar Pioneer Leasing","Long Island Power Authority","Lease","2013-08-06T00:00:00.000","2014-04-14T00:00:00.000","Complete","SUNRUN, INC","No","Power-One",,"1.00","Trina Sola",,"17.00","18585.00","3411.84","4.25","4989",,"No","No","No","40.8037167","-73.50656","POINT (-73.50656 40.8037167)"
"2022-07-31T00:00:00.000","0000483842",,,"Franklin Square","Nassau","NY","11010","Hempstead","Town","36059405600","Residential","Residential/Small Commercial","PON 2112","Long Island Power Authority","Purchase","2022-07-22T00:00:00.000",,"Pipeline",,"No",,,"0.00",,,"0.00","0.00","6250.00","0","0",,"No","No","No","40.6956088","-73.6734206","POINT (-73.6734206 40.6956088)"
"2022-07-31T00:00:00.000","0000331939",,,"Bethpage","Nassau","NY","11714","Oyster Bay","Town","36059520002","Residential","Residential/Small Commercial","PON 2112","Long Island Power Authority","Purchase","2021-10-14T00:00:00.000",,"Pipeline",,"No",,,"0.00",,,"0.00","0.00","6250.00","0","0",,"No","No","No","40.7418349","-73.4754641","POINT (-73.4754641 40.7418349)"
"2022-07-31T00:00:00.000","2011-160040-SLPR",,,"Westhampton Beach","Suffolk","NY","11978","Southampton","Town",,"Non-Residential","Residential/Small Commercial","SLPR ENTRPNR 2010 NFP","Long Island Power Authority","Purchase","2010-11-11T00:00:00.000","2010-11-11T00:00:00.000","Complete",,"No",,,"0.00",,,"0.00","111435.00","60825.00","16.33","19169",,"No","No","No","40.793451765","-72.648359035","POINT (-72.648359035 40.793451765)"
"2022-07-31T00:00:00.000","2011-159704-SLPR",,,"Selden","Suffolk","NY","11784","Brookhaven","Town",,"Residential","Residential/Small Commercial","SLPR 2010 Residential","Long Island Power Authority","Purchase","2009-10-20T00:00:00.000","2009-10-20T00:00:00.000","Complete",,"No",,,"0.00",,,"0.00","58209.00","27370.00","7.82","9179",,"No","No","No","40.8730905","-73.0423199","POINT (-73.0423199 40.8730905)"
"2022-07-31T00:00:00.000","2011-158005-SLPR",,,"East Islip","Suffolk","NY","11730","Islip","Town",,"Residential","Residential/Small Commercial","SLPR 2010 Residential","Long Island Power Authority","Purchase","2008-07-09T00:00:00.000","2008-07-09T00:00:00.000","Complete",,"No",,,"0.00",,,"0.00","0.00","24000.00","6.4","7513",,"No","No","No","40.7218497","-73.1811284","POINT (-73.1811284 40.7218497)"
"2022-07-31T00:00:00.000","2011-160664-SLPR",,,"Mineola","Nassau","NY","11501","North Hempstead","Town",,"Residential","Residential/Small Commercial","SLPR 2010 Residential","Long Island Power Authority","Purchase","2010-07-15T00:00:00.000","2010-07-15T00:00:00.000","Complete",,"No",,,"0.00",,,"0.00","40950.00","20475.00","6.3","7395",,"No","No","No","40.744998","-73.6413147","POINT (-73.6413147 40.744998)"
