"service_date","month","year","call_center","percentage_of_calls_answered","average_answer_speed"
"2022-05-01T00:00:00.000","5","2022","Overall","0.8893","184"
"2022-05-01T00:00:00.000","5","2022","Reservations","0.9091","213"
"2022-05-01T00:00:00.000","5","2022","Transit Control","0.8582","134"
"2022-04-01T00:00:00.000","4","2022","Overall","0.9251","119"
"2022-04-01T00:00:00.000","4","2022","Reservations","0.9389","135"
"2022-04-01T00:00:00.000","4","2022","Transit Control","0.9033","91"
"2022-03-01T00:00:00.000","3","2022","Overall","0.9384","85"
"2022-03-01T00:00:00.000","3","2022","Reservations","0.9554","91"
"2022-03-01T00:00:00.000","3","2022","Transit Control","0.9139","77"
"2022-02-01T00:00:00.000","2","2022","Overall","0.9493","66"
"2022-02-01T00:00:00.000","2","2022","Reservations","0.9643","69"
"2022-02-01T00:00:00.000","2","2022","Transit Control","0.9272","61"
"2022-01-01T00:00:00.000","1","2022","Overall","0.9772","22"
"2022-01-01T00:00:00.000","1","2022","Reservations","0.983","21"
"2022-01-01T00:00:00.000","1","2022","Transit Control","0.9673","24"
"2021-12-01T00:00:00.000","12","2021","Overall","0.8986","159"
"2021-12-01T00:00:00.000","12","2021","Transit Control","0.8524","166"
"2021-12-01T00:00:00.000","12","2021","Reservations","0.9342","154"
"2021-11-01T00:00:00.000","11","2021","Overall","0.8585","225"
"2021-11-01T00:00:00.000","11","2021","Reservations","0.9134","204"
"2021-11-01T00:00:00.000","11","2021","Transit Control","0.7889","256"
"2021-10-01T00:00:00.000","10","2021","Overall","0.8649","200"
"2021-10-01T00:00:00.000","10","2021","Reservations","0.9208","173"
"2021-10-01T00:00:00.000","10","2021","Transit Control","0.7895","242"
"2021-09-01T00:00:00.000","9","2021","Overall","0.8669","219"
"2021-09-01T00:00:00.000","9","2021","Reservations","0.8997","230"
"2021-09-01T00:00:00.000","9","2021","Transit Control","0.8175","201"
"2021-08-01T00:00:00.000","8","2021","Overall","0.9022","157"
"2021-08-01T00:00:00.000","8","2021","Reservations","0.9252","171"
"2021-08-01T00:00:00.000","8","2021","Transit Control","0.8658","133"
"2021-07-01T00:00:00.000","7","2021","Overall","0.8585","233"
"2021-07-01T00:00:00.000","7","2021","Reservations","0.8976","241"
"2021-07-01T00:00:00.000","7","2021","Transit Control","0.7974","219"
"2021-06-01T00:00:00.000","6","2021","Overall","0.7823","344"
"2021-06-01T00:00:00.000","6","2021","Reservations","0.8243","371"
"2021-06-01T00:00:00.000","6","2021","Transit Control","0.7158","294"
"2021-05-01T00:00:00.000","5","2021","Overall","0.9221","102"
"2021-05-01T00:00:00.000","5","2021","Reservations","0.9397","106"
"2021-05-01T00:00:00.000","5","2021","Transit Control","0.8904","93"
"2021-04-01T00:00:00.000","4","2021","Overall","0.9565","51"
"2021-04-01T00:00:00.000","4","2021","Reservations","0.9612","58"
"2021-04-01T00:00:00.000","4","2021","Transit Control","0.9473","38"
"2021-03-01T00:00:00.000","3","2021","Overall","0.9734","29"
"2021-03-01T00:00:00.000","3","2021","Reservations","0.9766","32"
"2021-03-01T00:00:00.000","3","2021","Transit Control","0.9669","23"
"2021-02-01T00:00:00.000","2","2021","Overall","0.9779","24"
"2021-02-01T00:00:00.000","2","2021","Reservations","0.9813","26"
"2021-02-01T00:00:00.000","2","2021","Transit Control","0.9709","20"
"2021-01-01T00:00:00.000","1","2021","Overall","0.973","25"
"2021-01-01T00:00:00.000","1","2021","Reservations","0.9758","28"
"2021-01-01T00:00:00.000","1","2021","Transit Control","0.9663","17"
"2020-12-01T00:00:00.000","12","2020","Overall","0.9631","48"
"2020-12-01T00:00:00.000","12","2020","Reservations","0.9663","55"
"2020-12-01T00:00:00.000","12","2020","Transit Control","0.9556","31"
"2020-11-01T00:00:00.000","11","2020","Overall","0.9503","58"
"2020-11-01T00:00:00.000","11","2020","Reservations","0.9541","66"
"2020-11-01T00:00:00.000","11","2020","Transit Control","0.941","36"
"2020-10-01T00:00:00.000","10","2020","Overall","0.9635","45"
"2020-10-01T00:00:00.000","10","2020","Reservations","0.9661","51"
"2020-10-01T00:00:00.000","10","2020","Transit Control","0.9573","28"
"2020-09-01T00:00:00.000","9","2020","Overall","0.9683","33"
"2020-09-01T00:00:00.000","9","2020","Reservations","0.9705","38"
"2020-09-01T00:00:00.000","9","2020","Transit Control","0.9631","21"
"2020-08-01T00:00:00.000","8","2020","Overall","0.9696","38"
"2020-08-01T00:00:00.000","8","2020","Reservations","0.9723","43"
"2020-08-01T00:00:00.000","8","2020","Transit Control","0.9628","24"
"2020-07-01T00:00:00.000","7","2020","Overall","0.9691","41"
"2020-07-01T00:00:00.000","7","2020","Reservations","0.9718","48"
"2020-07-01T00:00:00.000","7","2020","Transit Control","0.9627","24"
"2020-06-01T00:00:00.000","6","2020","Overall","0.9624","45"
"2020-06-01T00:00:00.000","6","2020","Reservations","0.9672","52"
