"milepost","type","exit","description","route","route_id","latitude","longitude","location"
"20.94","Interchange","13","(13N & 13S in Both Directions) New Jersey - Palisades Interstate Parkway - Bear Mountain State Park","I-87 - NYS Thruway","ML","41.10179","-73.99245","(41.10179, -73.99245)"
"421.57","Interchange","51","(51E & 51W in Both Directions) Buffalo - NY Route 33 - Airport","I-90 - NYS Thruway","ML","42.93153","-78.76629","(42.93153, -78.76629)"
"423.19","Interchange","52","(52E & 52W in Both Directions) Buffalo - Cheektowaga - Walden Avenue",,"ML","42.9081","-78.76672","(42.9081, -78.76672)"
"4","Interchange","6","(6 Northbound; 6E & 6W Southbound) Yonkers - Bronxville - Tuckahoe Road","I-87 - NYS Thruway","ML","40.95496","-73.86093","(40.95496, -73.86093)"
"0.23","Interchange","8","(8B Northbound; 8B & 8C Southbound) City Island - Pelham Parkway - Orchard Beach","I-95 - New England Thruway","NE","40.8582","-73.8267","(40.8582, -73.8267)"
"5.09","Interchange","8","(8 Westbound; 8E & 8W Eastbound) White Plains - NY Route 127 – Westchester Avenue (NY Route 119) - Westchester Mall Place - Bloomingdale Road","I-287 - Cross Westchester Expressway","CW","41.03383","-73.75378","(41.03383, -73.75378)"
"27.62","Interchange","14B","Airmont - Montebello - Airmont Road","I-87 - NYS Thruway","ML","41.11629","-74.11232","(41.11629, -74.11232)"
"141.92","Interchange","23","Albany (Downtown) - Troy - Rensselaer - I-787 - US Route 9W","I-87 - NYS Thruway","ML","42.63289","-73.78142","(42.63289, -73.78142)"
"6.58","Interchange","B1","Albany - Hudson - Rensselaer - I-90 - US Route 9","Berkshire Connector","B","42.4821","-73.67022","(42.4821, -73.67022)"
"148.15","Interchange","24","Albany - Montreal - I-90 East - I-87 North","I-87/I-90 - NYS Thruway","ML","42.69778","-73.84546","(42.69778, -73.84546)"
"9.06","Interchange","12","Amherst Street (No Southbound Exit)","I-190 - Niagara Thruway","N","42.93391","-78.90299","(42.93391, -78.90299)"
"173.59","Interchange","27","Amsterdam - NY Route 30","I-90 - NYS Thruway","ML","42.92295","-74.19648","(42.92295, -74.19648)"
"7.58","Interchange","7","Ardsley - NY Route 9A (No Southbound Exit)","I-87 - NYS Thruway","ML","41.00872","-73.85099","(41.00872, -73.85099)"
"23.27","Interchange","B3","Austerlitz - New Lebanon - NY Route 22","Berkshire Connector","B","42.35767","-73.42707","(42.35767, -73.42707)"
"9.27","Interchange","13","Austin Street (No Southbound Exit)","I-190 - Niagara Thruway","N","42.93782","-78.90507","(42.93782, -78.90507)"
"1.4","Interchange","2","Bailey Avenue (US Route 62) - Clinton Street (NY Route 354)","I-190 - Niagara Thruway","N","42.87197","-78.81649","(42.87197, -78.81649)"
"1.11","Interchange","11","Bartow Avenue - Co-op City Boulevard","I-95 - New England Thruway","NE","40.86851","-73.83266","(40.86851, -73.83266)"
"390.13","Interchange","48","Batavia - NY Route 98","I-90 - NYS Thruway","ML","43.01859","-78.18819","(43.01859, -78.18819)"
"1.61","Interchange","12","Baychester Avenue (No Southbound Exit)","I-95 - New England Thruway","NE","40.87562","-73.83453","(40.87562, -73.83453)"
"15.61","Interchange","18","Beaver Island State Park (No Northbound Exit)","I-190 - Niagara Thruway","N","43.00609","-78.951","(43.00609, -78.951)"
"15.46","Interchange","18B","Beaver Island State Park (No Southbound Exit)","I-190 - Niagara Thruway","N","43.00562","-78.94961","(43.00562, -78.94961)"
"432.45","Interchange","56","Blasdell - Orchard Park - Mile Strip Road (NY Route 179)","I-90 - NYS Thruway","ML","42.79274","-78.81661","(42.79274, -78.81661)"
"133.6","Interchange","21A","Boston - Massachusetts Turnpike - Berkshire Connector (I-90 East)","I-87 - NYS Thruway","ML","42.51557","-73.78949","(42.51557, -73.78949)"
"6.45","Interchange","9A","Brewster - I-684 - Westchester Avenue","I-287 - Cross Westchester Expressway","CW","41.02472","-73.73036","(41.02472, -73.73036)"
"426.17","Interchange","53","Buffalo (Downtown) - Canada - Niagara Falls - I-190","I-90 - NYS Thruway","ML","42.87422","-78.78891","(42.87422, -78.78891)"
"424.92","Interchange","52A","Buffalo - William Street","I-90 - NYS Thruway","ML","42.88318","-78.76863","(42.88318, -78.76863)"
