"year","month","type","volume"
"2015","February","Imports","240453"
"2015","August","Imports","285834"
"2015","December","Exports","109804"
"2015","January","Imports","235293"
"2015","January","Exports","104201"
"2015","October","Exports","118106"
"2015","February","Exports","102326"
"2015","May","Exports","126641"
"2015","July","Exports","120736"
"2015","September","Exports","111959"
"2015","April","Imports","251106"
"2015","March","Imports","287777"
"2015","September","Imports","286354"
"2015","June","Exports","115991"
"2015","March","Exports","125079"
"2015","November","Exports","116983"
"2015","November","Imports","249112"
"2015","October","Imports","269674"
"2015","August","Exports","114791"
"2015","June","Imports","279038"
"2015","May","Imports","282030"
"2015","July","Imports","295865"
"2015","December","Imports","251802"
"2015","April","Exports","125008"
"2014","February","Imports","207699"
"2014","November","Exports","121504"
"2014","September","Exports","110680"
"2014","May","Imports","248601"
"2014","March","Imports","234059"
"2014","December","Imports","250590"
"2014","September","Imports","252232"
"2014","August","Imports","269715"
"2014","February","Exports","92800"
"2014","May","Exports","128260"
"2014","July","Exports","120241"
"2014","April","Exports","125266"
"2014","April","Imports","229683"
"2014","January","Exports","104646"
"2014","October","Imports","272576"
"2014","March","Exports","135779"
"2014","July","Imports","266371"
"2014","January","Imports","231885"
"2014","August","Exports","127448"
"2014","December","Exports","118006"
"2014","November","Imports","239599"
"2014","June","Imports","241653"
"2014","June","Exports","117848"
"2014","October","Exports","126367"
"2013","July","Imports","250826"
"2013","June","Exports","112884"
"2013","December","Imports","224769"
"2013","January","Exports","116455"
"2013","September","Exports","113282"
"2013","October","Imports","255804"
"2013","June","Imports","229211"
"2013","May","Exports","129160"
"2013","November","Exports","125545"
"2013","April","Imports","216414"
"2013","February","Imports","202521"
"2013","January","Imports","215142"
"2013","October","Exports","129205"
"2013","July","Exports","119346"
"2013","April","Exports","131664"
"2013","August","Exports","127074"
"2013","May","Imports","244785"
"2013","February","Exports","119052"
"2013","November","Imports","209290"
"2013","August","Imports","263549"
"2013","September","Imports","235665"
"2013","March","Exports","132189"
"2013","March","Imports","212577"
"2013","December","Exports","110845"
"2012","October","Exports","115865"
"2012","January","Imports","228051"
"2012","February","Imports","219087"
"2012","February","Exports","123307"
"2012","March","Imports","208999"
"2012","March","Exports","143471"
"2012","April","Exports","131268"
