"sample_id","capture_event","capture_loc","latitude","longitude","project_id","waterbody_type","bdate","subject","n","org_spp_code","org_spp_common","tsn","superclass","class","subclass","order","family","genus","species","distinctcommonname","assign_habitattype","assign_foraging_guide","band_num","orig_band_num","yearband_changed","recap","age","sex","mass_g","length_cm","length_method","composite_yes_no","composite_size","comp_minwt_g","comp_maxwt_g","comp_avgwt_g","comp_minlen_cm","comp_maxlen_cm","comp_avglen_cm","tissuecollected","analysis_tissue","sample_comments"
"NY001-020191NYT004-44.35730-74.28352-08082000-C8115-BlTHg","NY001-020191NYT004-44.35730-74.28352-08082000","NY001-020191NYT004-44.35730-74.28352","44.3573","-74.28352","NY001",,"2000-08-08T00:00:00.000","Bird","1","COME","Common Merganser","175185","Tetrapoda","Aves",,"Anseriformes","Anatidae","Mergus","Mergus merganser","Common merganser","Aquatic","Piscivore","1497-84948",,,"No","HY","U","975",,,"No",,,,,,,,"Blood","Blood",
"NY001-040451NYT068-45.04128-71.33524-08251998-C8114-BlTHg","NY001-040451NYT068-45.04128-71.33524-08251998","NY001-040451NYT068-45.04128-71.33524","45.04128","-71.33524","NY001",,"1998-08-25T00:00:00.000","Bird","1","COME","Common Merganser","175185","Tetrapoda","Aves",,"Anseriformes","Anatidae","Mergus","Mergus merganser","Common merganser","Aquatic","Piscivore","1427-10209",,,"No","HY","U","900",,,"No",,,,,,,,"Blood","Blood","1 of 3 juveniles together"
"NY001-040752NYT054-43.83145-74.84585-08122000-C8117-BlTHg","NY001-040752NYT054-43.83145-74.84585-08122000","NY001-040752NYT054-43.83145-74.84585","43.83145","-74.84585","NY001",,"2000-08-12T00:00:00.000","Bird","1","MALL","Mallard","175063","Tetrapoda","Aves",,"Anseriformes","Anatidae","Anas","Anas platyrhynchos","Mallard","Aquatic","Omnivore","1497-84962",,,"No","HY","U","925",,,"No",,,,,,,,"Blood","Blood","all flight feathers in sheath.bill olive w/ yellow tip, eyes brown."
"NY001-040982NYT163-43.59163-74.98727-08102000-C8116-BlTHg","NY001-040982NYT163-43.59163-74.98727-08102000","NY001-040982NYT163-43.59163-74.98727","43.59163","-74.98727","NY001",,"2000-08-10T00:00:00.000","Bird","1","COME","Common Merganser","175185","Tetrapoda","Aves",,"Anseriformes","Anatidae","Mergus","Mergus merganser","Common merganser","Aquatic","Piscivore","1497-84951",,,"No","HY","U","950",,,"No",,,,,,,,"Blood","Blood",
"NY001-050684NYT051T-43.98643-74.23667-07192007-C2377-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07192007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001",,"2007-07-19T00:00:00.000","Bird","1","HETH","Hermit Thrush","179779","Tetrapoda","Aves",,"Passeriformes","Turdidae","Catharus","Catharus guttatus","Hermit thrush","Terrestrial","Invertivore","2251-71222",,,"Yes","ASY","M","28",,,"No",,,,,,,,"Blood","Blood","COMPLETELY MISSING TWO NAILS FROM LEFT LEG"
"NY001-050684NYT051T-43.98643-74.23667-07192007-C2378-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07192007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001",,"2007-07-19T00:00:00.000","Bird","1","HETH","Hermit Thrush","179779","Tetrapoda","Aves",,"Passeriformes","Turdidae","Catharus","Catharus guttatus","Hermit thrush","Terrestrial","Invertivore","2281-67805",,,"No","SY","M","28.6",,,"No",,,,,,,,"Blood","Blood",
"NY001-050684NYT051T-43.98643-74.23667-07192007-C2379-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07192007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001",,"2007-07-19T00:00:00.000","Bird","1","HETH","Hermit Thrush","179779","Tetrapoda","Aves",,"Passeriformes","Turdidae","Catharus","Catharus guttatus","Hermit thrush","Terrestrial","Invertivore","2281-67806",,,"No","SY","F","31.2",,,"No",,,,,,,,"Blood","Blood",
"NY001-050684NYT051T-43.98643-74.23667-07192007-C2959-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07192007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001",,"2007-07-19T00:00:00.000","Bird","1","MAWA","Magnolia Warbler","950035","Tetrapoda","Aves",,"Passeriformes","Parulidae","Setophaga","Setophaga magnolia","Magnolia Warbler","Terrestrial","Invertivore","2520-76104",,,"No","ASY","F","8.8",,,"No",,,,,,,,"Blood","Blood",
"NY001-050684NYT051T-43.98643-74.23667-07192007-C4590-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07192007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001",,"2007-07-19T00:00:00.000","Bird","1","REVI","Red-eyed Vireo","179021","Tetrapoda","Aves",,"Passeriformes","Vireonidae","Vireo","Vireo olivaceus","Red-eyed vireo","Terrestrial","Invertivore","1921-69129",,,"Yes","AHY","M","17.4",,,"No",,,,,,,,"Blood","Blood",
"NY001-050684NYT051T-43.98643-74.23667-07192007-C6256-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07192007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001",,"2007-07-19T00:00:00.000","Bird","1","SOSP","Song Sparrow","179492","Tetrapoda","Aves",,"Passeriformes","Emberizidae","Melospiza","Melospiza melodia","Song sparrow","Terrestrial","Omnivore","2281-67807",,,"No","AHY","M","18.6",,,"No",,,,,,,,"Blood","Blood",
