"tax_year","credit_type","place_of_residence","county","notes","number_of_claims_two_or_more_qualifying_persons","credit_amount_claimed_two_or_more_qualifying_persons_000","average_credit_two_or_more_qualifying_persons","place_of_residence_sort_order"
"2020","NYS CDCC","New York City - Bronx","Bronx",,,,,"1"
"2020","NYS CDCC","New York City - Kings","Kings",,,,,"2"
"2020","NYS CDCC","New York City - Manhattan","Manhattan",,,,,"3"
"2020","NYS CDCC","New York City - Queens","Queens",,,,,"4"
"2020","NYS CDCC","New York City - Richmond","Richmond",,,,,"5"
"2020","NYS CDCC","Total, New York City","Total, New York City",,,,,"6"
"2020","NYS CDCC","Albany","Albany",,,,,"7"
"2020","NYS CDCC","Allegany","Allegany",,,,,"8"
"2020","NYS CDCC","Broome","Broome",,,,,"9"
"2020","NYS CDCC","Cattaraugus","Cattaraugus",,,,,"10"
"2020","NYS CDCC","Cayuga","Cayuga",,,,,"11"
"2020","NYS CDCC","Chautauqua","Chautauqua",,,,,"12"
"2020","NYS CDCC","Chemung","Chemung",,,,,"13"
"2020","NYS CDCC","Chenango","Chenango",,,,,"14"
"2020","NYS CDCC","Clinton","Clinton",,,,,"15"
"2020","NYS CDCC","Columbia","Columbia","d/",,,,"16"
"2020","NYS CDCC","Cortland","Cortland",,,,,"17"
"2020","NYS CDCC","Delaware","Delaware",,,,,"18"
"2020","NYS CDCC","Dutchess","Dutchess",,,,,"19"
"2020","NYS CDCC","Erie","Erie",,,,,"20"
"2020","NYS CDCC","Essex","Essex","d/",,,,"21"
"2020","NYS CDCC","Franklin","Franklin",,,,,"22"
"2020","NYS CDCC","Fulton","Fulton",,,,,"23"
"2020","NYS CDCC","Genesee","Genesee",,,,,"24"
"2020","NYS CDCC","Greene","Greene",,,,,"25"
"2020","NYS CDCC","Hamilton","Hamilton","d/",,,,"26"
"2020","NYS CDCC","Herkimer","Herkimer",,,,,"27"
"2020","NYS CDCC","Jefferson","Jefferson",,,,,"28"
"2020","NYS CDCC","Lewis","Lewis","d/",,,,"29"
"2020","NYS CDCC","Livingston","Livingston",,,,,"30"
"2020","NYS CDCC","Madison","Madison",,,,,"31"
"2020","NYS CDCC","Monroe","Monroe",,,,,"32"
"2020","NYS CDCC","Montgomery","Montgomery",,,,,"33"
"2020","NYS CDCC","Nassau","Nassau",,,,,"34"
"2020","NYS CDCC","Niagara","Niagara",,,,,"35"
"2020","NYS CDCC","Oneida","Oneida",,,,,"36"
"2020","NYS CDCC","Onondaga","Onondaga",,,,,"37"
"2020","NYS CDCC","Ontario","Ontario",,,,,"38"
"2020","NYS CDCC","Orange","Orange",,,,,"39"
"2020","NYS CDCC","Orleans","Orleans",,,,,"40"
"2020","NYS CDCC","Oswego","Oswego",,,,,"41"
"2020","NYS CDCC","Otsego","Otsego",,,,,"42"
"2020","NYS CDCC","Putnam","Putnam",,,,,"43"
"2020","NYS CDCC","Rensselaer","Rensselaer",,,,,"44"
"2020","NYS CDCC","Rockland","Rockland",,,,,"45"
"2020","NYS CDCC","St. Lawrence","St. Lawrence",,,,,"46"
"2020","NYS CDCC","Saratoga","Saratoga",,,,,"47"
"2020","NYS CDCC","Schenectady","Schenectady",,,,,"48"
"2020","NYS CDCC","Schoharie","Schoharie","d/",,,,"49"
"2020","NYS CDCC","Schuyler","Schuyler","d/",,,,"50"
"2020","NYS CDCC","Seneca","Seneca","d/",,,,"51"
"2020","NYS CDCC","Steuben","Steuben",,,,,"52"
"2020","NYS CDCC","Suffolk","Suffolk",,,,,"53"
"2020","NYS CDCC","Sullivan","Sullivan",,,,,"54"
"2020","NYS CDCC","Tioga","Tioga",,,,,"55"
"2020","NYS CDCC","Tompkins","Tompkins",,,,,"56"
"2020","NYS CDCC","Ulster","Ulster",,,,,"57"
"2020","NYS CDCC","Warren","Warren",,,,,"58"
"2020","NYS CDCC","Washington","Washington",,,,,"59"
"2020","NYS CDCC","Wayne","Wayne",,,,,"60"
"2020","NYS CDCC","Westchester","Westchester",,,,,"61"
"2020","NYS CDCC","Wyoming","Wyoming",,,,,"62"
"2020","NYS CDCC","Yates","Yates","d/",,,,"63"
"2020","NYS CDCC","NYS Unclassified +","All","d/",,,,"65"
"2020","NYS CDCC","All Other +","Not Applicable",,,,,"66"
"2020","NYS CDCC","Full-Year Resident","All",,,,,"67"
"2020","NYS CDCC","Part-Year Resident","Not Applicable",,,,,"68"
"2020","NYS CDCC","Full-Year Nonresident","Not Applicable",,,,,"69"
"2020","NYS CDCC","Grand Total","Grand Total",,,,,"70"
"2019","NYS CDCC","New York City - Bronx","Bronx",,,,,"1"
"2019","NYS CDCC","New York City - Kings","Kings",,,,,"2"
"2019","NYS CDCC","New York City - Manhattan","Manhattan",,,,,"3"
"2019","NYS CDCC","New York City - Queens","Queens",,,,,"4"
"2019","NYS CDCC","New York City - Richmond","Richmond",,,,,"5"
"2019","NYS CDCC","Total, New York City","Total, New York City",,,,,"6"
"2019","NYS CDCC","Albany","Albany",,,,,"7"
"2019","NYS CDCC","Allegany","Allegany",,,,,"8"
"2019","NYS CDCC","Broome","Broome",,,,,"9"
"2019","NYS CDCC","Cattaraugus","Cattaraugus",,,,,"10"
"2019","NYS CDCC","Cayuga","Cayuga",,,,,"11"
"2019","NYS CDCC","Chautauqua","Chautauqua",,,,,"12"
"2019","NYS CDCC","Chemung","Chemung",,,,,"13"
"2019","NYS CDCC","Chenango","Chenango",,,,,"14"
"2019","NYS CDCC","Clinton","Clinton",,,,,"15"
"2019","NYS CDCC","Columbia","Columbia",,,,,"16"
"2019","NYS CDCC","Cortland","Cortland",,,,,"17"
"2019","NYS CDCC","Delaware","Delaware",,,,,"18"
"2019","NYS CDCC","Dutchess","Dutchess",,,,,"19"
"2019","NYS CDCC","Erie","Erie",,,,,"20"
"2019","NYS CDCC","Essex","Essex","d/",,,,"21"
