"admission_year","admission_month","month_code","latest_admission_type","county_of_commitment","last_known_residence_county","gender","age_at_admission","most_serious_crime"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"FEMALE","25","POS FORGE INS 2ND"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"FEMALE","30","STOLEN PROP 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"FEMALE","31","GRAND LARCEN 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","17","YO ROBBERY"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","18","ROBBERY 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","18","BURGLARY 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","18","GR LAR 4TH AUTO"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","19","YO BURGLARY"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","20","BURGLARY 2ND"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","20","CPCS 4TH"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","21","BURGLARY 1ST"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","21","BURGLARY 2ND"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","21","BURGLARY 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","22","BURGLARY 1ST"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","22","BURGLARY 2ND"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","22","CSCS 5TH"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","22","C POS WEAPON 2ND"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","23","CSCS 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","23","CR POS WEAP 3 SUB1,2,3"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","25","BURGLARY 2ND"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","25","CPCS 4TH"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","29","MANSLAUGHTER 1ST"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","29","CSCS 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","31","CSCS 5TH"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","32","ASSAULT 1ST B FELONY"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","34","ROBBERY 2ND"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","34","CPCS 4TH"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","35","CSCS 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","35","CSCS 5TH"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","38","BURGLARY 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","38","STOLEN PROP 4TH"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","39","CRIM POS MARI 2"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","40","RAPE 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","41","GRAND LARCEN 4TH"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","51","BURGLARY 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","54","RAPE 1ST"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALBANY",,"MALE","55","FAIL REGIS SEX 2ND"
"2008","DECEMBER","12","NEW COURT COMMITMENT","ALLEGANY",,"MALE","26","CSCS 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","BRONX",,"FEMALE","21","MURDER 2ND"
"2008","DECEMBER","12","NEW COURT COMMITMENT","BRONX",,"FEMALE","23","CPCS 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","BRONX",,"FEMALE","26","MURDER 2ND"
"2008","DECEMBER","12","NEW COURT COMMITMENT","BRONX",,"FEMALE","26","CSCS 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","BRONX",,"FEMALE","30","CSCS 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","BRONX",,"FEMALE","35","GRAND LARCEN 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","BRONX",,"FEMALE","44","CSCS 3RD"
"2008","DECEMBER","12","NEW COURT COMMITMENT","BRONX",,"FEMALE","48","CSCS 5TH"
"2008","DECEMBER","12","NEW COURT COMMITMENT","BRONX",,"FEMALE","50","CPCS 3RD"
