"area","year","month","laborforce","employed","unemployed","unemployment_rate"
"New York State","2022","1","9397000","8900900","496100","5.3"
"New York State","2022","2","9400100","8923000","477100","5.1"
"New York State","2022","3","9438700","8995400","443300","4.7"
"New York State","2022","4","9397500","9006400","391000","4.2"
"New York State","2022","5","9503900","9115300","388600","4.1"
"New York State","2022","6","9551400","9136900","414600","4.3"
"New York State","2022","7","9590300","9131000","459400","4.8"
"New York State","2021","1","9340100","8475500","864600","9.3"
"New York State","2021","2","9340500","8479100","861400","9.2"
"New York State","2021","3","9552100","8763000","789100","8.3"
"New York State","2021","4","9509800","8778100","731700","7.7"
"New York State","2021","5","9445600","8780800","664800","7"
"New York State","2021","6","9563700","8848600","715100","7.5"
"New York State","2021","7","9573600","8891400","682200","7.1"
"New York State","2021","8","9506800","8869900","636900","6.7"
"New York State","2021","9","9405300","8866300","539000","5.7"
"New York State","2021","10","9389800","8887900","502000","5.3"
"New York State","2021","11","9348000","8893100","454900","4.9"
"New York State","2021","12","9322100","8901600","420500","4.5"
"New York State","2020","1","9944700","9525700","418900","4.2"
"New York State","2020","2","9952800","9528800","424000","4.3"
"New York State","2020","3","9891700","9414700","477000","4.8"
"New York State","2020","4","9271400","7797300","1474100","15.9"
"New York State","2020","5","9360300","7817700","1542600","16.5"
"New York State","2020","6","9595300","8306300","1289000","13.4"
"New York State","2020","7","9649900","8389000","1260900","13.1"
"New York State","2020","8","9585100","8540300","1044800","10.9"
"New York State","2020","9","9467100","8510700","956400","10.1"
"New York State","2020","10","9446300","8606800","839400","8.9"
"New York State","2020","11","9384200","8585200","798900","8.5"
"New York State","2020","12","9351800","8552700","799100","8.5"
"New York State","2019","1","9849500","9402600","446900","4.5"
"New York State","2019","2","9845500","9413500","432000","4.4"
"New York State","2019","3","9870500","9474600","395900","4"
"New York State","2019","4","9808400","9469100","339200","3.5"
"New York State","2019","5","9808700","9467300","341400","3.5"
"New York State","2019","6","9901600","9538800","362700","3.7"
"New York State","2019","7","9962900","9563800","399100","4"
"New York State","2019","8","9930900","9536000","394900","4"
"New York State","2019","9","9896500","9550600","345900","3.5"
"New York State","2019","10","9921400","9557600","363800","3.7"
"New York State","2019","11","9883700","9529800","353900","3.6"
"New York State","2019","12","9883000","9527700","355300","3.6"
"New York State","2018","1","9787200","9305100","482100","4.9"
"New York State","2018","2","9819900","9330200","489700","5"
"New York State","2018","3","9827000","9385100","441900","4.5"
"New York State","2018","4","9794300","9404200","390100","4"
"New York State","2018","5","9797700","9443000","354600","3.6"
"New York State","2018","6","9929000","9524100","404900","4.1"
"New York State","2018","7","9955600","9543800","411800","4.1"
"New York State","2018","8","9874600","9475900","398700","4"
"New York State","2018","9","9817900","9462100","355800","3.6"
"New York State","2018","10","9847500","9487800","359700","3.7"
"New York State","2018","11","9813700","9461300","352500","3.6"
"New York State","2018","12","9842700","9463200","379500","3.9"
"New York State","2017","1","9759700","9257700","502100","5.1"
"New York State","2017","2","9781000","9268800","512200","5.2"
"New York State","2017","3","9828500","9374200","454300","4.6"
"New York State","2017","4","9804200","9378100","426100","4.3"
"New York State","2017","5","9810600","9384100","426500","4.3"
"New York State","2017","6","9920100","9469600","450500","4.5"
"New York State","2017","7","9985500","9501100","484400","4.9"
"New York State","2017","8","9906600","9422900","483700","4.9"
