"airport","year","month","domestic","international","total"
"ACY","2015","Jun","927","36","963"
"ACY","2015","May","964","16","980"
"ACY","2015","Sep","725","8","733"
"ACY","2015","Jul","992","39","1031"
"ACY","2015","Mar","907","3","910"
"ACY","2015","Nov","744","0","744"
"ACY","2015","Apr","901","3","904"
"ACY","2015","Oct","694","4","698"
"ACY","2015","Aug","922","41","963"
"ACY","2015","Feb","785","1","786"
"ACY","2015","Dec","759","1","760"
"ACY","2015","Jan","831","1","832"
"ACY","2014","Mar","871","4","875"
"ACY","2014","Jan","777","0","777"
"ACY","2014","Feb","738","2","740"
"ACY","2014","Jul","1038","4","1042"
"ACY","2014","Apr","965","4","969"
"ACY","2014","Dec","795","1","796"
"ACY","2014","Nov","963","0","963"
"ACY","2014","Aug","1077","4","1081"
"ACY","2014","Sep","845","5","850"
"ACY","2014","Oct","845","7","852"
"ACY","2014","May","1057","2","1059"
"ACY","2014","Jun","1047","7","1054"
"ACY","2013","Dec","728","2","730"
"ACY","2013","Feb","680","4","684"
"ACY","2013","Mar","789","2","791"
"ACY","2013","Jul","905","3","908"
"ACY","2013","May","928","3","931"
"ACY","2013","Jun","908","5","913"
"ACY","2013","Jan","716","2","718"
"ACY","2013","Oct","712","3","715"
"ACY","2013","Sep","746","2","748"
"ACY","2013","Aug","930","6","936"
"ACY","2013","Nov","796","2","798"
"ACY","2013","Apr","770","3","773"
"ACY","2012","Sep","834","2","836"
"ACY","2012","Dec","694","2","696"
"ACY","2012","Nov","718","2","720"
"ACY","2012","May","1051","4","1055"
"ACY","2012","Oct","749","2","751"
"ACY","2012","Mar","1005","4","1009"
"ACY","2012","Apr","977","2","979"
"ACY","2012","Feb","756","2","758"
"ACY","2012","Jul","1131","0","1131"
"ACY","2012","Aug","1118","2","1120"
"ACY","2012","Jan","808","0","808"
"ACY","2012","Jun","1065","1","1066"
"EWR","2015","May","26071","7582","33653"
"EWR","2015","Jun","26244","7645","33889"
"EWR","2015","Aug","27102","8322","35424"
"EWR","2015","Feb","21203","6386","27589"
"EWR","2015","Apr","26181","7884","34065"
"EWR","2015","Oct","27294","7180","34474"
"EWR","2015","Jan","23141","7027","30168"
"EWR","2015","Sep","25449","7091","32540"
"EWR","2015","Nov","26469","6880","33349"
"EWR","2015","Mar","25189","7652","32841"
"EWR","2015","Dec","26833","7734","34567"
"EWR","2015","Jul","27470","8436","35906"
"EWR","2014","Dec","25703","8024","33727"
"EWR","2014","Jun","25329","8031","33360"
"EWR","2014","Mar","25609","8021","33630"
"EWR","2014","Feb","19611","6192","25803"
"EWR","2014","Apr","22619","7502","30121"
"EWR","2014","Jul","26272","8966","35238"
"EWR","2014","Sep","24380","7107","31487"
"EWR","2014","Oct","25024","7329","32353"
"EWR","2014","Nov","25454","7106","32560"
"EWR","2014","Aug","26959","8438","35397"
"EWR","2014","May","22541","7991","30532"
"EWR","2014","Jan","22398","7049","29447"
"EWR","2013","Mar","25987","8111","34098"
"EWR","2013","Nov","25544","6949","32493"
"EWR","2013","Sep","25082","7263","32345"
"EWR","2013","Jul","26630","8399","35029"
"EWR","2013","Feb","22039","6997","29036"
"EWR","2013","May","26666","8039","34705"
"EWR","2013","Dec","25784","7100","32884"
"EWR","2013","Aug","27056","8299","35355"
"EWR","2013","Oct","26869","7546","34415"
"EWR","2013","Jun","25552","8025","33577"
"EWR","2013","Apr","26287","8116","34403"
"EWR","2013","Jan","24535","7846","32381"
"EWR","2012","Dec","23535","7521","31056"
"EWR","2012","Jul","26103","8793","34896"
"EWR","2012","Oct","23732","7215","30947"
"EWR","2012","Feb","23935","7531","31466"
"EWR","2012","Jun","26295","8337","34632"
"EWR","2012","Aug","29700","8671","38371"
"EWR","2012","Apr","26349","8302","34651"
"EWR","2012","Nov","24926","7087","32013"
"EWR","2012","Mar","26908","8436","35344"
"EWR","2012","Sep","24360","7613","31973"
"EWR","2012","May","26160","8218","34378"
"EWR","2012","Jan","24328","7949","32277"
"EWR","2011","Feb","20788","7165","27953"
"EWR","2011","Nov","25469","7538","33007"
"EWR","2011","Apr","25024","8519","33543"
