"service_date","month","year","provider_type","no_shows_per_1000_calls"
"2022-05-01T00:00:00.000","5","2022","Primary","2.31"
"2022-05-01T00:00:00.000","5","2022","Broker","4.41"
"2022-04-01T00:00:00.000","4","2022","Primary","1.7"
"2022-04-01T00:00:00.000","4","2022","Broker","2.95"
"2022-03-01T00:00:00.000","3","2022","Primary","1.24"
"2022-03-01T00:00:00.000","3","2022","Broker","3.71"
"2022-02-01T00:00:00.000","2","2022","Primary","1.21"
"2022-02-01T00:00:00.000","2","2022","Broker","4.74"
"2022-01-01T00:00:00.000","1","2022","Primary","0.52"
"2022-01-01T00:00:00.000","1","2022","Broker","4.29"
"2021-12-01T00:00:00.000","12","2021","Primary","1.89"
"2021-12-01T00:00:00.000","12","2021","Broker","8.64"
"2021-11-01T00:00:00.000","11","2021","Primary","2.49"
"2021-11-01T00:00:00.000","11","2021","Broker","10.66"
"2021-10-01T00:00:00.000","10","2021","Primary","4.68"
"2021-10-01T00:00:00.000","10","2021","Broker","6.07"
"2021-09-01T00:00:00.000","9","2021","Primary","6.6"
"2021-09-01T00:00:00.000","9","2021","Broker","6.31"
"2021-08-01T00:00:00.000","8","2021","Primary","4.23"
"2021-08-01T00:00:00.000","8","2021","Broker","2.85"
"2021-07-01T00:00:00.000","7","2021","Broker","5.45"
"2021-07-01T00:00:00.000","7","2021","Primary","3.31"
"2021-06-01T00:00:00.000","6","2021","Primary","3.55"
"2021-06-01T00:00:00.000","6","2021","Broker","6.64"
"2021-05-01T00:00:00.000","5","2021","Primary","1.88"
"2021-05-01T00:00:00.000","5","2021","Broker","2.77"
"2021-04-01T00:00:00.000","4","2021","Primary","1.05"
"2021-04-01T00:00:00.000","4","2021","Broker","0.8"
"2021-03-01T00:00:00.000","3","2021","Primary","0.74"
"2021-03-01T00:00:00.000","3","2021","Broker","1.19"
"2021-02-01T00:00:00.000","2","2021","Primary","0.6"
"2021-02-01T00:00:00.000","2","2021","Broker","0.92"
"2021-01-01T00:00:00.000","1","2021","Primary","0.32"
"2021-01-01T00:00:00.000","1","2021","Broker","0.42"
"2020-12-01T00:00:00.000","12","2020","Primary","1.13"
"2020-12-01T00:00:00.000","12","2020","Broker","0.41"
