Campground,County,URL,Y,X,Location,NYS Municipal Boundaries,New York Zip Codes,Counties
Alger Island Campground,HERKIMER,http://www.dec.ny.gov/outdoor/24451.html,43.745784,-74.874585,"(43.745784, -74.874585)",666,1279,2088
Caroga Lake Campground,FULTON,http://www.dec.ny.gov/outdoor/24458.html,43.124012,-74.471252,"(43.124012, -74.471252)",387,1227,2085
Eighth Lake Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24465.html,43.764273,-74.709992,"(43.764273, -74.709992)",866,565,622
Saranac Lake Islands Campground,FRANKLIN,http://www.dec.ny.gov/outdoor/24496.html,44.287407,-74.186551,"(44.287407, -74.186551)",183,303,621
Lincoln Pond Campground,ESSEX,http://www.dec.ny.gov/outdoor/24477.html,44.137906,-73.578797,"(44.137906, -73.578797)",445,287,2084
Poplar Point Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24491.html,43.428646,-74.541481,"(43.428646, -74.541481)",870,1306,622
Little Pond Campground,DELAWARE,http://www.dec.ny.gov/outdoor/24478.html,42.034308,-74.741032,"(42.034308, -74.741032)",434,1063,2182
Hearthstone Point Campground,WARREN,http://www.dec.ny.gov/outdoor/24470.html,43.455204,-73.697195,"(43.455204, -73.697195)",820,128,2183
Lake George Islands Campground,WARREN,http://www.dec.ny.gov/outdoor/24474.html,43.587823,-73.56741,"(43.587823, -73.56741)",729,102,2184
Tioga Point Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24499.html,43.844389,-74.631119,"(43.844389, -74.631119)",864,1362,622
Meadowbrook Campground,ESSEX,http://www.dec.ny.gov/outdoor/24482.html,44.29639,-74.081217,"(44.29639, -74.081217)",430,298,2084
Ausable Point Campground,CLINTON,http://www.dec.ny.gov/outdoor/24452.html,44.570662,-73.430416,"(44.570662, -73.430416)",5,293,2038
Cranberry Lake Campground,ST LAWRENCE,http://www.dec.ny.gov/outdoor/24460.html,44.195805,-74.82649,"(44.195805, -74.82649)",337,219,2140
Meacham Lake Campground,FRANKLIN,http://www.dec.ny.gov/outdoor/24481.html,44.578315,-74.286018,"(44.578315, -74.286018)",186,278,621
Putnam Pond Campground,ESSEX,http://www.dec.ny.gov/outdoor/24492.html,43.841207,-73.573533,"(43.841207, -73.573533)",420,154,2084
Lake Harris Campground,ESSEX,http://www.dec.ny.gov/outdoor/24469.html,43.979393,-74.133351,"(43.979393, -74.133351)",438,134,2084
North/South Lake Campground,GREENE,http://www.dec.ny.gov/outdoor/24487.html,42.198397,-74.044961,"(42.198397, -74.044961)",755,187,2087
