"month","borough","trip_type","route_id","period","number_of_customers","additional_bus_stop_time","additional_travel_time","customer_journey_time"
"2017-08","Bronx","EXP","All","Off-Peak","131347.5269","2.513171286","2.109410653","0.60349083"
"2017-08","Bronx","EXP","All","Peak","126360.6546","1.803960921","4.241308929","0.510232742"
"2017-08","Bronx","LCL/LTD","All","Off-Peak","6357878.183","1.773871681","0.657222322","0.736949862"
"2017-08","Bronx","LCL/LTD","All","Peak","4195071.665","1.445789811","0.326639585","0.77740331"
"2017-08","Bronx","SBS","All","Off-Peak","552625.6796","1.07633168","0.600541845","0.765095063"
"2017-08","Bronx","SBS","All","Peak","379705.6835","1.056309582","0.548358229","0.787985603"
"2017-08","Brooklyn","EXP","All","Off-Peak","72810.2514","2.521951484","-1.290491459","0.721149583"
"2017-08","Brooklyn","EXP","All","Peak","126814.4303","1.78568884","-2.692590017","0.760547205"
"2017-08","Brooklyn","LCL/LTD","All","Off-Peak","7186653.259","1.916957983","0.545923045","0.725706134"
"2017-08","Brooklyn","LCL/LTD","All","Peak","4878667.916","1.704638355","0.369962605","0.748066245"
"2017-08","Brooklyn","SBS","All","Off-Peak","436663.3737","1.19762389","0.17428568","0.805892863"
"2017-08","Brooklyn","SBS","All","Peak","349861.8232","1.069302267","0.07537181","0.834572563"
"2017-08","Manhattan","LCL/LTD","All","Off-Peak","3383212.88","1.664713175","0.436244609","0.74818907"
"2017-08","Manhattan","LCL/LTD","All","Peak","2317702.325","1.449436328","0.261017608","0.779016845"
"2017-08","Manhattan","SBS","All","Off-Peak","1114701.346","1.311204102","0.193559346","0.790111078"
"2017-08","Manhattan","SBS","All","Peak","847298.3461","1.085401829","-0.086206756","0.837896158"
"2017-08","Queens","EXP","All","Off-Peak","87655.886","2.528539514","0.010215713","0.67445107"
"2017-08","Queens","EXP","All","Peak","201798.5443","1.965383647","2.399448297","0.559774794"
"2017-08","Queens","LCL/LTD","All","Off-Peak","7170086.818","1.838443118","0.701102706","0.734682744"
"2017-08","Queens","LCL/LTD","All","Peak","5014503.086","1.609201835","0.544692405","0.748342964"
"2017-08","Queens","SBS","All","Off-Peak","395855.8067","1.151264953","1.860895774","0.671580238"
"2017-08","Queens","SBS","All","Peak","214772.2789","1.35823834","1.228636882","0.706019172"
