"lat1","long1","college_of_institution_type","campus","address","address_2","city","state","zip","county","institution_level","institution_type","enrollment_as_of","undergrad_enrollment","graduate_enrollment","program_1","program_2","program_3","program_4","program_5","campus_website","georeference"
"43.9843063","-75.9313431","Jefferson","JEFFERSON COMMUNITY COLLEGE","1220 COFFEEN ST",,"WATERTOWN","NY","13601","Jefferson","2-year","Community Colleges","Fall 2018","3277","0","Liberal Arts & Sciences--Humanities & Social Science","Liberal Arts & Sciences: Mathematics & Sciences","Individual Studies","Business: Business Administration","Criminal Justice","http://www.sunyjefferson.edu","POINT (-75.9313431 43.9843063)"
"44.6937408","-73.4672546","Clinton","CLINTON COMMUNITY COLLEGE","136 CLINTON POINT DR",,"PLATTSBURGH","NY","12901","Clinton","2-year","Community Colleges","Fall 2018","1376","0","Liberal Arts & Sciences: Humanities & Social Science","Business: Business Administration","Criminal Justice","Undergraduate - Nursing","Liberal Arts & Sciences: Math & Science","http://www.clinton.edu/","POINT (-73.4672546 44.6937408)"
"41.7216949","-73.9061966","Dutchess","DUTCHESS COMMUNITY COLLEGE","53 PENDELL RD",,"POUGHKEEPSIE","NY","12601","Dutchess","2-year","Community Colleges","Fall 2018","8582","0","General Studies","Lib Arts & Sci-Hum & Soc Sci","Bus-Business Administration","Criminal Justice: Police","Human Services","http://www.sunydutchess.edu","POINT (-73.9061966 41.7216949)"
"42.2705536","-74.9245529","Delhi","STATE UNIVERSITY OF NEW YORK COLLEGE OF TECHNOLOGY AT DELHI","2 MAIN STREET",,"DELHI","NY","13753","Delaware","2-year","Technology Colleges","Fall 2018","3238","53","Nursing RN","Liberal Arts & Sciences: General Studies","Veterinary Science Technology","Hotel & Restaurant Management","Criminal Justice","http://www.delhi.edu","POINT (-74.9245529 42.2705536)"
"43.2119102","-77.9509811","Brockport","STATE UNIVERSITY COLLEGE AT BROCKPORT","350 NEW CAMPUS DR",,"BROCKPORT","NY","14420","Monroe","4-year","Comprehensive Colleges","Fall 2018","7057","1230","Nursing","Business Administration","Psychology","Health Science","Criminal Justice","http://www.brockport.edu/","POINT (-77.9509811 43.2119102)"
"42.8959999","-75.6411972","Morrisville","STATE UNIVERSITY OF NEW YORK COLLEGE OF AGRICULTURE AND TECHNOLOGY AT MORRISVILLE","80 EASTON ST",,"MORRISVILLE","NY","13408","Madison","4-year","Technology Colleges","Fall 2018","2986","0","Nursing","Individual Studies","Criminal Justice","Automotive Technology","Agriculture: Animal Science - Equine Science & Management","http://www.morrisville.edu","POINT (-75.6411972 42.8959999)"
"42.1163292","-77.0738907","Corning","CORNING COMMUNITY COLLEGE","1 ACADEMIC DR",,"CORNING","NY","14830","Steuben","2-year","Community Colleges","Fall 2018","3424","0","Lib Arts & Sci--Humanities & Soc Sci","Nursing","Lib Arts & Sci--Math & Science","Business: Business Administration","Bus--Business Administration","http://www.corning-cc.edu","POINT (-77.0738907 42.1163292)"
"40.7404442","-73.9862137","Optometry","STATE UNIVERSITY OF NEW YORK COLLEGE OF OPTOMETRY","100 EAST 24TH ST",,"NEW YORK","NY","10010","New York","Graduate","Doctoral Degree Granting Institutions","Fall 2018","0","408","Optometry","Vision Science",,,,"http://www.sunyopt.edu","POINT (-73.9862137 40.7404442)"
"41.7401619","-74.0813141","New Paltz","STATE UNIVERSITY COLLEGE AT NEW PALTZ","1 HAWK DR",,"NEW PALTZ","NY","12561","Ulster","4-year","Comprehensive Colleges","Fall 2018","6692","916","Psychology","Sociology","Early Childhood & Childhood Education","English","Communication Studies","http://www.newpaltz.edu","POINT (-74.0813141 41.7401619)"
"44.5889854","-75.1620026","Canton","STATE UNIVERSITY OF NEW YORK COLLEGE OF TECHNOLOGY AT CANTON","34 CORNELL DR",,"CANTON","NY","13617","St. Lawrence","2-year","Technology Colleges","Fall 2018","3216","0","Nursing","Health Care Management","Individual Studies","Criminal Investigation","Veterinary Technology","http://www.canton.edu/","POINT (-75.1620026 44.5889854)"
"42.9834557","-74.2950974","Fulton-Montgomery","FULTON-MONTGOMERY COMMUNITY COLLEGE","2805 STATE HWY 67",,"JOHNSTOWN","NY","12095","Montgomery","2-year","Community Colleges","Fall 2018","2451","0","Liberal Arts & Sciences-General Studies","Health Studies","Bus--Business Administration","Business -Business Administration","Criminal Justice","http://fmcc.suny.edu","POINT (-74.2950974 42.9834557)"
"42.4458351","-76.4746933","Cornell Statutory","CORNELL STATUTORY COLLEGES","DAY HALL",,"ITHACA","NY","14853","Tompkins","4-year","Doctoral Degree Granting Institutions","Fall 2018","5968","2215","Nys College Of Agriculture And Life Sciences","Nys College Of Human Ecology","Nys School Of Industrial And Labor Relations","Nys College Of Veterinary Medicine",,"http://www.cornell.edu","POINT (-76.4746933 42.4458351)"
"41.8715286","-74.1750259","Ulster County","ULSTER COUNTY COMMUNITY COLLEGE","491 COTTEKILL RD",,"STONE RIDGE","NY","12484","Ulster","2-year","Community Colleges","Fall 2018","3554","0","Individual Studies: Telecommunications Format","Veterinary Technology","Criminal Justice","Business: Business Administration","Nursing","http://www.sunyulster.edu","POINT (-74.1750259 41.8715286)"
"42.7967949","-77.8248215","Geneseo","STATE UNIVERSITY COLLEGE AT GENESEO","1 COLLEGE CIRCLE",,"GENESEO","NY","14454","Livingston","4-year","Comprehensive Colleges","Fall 2018","5494","94","Biology","Psychology","Business Administration","Accounting","Communication","http://www.geneseo.edu","POINT (-77.8248215 42.7967949)"
"44.6945381","-73.4675446","Plattsburgh","STATE UNIVERSITY COLLEGE AT PLATTSBURGH","101 BROAD STREET",,"PLATTSBURGH","NY","12901","Clinton","4-year","Comprehensive Colleges","Fall 2018","5297","407","Psychology","Nursing","Criminal Justice","Business Administration","Accounting","http://www.plattsburgh.edu","POINT (-73.4675446 44.6945381)"
"42.9488068","-76.5238113","Cayuga County","CAYUGA COUNTY COMMUNITY COLLEGE","197 FRANKLIN ST",,"AUBURN","NY","13021","Cayuga","2-year","Community Colleges","Fall 2018","3775","0","Liberal Arts & Sciences: Humanities & Social Science","Lib Arts & Sci--Math & Science","Bus--Business Administration","Health Sciences","Business: Business Administration","http://www.cayuga-cc.edu/","POINT (-76.5238113 42.9488068)"
"43.0427628","-76.1404648","Upstate Medical","STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT SYRACUSE","750 EAST ADAMS ST",,"SYRACUSE","NY","13210","Onondaga","4-year","Doctoral Degree Granting Institutions","Fall 2018","249","1298","Medicine","Family Nurse Practitioner","Physical Therapy","Physician Assistant Studies","Nursing","http://www.upstate.edu","POINT (-76.1404648 43.0427628)"
"42.6741714","-74.497551","Cobleskill","STATE UNIVERSITY OF NEW YORK COLLEGE OF AGRICULTURE AND TECHNOLOGY AT COBLESKILL","STATE ROUTE 7",,"COBLESKILL","NY","12043","Schoharie","4-year","Technology Colleges","Fall 2018","2332","0","Animal Science","Business Administration","Wildlife Management","Liberal Arts & Sciences: Social Science","Agricultural Business Management","http://www.cobleskill.edu","POINT (-74.497551 42.6741714)"
"42.6984253","-73.6890869","Hudson Valley","HUDSON VALLEY COMMUNITY COLLEGE","80 VANDENBURGH AVE",,"TROY","NY","12180","Rensselaer","2-year","Community Colleges","Fall 2018","10896","0","Individual Studies","Liberal Arts & Sciences--Humanities & Social Science","Business Administration","Criminal Justice","Business: Business Administration","http://www.hvcc.edu","POINT (-73.6890869 42.6984253)"
"43.0168915","-78.1380844","Genesee","GENESEE COMMUNITY COLLEGE","ONE COLLEGE RD",,"BATAVIA","NY","14020","Genesee","2-year","Community Colleges","Fall 2018","5530","0","Liberal Arts & Sciences: General Studies","Business Administration","Nursing","Health Studies","Criminal Justice","http://www.genesee.edu","POINT (-78.1380844 43.0168915)"
"40.9181595","-73.1226883","Stony Brook","STATE UNIVERSITY OF NEW YORK AT STONY BROOK","100 NICOLLS RD",,"STONY BROOK","NY","11794","Suffolk","4-year","Doctoral Degree Granting Institutions","Fall 2018","17474","8762","Biology","Computer Science","Business Management","Psychology","Health Science","http://www.sunysb.edu","POINT (-73.1226883 40.9181595)"
"42.5985222","-76.1890335","Cortland","STATE UNIVERSITY COLLEGE AT CORTLAND","21 GRAHAM AVE","P.O. Box 2000","CORTLAND","NY","13045","Cortland","4-year","Comprehensive Colleges","Fall 2018","6343","515","Combined Early Childhood/Childhood Education (Birth-G6)","Physical Education (All Grades)","Sport Management","Exercise Science","Business Economics","http://www.cortland.edu","POINT (-76.1890335 42.5985222)"
"43.4527702","-76.5448303","Oswego","STATE UNIVERSITY COLLEGE AT OSWEGO","7060 ROUTE 104",,"OSWEGO","NY","13126","Oswego","4-year","Comprehensive Colleges","Fall 2018","7081","905","Business Administration","Communication Studies: Broadcast & Mass Communication","Psychology","Wellness Management","Biology","http://www.oswego.edu","POINT (-76.5448303 43.4527702)"
"40.8069954","-73.7960739","Maritime","STATE UNIVERSITY OF NEW YORK MARITIME COLLEGE","6 PENNYFIELD AVE",,"THROGGS NECK","NY","10465","Bronx","4-year","Technology Colleges","Fall 2018","1586","148","Marine Transportation","Mechanical Engineering","International Transportation & Trade","Marine Operations","International Transportation Management","http://www.sunymaritime.edu","POINT (-73.7960739 40.8069954)"
"42.4971085","-76.2984009","Tompkins Cortland","TOMPKINS-CORTLAND COMMUNITY COLLEGE","170 NORTH ST","PO BOX 139","DRYDEN","NY","13053","Tompkins","2-year","Community Colleges","Fall 2018","2373","0","Lib Arts & Sci--General Studies","Bus--Business Administration","Nursing","Criminal Justice-Police","Human Services","http://www.tc3.edu","POINT (-76.2984009 42.4971085)"
"43.1010475","-77.6152344","Monroe","MONROE COMMUNITY COLLEGE","1000 E HENRIETTA RD",,"ROCHESTER","NY","14623","Monroe","2-year","Community Colleges","Fall 2018","12273","0","Liberal Arts & Sciences--General Studies","Business: Business Administration","Health Studies","Human Services","Criminal Justice","http://www.monroecc.edu","POINT (-77.6152344 43.1010475)"
"42.4385948","-79.3207245","Fredonia","STATE UNIVERSITY COLLEGE AT FREDONIA","280 CENTRAL AVE",,"FREDONIA","NY","14063","Chautauqua","4-year","Comprehensive Colleges","Fall 2018","4431","224","Music Education","Psychology","Criminal Justice","Biology","Business Administration","http://www.fredonia.edu","POINT (-79.3207245 42.4385948)"
"42.8767853","-77.2724304","Finger Lakes","FINGER LAKES COMMUNITY COLLEGE","3325 MARVIN SANDS DR",,"CANANDAIGUA","NY","14424","Ontario","2-year","Community Colleges","Fall 2018","5944","0","Liberal Arts & Sciences","Health Care Studies","Business: Business Administration","Human Services","Business-Business Administration","http://www.flcc.edu","POINT (-77.2724304 42.8767853)"
"42.2569656","-77.7895355","Alfred-Ceramics","NEW YORK STATE COLLEGE OF CERAMICS AT ALFRED UNIVERSITY","1 SAXON DR",,"ALFRED","NY","14802","Allegany","4-year","Doctoral Degree Granting Institutions","Fall 2018","536","80","Ceramic Art","Ceramic Engineering","Materials Science & Engineering","Biomaterials Engineering","Glass Engineering Science","http://www.alfred.edu/","POINT (-77.7895355 42.2569656)"
"43.0969925","-75.2718658","SUNY POLY","STATE UNIVERSITY OF NEW YORK INSTITUTE OF TECHNOLOGY AT UTICA / ROME","100 SEYMOUR RD",,"UTICA","NY","13504","Oneida","4-year","Technology Colleges","Fall 2018","2256","767","Computer & Information Science","Family Nurse Practitioner","Business Administration","Mechanical Engineering Technology","Network & Computer Security","http://www.sunyit.edu","POINT (-75.2718658 43.0969925)"
"40.848156","-73.0564575","Suffolk County","SUFFOLK COUNTY COMMUNITY COLLEGE-AMMERMAN CAMPUS AT SELDEN","533 COLLEGE RD",,"SELDEN","NY","11784","Suffolk","2-year","Community Colleges","Fall 2018","26078","0","Lib Arts & Sci--General Studies","Lib Arts & Sci-General Studies","Lib Arts & Science-General Studies","Criminal Justice: Police","Business--Business Administration","http://www.sunysuffolk.edu","POINT (-73.0564575 40.848156)"
"43.1444206","-78.8828583","Niagara County","NIAGARA COUNTY COMMUNITY COLLEGE","3111 SAUNDERS SETTLEMENT",,"SANBORN","NY","14132","Niagara","2-year","Community Colleges","Fall 2018","5047","0","Liberal Arts & Sciences [Day Format]","Liberal Arts & Sciences: Humanities & Social Science","Business: Business Administration","Nursing","Criminal Justice","http://www.niagaracc.suny.edu","POINT (-78.8828583 43.1444206)"
"40.7482071","-73.5510559","Nassau","NASSAU COMMUNITY COLLEGE","1 EDUCATION DR",,"GARDEN CITY","NY","11530","Nassau","2-year","Community Colleges","Fall 2018","17406","0","Liberal Arts & Sciences: Humanities & Social Science","Business: Business Administration","Liberal Arts & Sciences: Math & Science","Criminal Justice","Business: Accounting","http://www.ncc.edu","POINT (-73.5510559 40.7482071)"
"41.7653084","-74.6683044","Sullivan County","SULLIVAN COUNTY COMMUNITY COLLEGE","112 COLEGE RD",,"LOCH SHELDRAKE","NY","12759","Sullivan","2-year","Community Colleges","Fall 2018","1534","0","Liberal Arts And Sciences","Criminal Justice","Business Administration","Culinary Arts","Nursing","http://www.sunysullivan.edu","POINT (-74.6683044 41.7653084)"
"41.0705185","-73.7826691","Westchester","WESTCHESTER COMMUNITY COLLEGE","75 GRASSLANDS RD",,"VALHALLA","NY","10595","Westchester","2-year","Community Colleges","Fall 2018","11535","0","Liberal Arts & Sciences: Social Sciences","Liberal Arts & Sciences--Math & Science","Criminal Justice-Police","Business Management","Liberal Arts & Sciences: Humanities","http://www.sunywcc.edu","POINT (-73.7826691 41.0705185)"
"43.0060577","-76.1969223","Onondaga","ONONDAGA COMMUNITY COLLEGE","4585 W SENECA TPKE",,"SYRACUSE","NY","13215","Onondaga","2-year","Community Colleges","Fall 2018","9834","0","Liberal Arts & Sciences: Humanities & Social Sciences","Liberal Arts & Sciences: General Studies","Business: Business Administration","Liberal Arts & Sciences: Mathematics & Sciences","Criminal Justice","http://www.sunyocc.edu","POINT (-76.1969223 43.0060577)"
"41.4395943","-74.4265747","Orange County","ORANGE COUNTY COMMUNITY COLLEGE","115 SOUTH ST",,"MIDDLETOWN","NY","10940","Orange","2-year","Community Colleges","Fall 2018","6617","0","Liberal Arts & Sciences: Math & Science","Liberal Arts & Sciences: Humanities & Social Sciences","Nursing","Business: Business Administration","Business Management","http://orange.cc.ny.us","POINT (-74.4265747 41.4395943)"
"41.0488014","-73.7037048","Purchase","STATE UNIVERSITY COLLEGE AT PURCHASE","735 ANDERSON HILL RD",,"PURCHASE","NY","10577","Westchester","4-year","Comprehensive Colleges","Fall 2018","4134","100","Psychology","Liberal Studies","Theatre & Performance","Dance","Arts Management","http://www.purchase.edu","POINT (-73.7037048 41.0488014)"
"43.0786896","-75.22155","Mohawk Valley","MOHAWK VALLEY COMMUNITY COLLEGE","1101 SHERMAN DR",,"UTICA","NY","13501","Oneida","2-year","Community Colleges","Fall 2018","6317","0","Lib Arts & Sci-General Studies","Business Administration","Criminal Justice","Human Services","Lib Arts & Sci-Math & Science","http://www.mvcc.edu","POINT (-75.22155 43.0786896)"
"42.1129532","-79.217926","Jamestown","JAMESTOWN COMMUNITY COLLEGE","525 FALCONER ST",,"JAMESTOWN","NY","14701","Chautauqua","2-year","Community Colleges","Fall 2018","4476","0","Individual Studies","Nursing","Bus--Business Administration","Human Services","Liberal Arts & Sciences: Mathematics & Science","http://www.sunyjcc.edu","POINT (-79.217926 42.1129532)"
"43.0320549","-75.0077438","Herkimer County","HERKIMER COUNTY COMMUNITY COLLEGE","100 RESERVOIR RD",,"HERKIMER","NY","13350","Herkimer","2-year","Community Colleges","Fall 2018","2398","0","Liberal Arts & Sciences: General Studies","Criminal Justice","Business: Business Administration","Business: Accounting","Human Services","http://www.herkimer.edu","POINT (-75.0077438 43.0320549)"
