"year_of_birth","sex","city","state","zip","residence_county","license_class","status","privilege","year_of_expiration"
"1972",,"NEW YORK","NY","10037","NEW YORK","D","VALID","FULL","2022"
"1986",,"SAN ANTONIO","TX","78217","OUT-OF-STATE","D","VALID","FULL","2022"
"1982",,"BRONX","NY","10451","BRONX","D","VALID","FULL","2022"
"1997",,"OSWEGO","NY","13126","OSWEGO","D","VALID","FULL","2026"
"1992",,"SEATTLE","WA","98125","OUT-OF-STATE","D","SURRENDERED","FULL","2022"
"1985",,"WOODBRIDGE","VA","22193","OUT-OF-STATE","A","VALID","FULL","2022"
"1984",,"LITTLE ROCK","AR","72211","OUT-OF-STATE","D","VALID","FULL","2027"
"1977",,"SAYVILLE","NY","11782","SUFFOLK","A","VALID","FULL","2027"
"1983",,"BROOKLYN","NY","11221","KINGS","D","SUSPENDED","FULL","2022"
"1990",,"OZONE PARK","NY","11416","QUEENS","ID ONLY","SURRENDERED","FULL","2025"
"1991",,"HEMPSTEAD","NY","11550","NASSAU","D","SUSPENDED","FULL","2022"
"2001",,"SIDNEY CENTER","NY","13839","DELAWARE","D","VALID","FULL","2022"
"1982",,"HAMDEN","CT","06517","OUT-OF-STATE","D","SURRENDERED","FULL","2022"
"1942",,"SODUS POINT","NY","14555","WAYNE","D","VALID","FULL","2027"
"1950",,"SCARSDALE","NY","10583","WESTCHESTER","E","SUSPENDED","FULL","2026"
"1977",,"ITHACA","NY","14850","TOMPKINS","D","VALID","FULL","2028"
"1965",,"LIBERTY","NY","12754","SULLIVAN","D","VALID","FULL","2029"
"1984",,"BROOKLYN","NY","11203","KINGS","D","VALID","FULL","2023"
"1964",,"HORSEHEADS","NY","14845","CHEMUNG","D","VALID","FULL","2026"
"1951",,"SYRACUSE","NY","13224","ONONDAGA","D","VALID","FULL","2026"
"1991",,"CARMEL","NY","10512","PUTNAM","D","VALID","FULL","2030"
"1991",,"CARMEL","NY","10512","PUTNAM","B PERMIT","VALID","FULL","2022"
"1937",,"AMAGANSETT","NY","11930","SUFFOLK","D","VALID","FULL","2026"
"1987",,"CENTRAL VALLEY","NY","10917","ORANGE","ID ONLY","NONE","NONE","2025"
"1963",,"NEW YORK","NY","10023","NEW YORK","D","VALID","FULL","2026"
"1957",,"HAMPTON","NY","12837","WASHINGTON","DM","VALID","FULL","2026"
"1954",,"AMENIA","NY","12501","DUTCHESS","D","VALID","FULL","2028"
"1932",,"PEEKSKILL","NY","10566","WESTCHESTER","E","VALID","FULL","2026"
"1944",,"WEAVER","AL","36277","OUT-OF-STATE","D","SURRENDERED","FULL","2022"
"1956",,"SALISBURY MLS","NY","12577","ORANGE","D","VALID","FULL","2028"
"1989",,"OLCOTT","NY","14126","NIAGARA","D","VALID","FULL","2026"
"1973",,"MELLENVILLE","NY","12544","COLUMBIA","D","VALID","FULL","2027"
"1953",,"HAMPTON BAYS","NY","11946","SUFFOLK","DM","VALID","FULL","2028"
"1995",,"QUEENS VLG","NY","11428","QUEENS","D","SUSPENDED","FULL","2026"
"1975",,"FREWSBURG","NY","14738","CHAUTAUQUA","D","VALID","FULL","2025"
"1946",,"CAIRO","NY","12413","GREENE","D","VALID","FULL","2023"
"1995",,"FAIRPORT","NY","14450","MONROE","D","VALID","FULL","2028"
"1960",,"GREENWOOD LAKE","NY","10925","ORANGE","DM","VALID","FULL","2027"
"1984",,"GENEVA","NY","14456","ONTARIO","D","VALID","CONDITIONAL","2029"
"1992",,"CORTLAND","NY","13045","CORTLAND","D","VALID","FULL","2026"
"1991",,"BERGEN","NY","14416","GENESEE","D","VALID","FULL","2028"
"1989",,"S FALLSBURG","NY","12779","SULLIVAN","ID ONLY","SUSPENDED","FULL","2025"
"1968",,"DEPOSIT","NY","13754","BROOME","D","VALID","FULL","2027"
"1995",,"BROOKLYN","NY","11203","KINGS","D","VALID","FULL","2026"
"1962",,"CLINTON CORNERS","NY","12514","DUTCHESS","D","VALID","FULL","2025"
"1987",,"MONTAUK","NY","11954","SUFFOLK","D","VALID","FULL","2028"
