"snapshot_year","latest_admission_type","county_of_indictment","gender","most_serious_crime","current_age","housing_facility","facility_security_level","race_ethnicity"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","STOLEN PROP 4TH","19","TACONIC FEMALE","MEDIUM  SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ASSAULT 2ND","20","ALBION FEMALE","MEDIUM  SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ATT ROBBERY 2ND","21","ALBION FEMALE","MEDIUM  SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ROBBERY 2ND","22","BEDFORD HILLS","MAXIMUM SECURITY","WHITE"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","DRIVE INTOX 2 OFF","23","ALBION FEMALE","MEDIUM  SECURITY","WHITE"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ATT ASSAULT 1ST B FELONY","23","BEDFORD HILLS","MAXIMUM SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","MURDER 2ND","24","BEDFORD HILLS","MAXIMUM SECURITY","WHITE"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","C POS WEAPON 2ND","24","BEDFORD HILLS","MAXIMUM SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ROBBERY 2ND","25","ALBION FEMALE","MEDIUM  SECURITY","HISPANIC"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ATT ROBBERY 2ND","25","ALBION FEMALE","MEDIUM  SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ATT ASSAULT 2ND","25","TACONIC FEMALE","MEDIUM  SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","CPCS 5TH","26","ALBION FEMALE","MEDIUM  SECURITY","OTHER"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","CPCS 3RD","26","BEDFORD HILLS","MAXIMUM SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","POS FORGE INS 2ND","27","ALBION FEMALE","MEDIUM  SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ASSAULT 2ND","27","BEDFORD HILLS","MAXIMUM SECURITY","HISPANIC"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ASSAULT 2ND","27","BEDFORD HILLS","MAXIMUM SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ATT ROBBERY 2ND","28","ALBION FEMALE","MEDIUM  SECURITY","WHITE"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ROBBERY 1ST","28","BEDFORD HILLS","MAXIMUM SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ATT BURGLARY 2ND","28","TACONIC FEMALE","MEDIUM  SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","CRIM MISCHIEF 3RD","28","TACONIC FEMALE","MEDIUM  SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","STOLEN PROP 4TH","28","TACONIC FEMALE","MEDIUM  SECURITY","WHITE"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ATT ROBBERY 2ND","29","ALBION FEMALE","MEDIUM  SECURITY","WHITE"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","CPCS 3RD","30","ALBION FEMALE","MEDIUM  SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ATT CSCS 3RD","30","BEDFORD HILLS","MAXIMUM SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ATT CSCS 3RD","31","ALBION FEMALE","MEDIUM  SECURITY","WHITE"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ATT GRAND LAR 3RD","31","BEDFORD HILLS","MAXIMUM SECURITY","WHITE"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","BURGLARY 2ND","32","ALBION FEMALE","MEDIUM  SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ATT C POS WEAP 2ND","32","ALBION FEMALE","MEDIUM  SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ASSAULT 2ND","32","BEDFORD HILLS","MAXIMUM SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","BURGLARY 2ND","32","EDGECOMBE FEM WORK RELEASE","MINIMUM SECURITY","WHITE"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","CPCS 3RD","33","ALBION FEMALE","MEDIUM  SECURITY","WHITE"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ATT CPCS 3RD","33","BEDFORD HILLS","MAXIMUM SECURITY","BLACK"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","CPCS 2ND","33","TACONIC FEMALE","MEDIUM  SECURITY","WHITE"
"2019","NEW COURT COMMITMENT","ALBANY","FEMALE","ROBBERY 2ND","34","ALBION FEMALE","MEDIUM  SECURITY","WHITE"
