"swis_code","type_code","type","county","town_name","village_name","_2nd_county","website","gnis_id"
"012401","4","Village","Albany","Coeymans","Ravena",,"http://www.villageofRavena.com","2391087"
"012601","4","Village","Albany","Colonie","Colonie",,"http://www.colonievillage.org","2391620"
"012603","4","Village","Albany","Colonie","Menands",,"http://www.villageofmenands.com","2390976"
"012801","4","Village","Albany","Green Island","Green Island",,"http://www.villageofgreenisland.com/village/","2390869"
"013001","4","Village","Albany","Guilderland","Altamont",,"http://www.altamontvillage.org/","2391511"
"013401","4","Village","Albany","New Scotland","Voorheesville",,"http://www.villageofvoorheesville.com/","2391188"
"022001","4","Village","Allegany","Alfred","Alfred",,"http://www.alfredny.org","2391508"
"022601","4","Village","Allegany","Almond","Almond","Steuben","http://www.alleganyco.com/local_govt/villages/Almond/","2391510"
"022801","4","Village","Allegany","Amity","Belmont",,"http://www.belmontny.org/","2391547"
"023001","4","Village","Allegany","Andover","Andover",,"http://www.alleganyco.com/local_govt/villages/Andover/","2391515"
"023201","4","Village","Allegany","Angelica","Angelica",,"http://www.angelica.ny.com","2391516"
"023801","4","Village","Allegany","Bolivar","Bolivar",,"http://www.alleganyco.com/local_govt/villages/Bolivar/","2391555"
"023803","4","Village","Allegany","Bolivar","Richburg",,"http://www.alleganyco.com/local_govt/villages/Richburg/","2391093"
"024001","4","Village","Allegany","Burns","Canaseraga",,"http://www.alleganyco.com/local_govt/villages/Canseraga/","2391576"
"024801","4","Village","Allegany","Cuba","Cuba",,"http://www.cubany.org/html/vofficials.html","2391631"
"027001","4","Village","Allegany","Wellsville","Wellsville",,"http://wellsvilleny.com","2391206"
"033001","4","Village","Broome","Dickinson","Port Dickinson",,"http://www.portdickinsonny.us/","2391076"
"033601","4","Village","Broome","Lisle","Lisle",,,"2390944"
"034201","4","Village","Broome","Sanford","Deposit","Delaware","http://www.villageofdeposit.org/","2391639"
"034401","4","Village","Broome","Triangle","Whitney Point",,"http://www.whitneypoint.org","2391217"
"034601","4","Village","Broome","Union","Endicott",,"http://www.endicottny.com","2391666"
"034603","4","Village","Broome","Union","Johnson City",,"http://www.villageofjc.com/","2390915"
"035001","4","Village","Broome","Windsor","Windsor",,,"2391221"
"042001","4","Village","Cattaraugus","Allegany","Allegany",,"http://www.allegany.org/index.php?Village%20of%20Allegany","2391509"
"043001","4","Village","Cattaraugus","Dayton","South Dayton",,,"2391147"
"043601","4","Village","Cattaraugus","Ellicottville","Ellicottville",,"http://www.ellicottvillegov.com","2391662"
"044001","4","Village","Cattaraugus","Franklinville","Franklinville",,"http://franklinvilleny.org","2390850"
