"dec_well_number","well_location","street_name","town","county","dec_region","well_depth_feet_bgs","depth_to_bedrock_feet_bgs","depth_to_groundwater_feet","cased_depth_feet_bgs","screened","yield_test_average_discharge","driller_registration_number","latitude","longitude","georeference"
"A1253","Rt 156","Rt 156","Voorheesville","Albany","4",,,,"96","N","5","NYRD10236",,,
"A833","Jarvis Rd","Jarvis Rd","Ravena","Albany","4","320",,,"40","N",,"NYRD10054",,,
"AG949","Sienk Rd","Sienk Rd","Angelica","Allegany","9","110",,,"98.5","N","12","NYRD10535",,,
"BM1375","2223 Rt 79, Ouaquaga","Rt 79","Colesville","Broome","7","140",,"133","73","N",,"NYRD10113",,,
"BM2236","83 North St","North St","Triangle","Broome","7","165","10",,"18","N","5","NYRD10454",,,
"CL1481","Gokey Rd, Mooers","Gokey Rd","Mooers","Clinton","5","98",,"19","19","N",,"NYRD10033",,,
"CM1659","3123 Rt 60, Elmira","Rt 60","Elmira","Chemung","8","105","-999","95",,"N","9","NYRD10405",,,
"CN1706","Co Rt 7, Mcdonough","Co Rt 7","Mc Donough","Chenango","7","240",,,"118","N","20","NYRD10067",,,
"CT1841","Rt 16, Yorkshire","Rt 16","Yorkshire","Cattaraugus","9","130",,,"80","N","0","NYRD10408",,,
"CU1249","Rt 430","Rt 430","Ellery","Chautauqua","9","82","19","71","25.70000076","N","16","NYRD10089",,,
"CL566","120 Cannon Rd, Saranac","Cannon Rd","Saranac","Clinton","5","149",,,"35","N","10","NYRD10087",,,
"CB2918","Cemetary Rd, Clermont","Cemetery Rd","Clermont","Columbia","4","240",,"20","18","N",,"NYRD10001",,,
"D1898","Stone Line Rd","Stone Line Rd","Roxbury","Delaware","4","275",,,"28.5","N","3","NYRD10020",,,
"CU3276","3540 Fluvanna Townline Rd","Fluvanna Townline Rd","Ellicott","Chautauqua","9","150","118","118","118","N","15","NYRD10050",,,
"C2280","5711 Carr Rd, Willet","Carr Rd","Willet","Cortland","7","170","18","54","8.5","N","15","NYRD10169",,,
"CU3903","3549 Lake St, Jamestown","Lake St","Ellicott","Chautauqua","9","24","-999","24","24","N","10","NYRD10050",,,
"CY1510","1451 Onionville Rd, Sterling","Onionville Rd","Sterling","Cayuga","7","28","22",,"22","Y","20","NYRD10235",,,
"CL775","24 Parson Rd, Peru","Parson Rd","Peru","Clinton","5","304",,"60","120","N","4","NYRD10030",,,
"CY745","N/A","N/A","Ledyard","Cayuga","7","200",,,,"N",,"NYRD10372","42.77972222","-76.67761111","POINT (-76.67761111 42.77972222)"
"CY801","Fire Lane 6","Fire Lane 6","Genoa","Cayuga","7",,,,"10","N","10.5","NYRD10555",,,
"CY963","986 West Genesee St, Auburn","West Genesee St","Aurelius","Cayuga","7","119",,"40","49","N","4","NYRD10340",,,
"D1903","Reed Rd, Hobart","Reed Rd","Hobart","Delaware","4","507",,,"60","N","8","NYRD10016",,,
"D1923","Cole Rd, Sidney","Cole Rd","Sidney","Delaware","4","340",,,"60","N","5","NYRD10067",,,
"D2534","788 Perch Lake Rd, Andes","Perch Lake Rd","Andes","Delaware","4","557","-999","67","40","N","5","NYRD10016",,,
"D2702","Covered Bridge Rd, Unadilla","Covered Bridge Rd","Sidney","Delaware","4","240","211",,"220","N",,"NYRD10067",,,
"DU3658","Lot 3 Pine Brook Drive","Pine Brook Dr","Beekman","Dutchess","3","305",,"12","35","N","30","NYRD01695",,,
"DU5455","1512 Rt 52, Wingdale","Rt 52","Amenia","Dutchess","3","230",,,"81","N","30","NYRD01695",,,
"DU5881","Lisa Ln And Rt 82, East Fishkill","Lisa Ln","East Fishkill","Dutchess","3","85",,,"85","N","30","NYRD01695",,,
"DU6120","Davis Rd, Dover","Davis Rd","Dover","Dutchess","3","255",,,"41","N","20","NYRD01695",,,
"DU6984","Lot 2, 959 Hollow Rd, Clinton Corner","Hollow Rd","Clinton","Dutchess","3","355",,,"41","N","20","NYRD01695",,,
"DU7573","Mill Rd, Northeast","Mill Rd","Northeast","Dutchess","3","505",,,"41","N","3","NYRD01695",,,
"DU8019","Didell Rd","Didell Rd","La Grange","Dutchess","3","605","26","40","40","N","10","NYRD01695",,,
"DU8226","South Cross Rd, Lot 2","South Cross Rd","La Grange","Dutchess","3","503","25","60","38","N","5","NYRD10155",,,
"DU9114","6448 Rt 55, Dover","Rt 55","Dover","Dutchess","3","805","5",,"40","N","0","NYRD01695",,,
"DU9192","38 Rt 9, Fishkill","Rt 9","Fishkill","Dutchess","3","405","170","47","200","N","40","NYRD01695",,,
"DU9689","3665 Rt 44, Millbrook","Rt 44","Millbrook","Dutchess","3","500","50","20","58","N","1.75","NYRD10200",,,
"E1277","Stearns Rd","Stearns Rd","North Collins","Erie","9","60","10","20","10","N","30","NYRD10050",,,
"E1538","Hunn Rd","Hunn Rd","Boston","Erie","9","125",,,"91.75","N","12","NYRD10050",,,
"E2403","751 Cain Rd, Angola","Cain Rd","Evans","Erie","9","55",,,"9.5","N","2","NYRD10050",,,
"E3284","2407 Main Rd, Silver Creek","Main Rd","Sheridan","Chautauqua","9","60","18","27","19","N","10","NYRD10408",,,
"E3412","Humphries Rd","Humphries Rd","Holland","Erie","9","75","18","20","18.5","N","4","NYRD10050",,,
"E4244","3728 Langford Rd,","Langford Rd","North Collins","Erie","9","68","25","27","25","N","5","NYRD10009",,,
"E4333","1612 Two Rod Rd, Alden","Two Rod Rd","Alden","Erie","9","15","16","8","14.63000011","N","10","NYRD10009",,,
"E4418","11451 Kieffer Rd, Alden","Kieffer Rd","Alden","Erie","9","40","38",,"38","N","15","NYRD10009",,,
