"fiscal_year","region","type","amount"
"2020-2021","Statewide","Batteries Recycled, Tons","2.58"
"2020-2021","Statewide","Comingled Materials Recycled, Tons","21.19"
"2020-2021","Statewide","Corrugated Cardboard Recycled, Tons","212.93"
"2020-2021","Statewide","Electronic Equipment Recycled, Tons","7.46"
"2020-2021","Statewide","Ferrous/ Non-Ferrous Scrap Metals Recycled, Tons","68.02"
"2020-2021","Statewide","Fluorescent Bulbs and Ballasts Recycled, Tons","0.25"
"2020-2021","Statewide","Mixed Office Paper Recycled, Tons","361.81"
"2020-2021","Statewide","Overall Waste Stream Reduction, Percentage","53.51"
"2020-2021","Statewide","Percentage of Waste Stream Recycled","46.98"
"2020-2021","Region - Capital","Region Total, Recycled, Tons","688.1"
"2020-2021","Region - Downstate","Region Total, Recycled, Tons","44.22"
"2020-2021","Region - Upstate","Region Total, Recycled, Tons","80.78"
"2020-2021","Region - Capital","Region Total, Waste, Tons","687.56"
"2020-2021","Region - Downstate","Region Total, Waste, Tons","113.41"
"2020-2021","Region - Upstate","Region Total, Waste, Tons","116.54"
"2020-2021","Statewide","Single Stream Recyclables Recycled, Tons","91.25"
"2020-2021","Statewide","Total Tonnage of Recycled Material","813.1"
"2020-2021","Statewide","Total Tonnage of Waste Material","917.51"
"2020-2021","Statewide","Wood Recycled, Tons","47.59"
"2019-2020","Statewide","Comingled Materials Recycled, Tons","48.15"
"2019-2020","Statewide","Concrete, Stone and Asphalt Recycled, Tons","12.56"
"2019-2020","Statewide","Corrugated Cardboard Recycled, Tons","275.94"
"2019-2020","Statewide","Electronic Equipment Recycled, Tons","4.72"
"2019-2020","Statewide","Ferrous/ Non-Ferrous Scrap Metals Recycled, Tons","48.1"
"2019-2020","Statewide","Mixed Office Paper Recycled, Tons","494.04"
"2019-2020","Statewide","Overall Waste Stream Reduction, Percentage","-27.33"
"2019-2020","Statewide","Percentage of Waste Stream Recycled","37.42"
"2019-2020","Statewide","Plastics, Recycled, Tons","0.2"
"2019-2020","Region - Capital","Region Total, Recycled, Tons","915.27"
"2019-2020","Region - Downstate","Region Total, Recycled, Tons","150.85"
"2019-2020","Region - Upstate","Region Total, Recycled, Tons","115.93"
"2019-2020","Region - Capital","Region Total, Waste, Tons","1701.69"
"2019-2020","Region - Downstate","Region Total, Waste, Tons","135.02"
"2019-2020","Region - Upstate","Region Total, Waste, Tons","136.65"
"2019-2020","Statewide","Single Stream Recyclables Recycled, Tons","179.05"
"2019-2020","Statewide","Total Tonnage of Recycled Material","1180.48"
"2019-2020","Statewide","Total Tonnage of Waste Material","1973.36"
"2019-2020","Statewide","Wood Recycled, Tons","119.29"
