"waterbody_name","county","year","bloom_type","date_first_report","date_last_report","number_of_reports","latitude","longitude","georeference"
"Golden Pond","Queens","2020","C","2020-08-03T00:00:00.000","2020-08-03T00:00:00.000","1","40.771099","-73.7649","POINT (-73.7649 40.771099)"
"Chodikee Lake","Ulster","2020","C","2020-06-28T00:00:00.000","2020-09-25T00:00:00.000","2","41.772701","-73.983803","POINT (-73.983803 41.772701)"
"Cazenovia Lake","Madison","2020","C","2020-09-15T00:00:00.000","2020-09-15T00:00:00.000","2","42.9482","-75.872002","POINT (-75.872002 42.9482)"
"Wilber Lake","Otsego","2020","C","2020-11-09T00:00:00.000","2020-11-09T00:00:00.000","1","42.516701","-75.051002","POINT (-75.051002 42.516701)"
"Willowbrook Pond","Richmond","2020","C","2020-06-15T00:00:00.000","2020-08-14T00:00:00.000","2","40.605598","-74.157898","POINT (-74.157898 40.60559800000001)"
"Sleepy Hollow Lake","Greene","2020","C","2020-11-09T00:00:00.000","2020-11-09T00:00:00.000","1","42.294399","-73.8069","POINT (-73.8069 42.294399)"
"Butterfield Lake","Jefferson","2020","C","2020-08-31T00:00:00.000","2020-08-31T00:00:00.000","1","44.316502","-75.7752","POINT (-75.7752 44.316502)"
"Half Moon Lake","Yates","2020","C","2020-07-31T00:00:00.000","2020-07-31T00:00:00.000","1","42.69977407","-77.24507633","POINT (-77.24507633 42.69977407)"
"Prospect Park Lake","Kings","2020","C","2020-05-27T00:00:00.000","2020-10-28T00:00:00.000","23","40.6549","-73.969902","POINT (-73.969902 40.6549)"
"Honeoye Lake","Ontario","2020","C","2020-06-18T00:00:00.000","2020-09-15T00:00:00.000","24","42.7542","-77.511597","POINT (-77.511597 42.7542)"
"Kentwood Lake","Putnam","2020","C","2020-07-20T00:00:00.000","2020-09-22T00:00:00.000","4","41.483799","-73.696602","POINT (-73.696602 41.483799)"
"Dead Lake","Washington","2020","C","2020-04-05T00:00:00.000","2020-11-20T00:00:00.000","6","43.098099","-73.378899","POINT (-73.378899 43.098099)"
"Lake Neatahwanta","Oswego","2020","C","2020-05-26T00:00:00.000","2020-10-28T00:00:00.000","20","43.308102","-76.437202","POINT (-76.437202 43.308102)"
"Lake Champlain","Essex, Clinton","2020","C","2020-07-28T00:00:00.000","2020-09-08T00:00:00.000","4","44.577944","-73.385441","POINT (-73.385441 44.577944)"
"Lake Waccabuc","Westchester","2020","C","2020-07-06T00:00:00.000","2020-07-19T00:00:00.000","3","41.297699","-73.584099","POINT (-73.584099 41.297699)"
"Mill Pond (Watermill)","Suffolk","2020","C","2020-06-18T00:00:00.000","2020-09-08T00:00:00.000","12","40.914501","-72.358299","POINT (-72.358299 40.914501)"
"Bedford Lake","Westchester","2020","C","2020-07-12T00:00:00.000","2020-08-23T00:00:00.000","5","41.194801","-73.703697","POINT (-73.703697 41.194801)"
"Little Fresh Pond","Suffolk","2020","C","2020-05-27T00:00:00.000","2020-11-09T00:00:00.000","15","40.918201","-72.408501","POINT (-72.408501 40.918201)"
"Roaring Brook Lake","Putnam","2020","C","2020-05-22T00:00:00.000","2020-10-23T00:00:00.000","16","41.438801","-73.807503","POINT (-73.807503 41.438801)"
"Morningside Pond","New York","2020","C","2020-05-29T00:00:00.000","2020-07-17T00:00:00.000","4","40.803761","-73.958943","POINT (-73.958943 40.80376100000001)"
