"tax_year","credit_type","place_of_residence","county","notes","number_of_claims_one_qualifying_person","credit_amount_claimed_one_qualifying_person_000","average_credit_one_qualifying_person","place_of_residence_sort_order"
"2020","NYS CDCC","New York City - Bronx","Bronx",,"18250","8127.396","445.34","1"
"2020","NYS CDCC","New York City - Kings","Kings",,"27871","10055.246","360.78","2"
"2020","NYS CDCC","New York City - Manhattan","Manhattan",,"13056","3838.133","293.97","3"
"2020","NYS CDCC","New York City - Queens","Queens",,"19722","7013.905","355.64","4"
"2020","NYS CDCC","New York City - Richmond","Richmond",,"3949","1166.586","295.41","5"
"2020","NYS CDCC","Total, New York City","Total, New York City",,"82848","30201.266","364.54","6"
"2020","NYS CDCC","Albany","Albany",,"3090","860.458","278.47","7"
"2020","NYS CDCC","Allegany","Allegany",,"188","51.832","275.70","8"
"2020","NYS CDCC","Broome","Broome",,"1042","307.835","295.43","9"
"2020","NYS CDCC","Cattaraugus","Cattaraugus",,"394","107.560","272.99","10"
"2020","NYS CDCC","Cayuga","Cayuga",,"391","110.057","281.48","11"
"2020","NYS CDCC","Chautauqua","Chautauqua",,"670","171.427","255.86","12"
"2020","NYS CDCC","Chemung","Chemung",,"490","146.463","298.90","13"
"2020","NYS CDCC","Chenango","Chenango",,"302","82.716","273.89","14"
"2020","NYS CDCC","Clinton","Clinton",,"667","213.731","320.44","15"
"2020","NYS CDCC","Columbia","Columbia","d/","379","110.518","291.60","16"
"2020","NYS CDCC","Cortland","Cortland",,"348","103.460","297.30","17"
"2020","NYS CDCC","Delaware","Delaware",,"234","68.279","291.79","18"
"2020","NYS CDCC","Dutchess","Dutchess",,"2919","882.277","302.25","19"
"2020","NYS CDCC","Erie","Erie",,"7150","1996.756","279.27","20"
"2020","NYS CDCC","Essex","Essex","d/","231","76.824","332.57","21"
"2020","NYS CDCC","Franklin","Franklin",,"302","103.779","343.64","22"
"2020","NYS CDCC","Fulton","Fulton",,"297","93.907","316.19","23"
"2020","NYS CDCC","Genesee","Genesee",,"364","102.688","282.11","24"
"2020","NYS CDCC","Greene","Greene",,"236","70.942","300.60","25"
"2020","NYS CDCC","Hamilton","Hamilton","d/","30","10.526","350.87","26"
"2020","NYS CDCC","Herkimer","Herkimer",,"291","97.285","334.31","27"
"2020","NYS CDCC","Jefferson","Jefferson",,"629","208.279","331.13","28"
"2020","NYS CDCC","Lewis","Lewis","d/","127","34.513","271.76","29"
"2020","NYS CDCC","Livingston","Livingston",,"341","108.793","319.04","30"
"2020","NYS CDCC","Madison","Madison",,"402","124.002","308.46","31"
"2020","NYS CDCC","Monroe","Monroe",,"6484","1912.909","295.02","32"
"2020","NYS CDCC","Montgomery","Montgomery",,"308","100.172","325.23","33"
"2020","NYS CDCC","Nassau","Nassau",,"16150","4321.481","267.58","34"
"2020","NYS CDCC","Niagara","Niagara",,"1498","454.408","303.34","35"
"2020","NYS CDCC","Oneida","Oneida",,"1458","464.953","318.90","36"
"2020","NYS CDCC","Onondaga","Onondaga",,"4015","1218.204","303.41","37"
"2020","NYS CDCC","Ontario","Ontario",,"909","272.517","299.80","38"
"2020","NYS CDCC","Orange","Orange",,"4071","1297.617","318.75","39"
"2020","NYS CDCC","Orleans","Orleans",,"205","67.443","328.99","40"
"2020","NYS CDCC","Oswego","Oswego",,"620","177.914","286.96","41"
"2020","NYS CDCC","Otsego","Otsego",,"366","103.628","283.14","42"
"2020","NYS CDCC","Putnam","Putnam",,"1100","274.973","249.98","43"
"2020","NYS CDCC","Rensselaer","Rensselaer",,"1488","438.176","294.47","44"
"2020","NYS CDCC","Rockland","Rockland",,"3613","1120.788","310.21","45"
"2020","NYS CDCC","St. Lawrence","St. Lawrence",,"533","173.178","324.91","46"
"2020","NYS CDCC","Saratoga","Saratoga",,"2261","571.904","252.94","47"
"2020","NYS CDCC","Schenectady","Schenectady",,"1595","491.316","308.04","48"
"2020","NYS CDCC","Schoharie","Schoharie","d/","184","49.664","269.91","49"
"2020","NYS CDCC","Schuyler","Schuyler","d/","94","23.649","251.59","50"
"2020","NYS CDCC","Seneca","Seneca","d/","180","60.415","335.64","51"
"2020","NYS CDCC","Steuben","Steuben",,"685","204.140","298.01","52"
"2020","NYS CDCC","Suffolk","Suffolk",,"15028","4355.768","289.84","53"
"2020","NYS CDCC","Sullivan","Sullivan",,"523","164.291","314.13","54"
"2020","NYS CDCC","Tioga","Tioga",,"267","73.510","275.32","55"
"2020","NYS CDCC","Tompkins","Tompkins",,"704","154.687","219.73","56"
"2020","NYS CDCC","Ulster","Ulster",,"1525","463.268","303.78","57"
"2020","NYS CDCC","Warren","Warren",,"419","134.100","320.05","58"
"2020","NYS CDCC","Washington","Washington",,"355","116.300","327.61","59"
"2020","NYS CDCC","Wayne","Wayne",,"585","192.454","328.98","60"
"2020","NYS CDCC","Westchester","Westchester",,"11546","3285.521","284.56","61"
"2020","NYS CDCC","Wyoming","Wyoming",,"219","62.530","285.53","62"
"2020","NYS CDCC","Yates","Yates","d/","129","43.313","335.76","63"
"2020","NYS CDCC","NYS Unclassified +","All","d/","166","26.897","162.03","65"
"2020","NYS CDCC","All Other +","Not Applicable",,"28729","3721.808","129.55","66"
"2020","NYS CDCC","Full-Year Resident","All",,"182190","59055.561","324.14","67"
"2020","NYS CDCC","Part-Year Resident","Not Applicable",,"4593","855.420","186.24","68"
"2020","NYS CDCC","Full-Year Nonresident","Not Applicable",,"25591","3129.088","122.27","69"
"2020","NYS CDCC","Grand Total","Grand Total",,"212374","63040.069","296.84","70"
"2019","NYS CDCC","New York City - Bronx","Bronx",,"26543","13066.295","492.27","1"
"2019","NYS CDCC","New York City - Kings","Kings",,"40753","17170.435","421.33","2"
"2019","NYS CDCC","New York City - Manhattan","Manhattan",,"19028","6377.086","335.14","3"
"2019","NYS CDCC","New York City - Queens","Queens",,"30004","12497.567","416.53","4"
"2019","NYS CDCC","New York City - Richmond","Richmond",,"5907","1986.539","336.30","5"
