"schoolid","county","agency","streetaddress1","streetaddress2","city","state","zip","fireams_training","georeference"
"10498","Albany","NYS Dept of Health","NYS Department of Health",,"Albany","NY","12201","no",
"391475","Otsego","Otsego County Law Enforcement Academy","University Police Department",,"Oneonta","NY","13820","no",
"692050",,"GMCS, Inc.","25 Wentworth Drive",,"Williston","VT","5495","no","POINT (-73.114453 44.475892)"
"310370","Westchester","Elite Investigations, Ltd.","2001 Central Park Ave",,"Yonkers","NY","10710","no","POINT (-73.83726 40.968429)"
"601370","Westchester","Security Guard Training Academy","138 Oak Street",,"Yonkers","NY","10701","yes","POINT (-73.890749 40.930369)"
"602178","Westchester","Eagle Eye Security Solutions","342 Warburton Avenue",,"Yonkers","NY","10702","no","POINT (-73.896615 40.947408)"
"600802","Westchester","HAS UWC Belvedere","723 South Broadway",,"Tarrytown","NY","10591","no","POINT (-73.860933 41.053152)"
"600751","Westchester","Greenrock Corporation","c/o Green Rock Corp.",,"Tarrytown","NY","10591","no",
"410445",,"Corporate Loss Prevention Associates, Inc","Cargo Building 151",,"Jamiaca","NY","11758","no",
"241270","Westchester","Security Science Institute","1841 Central Park Ave",,"Yonkers","NY","10710","no","POINT (-73.840227 40.96208)"
"600338","Westchester","New York Power Authority","123 Main Street",,"White Plains","NY","10601","no","POINT (-73.769148 41.032172)"
"600152","Westchester","NJB Security Services Inc.","35 E. Grassy Sprain Rd",,"Yonkers","NY","10710","no","POINT (-73.851201 40.954117)"
"601204","Westchester","Westhab Security Guard Training Institute","123 East Post Rd",,"White Plains","NY","10601","no","POINT (-73.7663 41.028504)"
"600440","Westchester","Gold Shield Training Center","4 South Sixth Ave.",,"Mount  Vernon","NY","10550","yes","POINT (-73.838905 40.911071)"
"601282","Westchester","SSC Training Services","480 Bedford Rd",,"Chappaqua","CT","6484","no","POINT (-73.750676 41.177688)"
"601888","Westchester","New York Medical College","Administration Building Basic Sciences - Security",,"Valhalla","NY","10595","no",
"601988","Westchester","Professional Protection Security Svcs Corp","7 Columbus Ave",,"Tuckahoe","NY","10707","no","POINT (-73.827396 40.950777)"
"602220","Westchester","Top of The Line Security Training Inc.","62 Pine St.",,"Yonkers","NY","10701","no","POINT (-73.894472 40.946878)"
"520538",,"State Security Consultants","321 Fox Chase Ct.",,"Marvin","NC","28173","no","POINT (-80.819864 35.014323)"
"432223","Westchester","Westchester Rickland SG Trng School","49 Clayton Blvd",,"Baldwin Place","NY","10505","no","POINT (-73.758637 41.341785)"
"602146","Westchester","GLL Unlimited Security Service","618 Saw Mill River Road",,"Yonkers","NY","10705","no","POINT (-73.87098 40.956149)"
"122046","Cortland","SUNY Cortland","SUNY Cortland",,"Cortland","NY","13045","no",
"432307","Rockland","Rockland Indoor Shooting & Education","100 North Middletown Road",,"PEARL RIVER","NY","10956","yes","POINT (-74.012803 41.06332)"
"31742","Kings","The Doe Fund Inc.","89-111 Porter Ave. Rm # 1",,"Brooklyn","NY","11237","no","POINT (-73.92894 40.707904)"
"171725","Franklin","Paul Smith's College of Arts and Science","7777 State Rte 30",,"Paul Smiths","NY","12970-0265","no","POINT (-74.245054 44.435637)"
"420291","Rensselaer","RPI Dept. of Public Safety","RPI Public Safety Dept.",,"Troy","NY","12180","no",
"412183","Queens","Supreme Academy Security","1931 Mott Avenue Rm 405",,"Far Rockaway","NY","11691","no","POINT (-73.75254 40.604051)"
"310004","New York","NYU Langone Medical Ctr","NYU Security Dept",,"New York","NY","10016","no",
"310297","New York","John Jay College CUNY CJC","524 W. 59th St, BMW",,"New York","NY","10019","no","POINT (-73.989201 40.771087)"
"10008","Albany","Albany Medical Center","43 New Scotland Ave.",,"Albany","NY","12208","no","POINT (-73.774505 42.652821)"
"150689","Erie","Don's Security Services, Inc. (DSS)","3125 Walden Ave. Suite 1",,"Depew","NY","14043","yes","POINT (-78.70985 42.909865)"
"441050","Richmond","East Coast Detectives, Ltd.","740 Delafield Ave",,"Staten Island","NY","10310","no","POINT (-74.12344 40.629164)"
"521906","Suffolk","Polecat Security Testing, Ltd.","120 East 6th St, # 5",,"Deer Park","NY","11729","yes","POINT (-73.321836 40.757905)"
"282262","Monroe","The Security Guard Institute","200 W. Ridge Rd, Suite 450",,"Rochester","NY","14615","no","POINT (-77.632341 43.197045)"
"241618","Kings","ASA College.","151 Lawrence St",,"Brooklyn","NY","11201","no","POINT (-73.986288 40.691415)"
"310161","New York","Barnard Security Academy Barnard College","3009 Broadway",,"New York","NY","10027","no","POINT (-73.96362 40.808574)"
"330884","Oneida","Oneida BOCES Career & Tech Ed Ctr","Career & Technical Education Center",,"New Hartford","NY","13413","no",
"11685","Albany","K&S Security, LLC","87 James Street",,"Green Island","NY","12183","no","POINT (-73.693026 42.747822)"
"241136","Kings","CAMBA","2244 Church Ave",,"Brooklyn","NY","11226","no","POINT (-73.957093 40.650476)"
"310343","New York","New York University Dept of Public Safety","7 Washington Place",,"New York","NY","10003","no","POINT (-73.994658 40.729457)"
"492005","Schuyler","Watkins Glen International","2790 County Route 16",,"Watkins Glen","NY","14891","no","POINT (-76.925907 42.347212)"
"582207","Washington","Lloyd J Swartz Protection & Investigation","215 Perkins Drive Ext.",,"Hudson Falls","NY","12839","yes","POINT (-73.574 43.290019)"
"321327","Niagara","Niagara University Campus Safety","Niagara University Campus Safety",,"Niagara","NY","14109","no",
"301122","Nassau","Rockville Centre UFSD","Elmont Memorial HS",,"Elmont","NY","11570","no",
"511099","Steuben","Greater Southern Tier BOCES","9579 Vocational Drive",,"Painted Post","NY","14870","no","POINT (-77.135341 42.192874)"
"510798","Steuben","Corning Incorporated","1 River Front Plaza / MP-HQ-01-E03",,"Corning","NY","14831","no",
"62345","Cayuga","Auburn Community Hospital","17 Lansing St.  (Attn: Security)",,"Auburn","NY","13021","no","POINT (-76.56447 42.940766)"
"270910","Madison","Cazenovia College","22 Sullivan St., Campus Security",,"Cazenovia","NY","13035","no","POINT (-75.855218 42.932043)"
