"title","exit","run_by","spaces","paved","lighted","comments","latitude","longitude","location"
"Manchester","43","NYS Thruway Authority","28","Yes","Highmast lighting nearby","16-hour Parking Limit","42.97686","-77.22779","(42.97686, -77.22779)"
"Geneva","42","NYS Department of Transportation","50","No","No","Located on Rt. 14.  Parking lot is unlined.","42.94946","-76.97677","(42.94946, -76.97677)"
"Canastota","34","NYS Thruway Authority","60","Yes","No","16-hour Parking Limit","43.08893","-75.74949","(43.08893, -75.74949)"
"Collamer","34A","NYS Thruway Authority","94","Yes","No","16-hour Parking Limit","43.0986","-76.04788","(43.0986, -76.04788)"
"Mattydale","36","NYS Thruway Authority","12","Yes","No","1-Hour Parking Limit","43.09531","-76.16428","(43.09531, -76.16428)"
"Liverpool","38","NYS Thruway Authority","36","Yes","No","16-hour Parking Limit","43.11427","-76.21399","(43.11427, -76.21399)"
"Verona","33","NYS Thruway Authority","27","Yes","No","16-hour Parking Limit","43.12029","-75.58679","(43.12029, -75.58679)"
"Westmoreland","32","NYS Thruway Authority","50","Yes","No","16-hour Parking Limit","43.12045","-75.40194","(43.12045, -75.40194)"
"Saugerties","20","NYS Department of Transportation","43","Yes","Yes","Located off Routes 32 and 212","42.08614","-73.97564","(42.08614, -73.97564)"
"Catskill","21","NYS Thruway Authority","98","Yes","Yes","16-hour Parking Limit","42.24651","-73.88515","(42.24651, -73.88515)"
"Post Road","B1","NYS Department of Transportation","24","Yes","Yes","Located 1.5 Miles south on Route 9","42.47574","-73.68258","(42.47574, -73.68258)"
"Rotterdam","26","NYS Department of Transportation","57","Yes","Yes","Located off Route 5","42.8532","-74.00697","(42.8532, -74.00697)"
"Amsterdam","27","NYS Thruway Authority","91","Yes","Yes","16-hour Parking Limit","42.92455","-74.20021","(42.92455, -74.20021)"
"Little Falls","29A","NYS Thruway Authority","6","Yes","Yes","16-hour Parking Limit","43.01946","-74.81862","(43.01946, -74.81862)"
"Herkimer","30","NYS Thruway Authority","17","Yes","Yes","16-hour Parking Limit","43.01716","-74.99466","(43.01716, -74.99466)"
"Utica","31","NYS Thruway Authority","24","Yes","Yes","16-hour Parking Limit","43.11213","-75.21065","(43.11213, -75.21065)"
"Syracuse (State Fair)","39","NYS Department of Transportation","50","Yes","Yes","16-hour Parking Limit","43.1109","-76.29029","(43.1109, -76.29029)"
"Weedsport","40","NYS Department of Transportation","40","Yes","Yes","16-hour Parking Limit","43.05885","-76.55943","(43.05885, -76.55943)"
"Canandaigua","44","NYS Department of Transportation","92","Yes","Yes",,"42.98765","-77.36303","(42.98765, -77.36303)"
"LeRoy","47","NYS Department of Transportation","110","Yes","Yes","Located on I-490 E - Exit 1; 0.2 miles.  Trailways, shelter and pay phone.","43.0333","-77.96705","(43.0333, -77.96705)"
"Pembroke","48A","NYS Thruway Authority","36","Yes","Yes","16-hour Parking Limit","43.00266","-78.40682","(43.00266, -78.40682)"
"Depew","49","NYS Thruway Authority","50","Yes","Yes","16-hour Parking Limit","42.94651","-78.6977","(42.94651, -78.6977)"
"West Nyack (Lot 1)","12","NYS Department of Transportation","232","Yes","Yes","Located at the NE Corner of Rt. 59 and Rt. 303","41.09436","-73.94979","(41.09436, -73.94979)"
"Williamsville","50","Niagara Frontier Transportation Authority","50","Yes","Yes","Located in the Village of Williamsville.  1.5 miles from I-90 - Exit 50. Directions: Exit 50 to I-290 West to Exit 7B, Route 5 East.  Turn right (Approx. 1/2 mile) at 3rd light to Union Road (Route 277). The lot is on the right.","42.96059","-78.75582","(42.96059, -78.75582)"
"West Nyack (Lot J)","12","Palisades Center","900","Yes","Yes","Located on Palisades Center Ring Road","41.09968","-73.96232","(41.09968, -73.96232)"
"Spring Valley (East Lot)","14","NYS Department of Transportation and Town of Clarkstown","188","Yes","Yes","Located at the South Side of Rt. 59 at NYSTA Exit 14","41.10289","-74.02979","(41.10289, -74.02979)"
"Spring Valley (North Lot)","14","NYS Department of Transportation and Town of Clarkstown","390","Yes","Yes","Located at the North Side of Rt. 59 at NYSTA Exit 14","41.10358","-74.02896","(41.10358, -74.02896)"
"Spring Valley (West Lot)","14","NYS Department of Transportation and Town of Clarkstown","80","Yes","Yes","Located at the South Side of Rt. 59 at NYSTA Exit 14","41.10343","-74.03072","(41.10343, -74.03072)"
"Newburgh","17","NYS Department of Transportation","289","Yes","Yes","Located on Rt. 17K at Union Avenue at the Short Line Bus Station.","41.50568","-74.06309","(41.50568, -74.06309)"
"New Paltz","18","NYS Thruway Authority","150","Yes","Yes","Located on the South Side of Rt. 299 at the New Paltz Toll Plaza. (16-hour Parking Limit)","41.74027","-74.06242","(41.74027, -74.06242)"
"Kingston","19","NYS Department of Transportation","236","Yes","Yes","Located off Route 587","41.94275","-74.02749","(41.94275, -74.02749)"
