"violation_charged_code","violation_description","violation_year","violation_month","violation_dow","age_at_violation","gender","state_of_license","police_agency","court","source"
"1229C3","NO SEAT BELT ADULT","2018","1","SUNDAY","49","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","17","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"37512A2","SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT","2018","1","SUNDAY","54","M","NEW JERSEY","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"37512A3","REAR SIDE WINDOWS NON/TRANSPARENT","2018","1","SUNDAY","21","M","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","22","M","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"1225D1A","MOTOR CARRIER ALLOW/REQUIRE DRIVER TO USE PORTABLE ELECTR DEVICE WHILE OPER CMV","2018","1","SUNDAY","53","M","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"5091","UNLICENSED OPERATOR","2018","1","SUNDAY","51","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","SUNDAY","26","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","31","M","NEW YORK","NYC POLICE DEPT","RICHMOND TVB","TVB"
"1163AT","IMPROPER TURN","2018","1","SUNDAY","49","M","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"37512A2","SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT","2018","1","SUNDAY","54","M","NEW JERSEY","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"5091G","UNLICENSED GT 60DAYS","2018","1","SUNDAY","32","M","UNKNOWN","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","31","M","UNKNOWN","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"403A1","FLD YIELD PEDEST NYC","2018","1","SUNDAY","19","M","NEW JERSEY","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","SUNDAY","54","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","40","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1163D","IMPROPER SIGNAL","2018","1","SUNDAY","22","M","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"1229C3B","NO SEAT BELT PASS-VEH OPER BY DJ","2018","1","SUNDAY","45","F","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"37540B","INADEQUATE OR NO STOP LAMPS","2018","1","SUNDAY","32","M","UNKNOWN","NYC POLICE DEPT","BRONX TVB","TVB"
"5091G","UNLICENSED GT 60DAYS","2018","1","SUNDAY","31","M","UNKNOWN","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"3191U","OPERATING W/O INSURANCE","2018","1","SUNDAY","22","M","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"1111D1N","NYC REDLIGHT","2018","1","SUNDAY","25","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1111D1N","NYC REDLIGHT","2018","1","SUNDAY","48","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1229C3U","NO BELT OPER TAXI","2018","1","SUNDAY","55","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1180D13","SPEED IN ZONE 31+","2018","1","SUNDAY","20","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1229C3A","NO LAP/SHOULDER HARNESS OR DJ VIO","2018","1","SUNDAY","29","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"403A1","FLD YIELD PEDEST NYC","2018","1","SUNDAY","54","M","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","24","F","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","66","M","NEW YORK","NYC POLICE DEPT","MANHATTAN NORTH TVB","TVB"
"1229C3U","NO BELT OPER TAXI","2018","1","SUNDAY","47","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1111D1N","NYC REDLIGHT","2018","1","SUNDAY","45","M","WISCONSIN","NYC POLICE DEPT","BRONX TVB","TVB"
