"public_authority_type","public_authority_name","address_line_1","city","state","zip","website"
"State","Agriculture and New York State Horse Breeding Development Fund","1 Broadway Center","SCHENECTADY","NY","12305","http://www.nysirestakes.com"
"State","Albany Convention Center Authority","c/o Albany Capital Center","ALBANY","NY","12207","http://www.accany.com"
"State","Battery Park City Authority","200 Liberty Street","NEW YORK","NY","10281-1097","http://www.bpca.ny.gov"
"State","Buffalo Fiscal Stability Authority","Market Arcade Bldg.","BUFFALO","NY","14203","http://www.bfsa.state.ny.us"
"State","Capital District Transportation Authority","110 Watervilet Avenue","ALBANY","NY","12206","http://www.cdta.org"
"State","Central New York Regional Transportation Authority","200 Cortland Avenue","SYRACUSE","NY","13205-0820","http://www.centro.org"
"State","Development Authority of the North Country","Dulles State Office Building","WATERTOWN","NY","13601","http://www.danc.org"
"State","Dormitory Authority of the State of New York","515 Broadway","ALBANY","NY","12207-2964","http://www.dasny.org"
"State","Environmental Facilities Corporation","625 Broadway","ALBANY","NY","12207-2997","http://www.efc.ny.gov"
"State","Erie County Fiscal Stability Authority","295 Main Street","BUFFALO","NY","14203","http://www.ecfsa.state.ny.us"
"State","Erie County Medical Center Corporation","462 Grider Street","BUFFALO","NY","14215","http://www.ecmc.edu/"
"State","Greenway Conservancy for the Hudson River Valley, Inc.","625 Broadway - 4th Floor","ALBANY","NY","12207-2995","https://hudsongreenway.ny.gov/"
"State","Homeless Housing Assistance Corporation","40 North Pearl Street","ALBANY","NY","12243-0001","http://www.otda.state.ny.us/main/bhs/"
"State","Housing Trust Fund Corporation","38-40 State Street","ALBANY","NY","12207","http://www.nyshcr.org/HTFC/"
"State","Hudson River-Black River Regulating District","350 Northern Boulevard","ALBANY","NY","12204","http://www.hrbrrd.ny.gov"
"State","Hudson River Park Trust","Pier 40 - 353 West St.","NEW YORK","NY","10014","http://www.hudsonriverpark.org/"
"State","Long Island Power Authority","333 Earle Ovington Boulevard","UNIONDALE","NY","11553","http://www.lipower.org"
"State","Metropolitan Transportation Authority","2 Broadway","NEW YORK","NY","10004","http://www.mta.info"
"State","Municipal Assistance Corporation for the City of Troy","80 Maiden Lane","NEW YORK","NY","10038","https://www.troyny.gov/government/mac/"
"State","Nassau County Interim Finance Authority","1305 Franklin Avenue","GARDEN CITY","NY","11530","http://www.nifa.state.ny.gov"
"State","Nassau Health Care Corporation","2201 Hempstead Turnpike","EAST MEADOW","NY","11554","http://www.nuhealth.net"
"State","Natural Heritage Trust","625 Broadway","ALBANY","NY","12207","http://www.naturalheritagetrust.org"
"State","Nelson A. Rockefeller Empire State Plaza Performing Arts Center Operating Corporation","P.O. Box 2065","ALBANY","NY","12220","http://www.theegg.org/"
"State","New York Convention Center Operating Corporation","655 West 34th Street","NEW YORK","NY","10001-1188","http://www.javitscenter.com"
"State","New York Job Development Authority","633 Third Avenue","NEW YORK","NY","10017-6754",
"State","New York Local Government Assistance Corporation","110 State Street","ALBANY","NY","12236","https://www.osc.state.ny.us/debt/lgac"
"State","New York State Affordable Housing Corporation","641 Lexington Avenue","NEW YORK","NY","10022","http://www.nyshcr.org"
"State","New York State Bridge Authority","Mid-Hudson Bridge Plaza","HIGHLAND","NY","12528","http://www.nysba.state.ny.us"
"State","New York State Energy Research and Development Authority","Corporate Plaza West","ALBANY","NY","12203-6399","http://www.nyserda.org"
"State","New York State Housing Finance Agency","641 Lexington Avenue","NEW YORK","NY","10022","http://www.nyshcr.org"
"State","New York State Olympic Regional Development Authority","2634 Main Street","LAKE PLACID","NY","12946","http://www.orda.org"
"State","New York State Thoroughbred Breeding Development Fund","One Broadway Center - 1st floor","SCHENECTADY","NY","12305","http://www.nybreds.com"
"State","New York State Thruway Authority","200 Southern Boulevard","ALBANY","NY","12201-0189","http://www.thruway.ny.gov"
"State","New York State Urban Development Corporation","633 Third Avenue","NEW YORK","NY","10017-8167","http://www.esd.ny.gov/"
"State","Niagara Frontier Transportation Authority","181 Ellicot Street","BUFFALO","NY","14203","http://www.nfta.com"
"State","Ogdensburg Bridge and Port Authority","One Bridge Plaza","OGDENSBURG","NY","13669","http://www.ogdensport.com"
"State","Port of Oswego Authority","1 East 2nd Street","OSWEGO","NY","13126","http://www.portoswego.com/"
"State","Power Authority of the State of New York","123 Main Street","WHITE PLAINS","NY","10601","http://www.nypa.gov"
"State","Rochester-Genesee Regional Transportation Authority","1372 East Main Street","ROCHESTER","NY","14609","http://www.rgrta.com"
"State","Roosevelt Island Operating Corporation","591 Main Street","ROOSEVELT ISLAND","NY","10044","http://www.rioc.ny.gov"
"State","Roswell Park Cancer Institute Corporation","Elm and Carlton Street","BUFFALO","NY","14263","http://www.roswellpark.org"
"State","State of New York Mortgage Agency","641 Lexington Avenue","NEW YORK","NY","10022","http://www.nyshcr.org/"
"State","State of New York Municipal Bond Bank Agency","641 Lexington Avenue","NEW YORK","NY","10022","http://www.nyshcr.org"
"State","Tobacco Settlement Financing Corporation","641 Lexington Avenue","NEW YORK","NY","10022","http://www.nyshcr.org/"
"State","United Nations Development Corporation","Two United Nations Plaza","NEW YORK","NY","10017-4403","http://www.undc.org/"
"State","Utility Debt Securitization Authority (UDSA)","333 Earle Ovington Blvd","UNIONDALE","NY","11553","http://www.lipower.org/UDSA/"
"State","Westchester County Health Care Corporation","Valhalla Campus","VALHALLA","NY","10595","http://www.worldclassmedicine.com/"
