"county","category","taxonomic_group","taxonomic_subgroup","scientific_name","common_name","year_last_documented","ny_listing_status","federal_listing_status","state_conservation_rank","global_conservation_rank","distribution_status"
"Albany","Animal","Birds","Blackbirds and Orioles","Icterus spurius","Orchard Oriole","2000-2005","Protected Bird","not listed","S4B","G5","Recently Confirmed"
"Albany","Animal","Birds","Blackbirds and Orioles","Dolichonyx oryzivorus","Bobolink","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Blackbirds and Orioles","Agelaius phoeniceus","Red-winged Blackbird","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Blackbirds and Orioles","Quiscalus quiscula","Common Grackle","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Blackbirds and Orioles","Sturnella magna","Eastern Meadowlark","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Blackbirds and Orioles","Molothrus ater","Brown-headed Cowbird","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Blackbirds and Orioles","Icterus galbula","Baltimore Oriole","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Cardinals and Buntings","Cardinalis cardinalis","Northern Cardinal","2000-2005","Protected Bird","not listed","S5","G5","Recently Confirmed"
"Albany","Animal","Birds","Cardinals and Buntings","Passerina cyanea","Indigo Bunting","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Cardinals and Buntings","Pheucticus ludovicianus","Rose-breasted Grosbeak","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Cardinals and Buntings","Piranga olivacea","Scarlet Tanager","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Chickadees and Titmice","Baeolophus bicolor","Tufted Titmouse","2000-2005","Protected Bird","not listed","S5","G5","Recently Confirmed"
"Albany","Animal","Birds","Chickadees and Titmice","Poecile atricapillus","Black-capped Chickadee","2000-2005","Protected Bird","not listed","S5","G5","Recently Confirmed"
"Albany","Animal","Birds","Cormorants","Phalacrocorax auritus","Double-crested Cormorant","2000-2005","Protected Bird","not listed","S3","G5","Recently Confirmed"
"Albany","Animal","Birds","Creepers","Certhia americana","Brown Creeper","2000-2005","Protected Bird","not listed","S5","G5","Recently Confirmed"
"Albany","Animal","Birds","Crows and Jays","Corvus corax","Common Raven","2000-2005","Protected Bird","not listed","S4","G5","Recently Confirmed"
"Albany","Animal","Birds","Crows and Jays","Corvus ossifragus","Fish Crow","2000-2005","Protected Bird - Game with open season","not listed","S4","G5","Recently Confirmed"
"Albany","Animal","Birds","Crows and Jays","Corvus brachyrhynchos","American Crow","2000-2005","Protected Bird - Game with open season","not listed","S5","G5","Recently Confirmed"
"Albany","Animal","Birds","Crows and Jays","Cyanocitta cristata","Blue Jay","2000-2005","Protected Bird","not listed","S5","G5","Recently Confirmed"
"Albany","Animal","Birds","Cuckoos","Coccyzus erythropthalmus","Black-billed Cuckoo","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Cuckoos","Coccyzus americanus","Yellow-billed Cuckoo","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Ducks, Geese, Waterfowl","Branta canadensis","Canada Goose","2000-2005","Protected Bird - Game with open season","not listed","S5","G5","Recently Confirmed"
"Albany","Animal","Birds","Ducks, Geese, Waterfowl","Lophodytes cucullatus","Hooded Merganser","2000-2005","Protected Bird - Game with open season","not listed","S4","G5","Recently Confirmed"
"Albany","Animal","Birds","Ducks, Geese, Waterfowl","Anas rubripes","American Black Duck","2000-2005","Protected Bird - Game with open season","not listed","S3B,SNRN","G5","Recently Confirmed"
"Albany","Animal","Birds","Ducks, Geese, Waterfowl","Anas platyrhynchos x rubripes","Mallard x Am. Black Duck Hybrid","2000-2005","Protected Bird - Game with open season","not listed","SNA","GNA","Recently Confirmed"
"Albany","Animal","Birds","Ducks, Geese, Waterfowl","Anas platyrhynchos","Mallard","2000-2005","Protected Bird - Game with open season","not listed","S5","G5","Recently Confirmed"
"Albany","Animal","Birds","Ducks, Geese, Waterfowl","Anas discors","Blue-winged Teal","2000-2005","Protected Bird - Game with open season","not listed","S2S3B,SNRN","G5","Recently Confirmed"
"Albany","Animal","Birds","Ducks, Geese, Waterfowl","Aix sponsa","Wood Duck","2000-2005","Protected Bird - Game with open season","not listed","S5","G5","Recently Confirmed"
"Albany","Animal","Birds","Finches and Crossbills","Loxia curvirostra","Red Crossbill","2000-2005","Protected Bird","not listed","S2S3","G5","Recently Confirmed"
"Albany","Animal","Birds","Finches and Crossbills","Haemorhous purpureus","Purple Finch","2000-2005","Protected Bird","not listed","S5","G5","Recently Confirmed"
"Albany","Animal","Birds","Finches and Crossbills","Spinus tristis","American Goldfinch","2000-2005","Protected Bird","not listed","S5","G5","Recently Confirmed"
"Albany","Animal","Birds","Finches and Crossbills","Haemorhous mexicanus","House Finch","2000-2005","Protected Bird","not listed","SNA","G5","Recently Confirmed"
"Albany","Animal","Birds","Finches and Crossbills","Loxia leucoptera","White-winged Crossbill","2000-2005","Protected Bird","not listed","S2S3","G5","Recently Confirmed"
"Albany","Animal","Birds","Finches and Crossbills","Spinus pinus","Pine Siskin","2000-2005","Protected Bird","not listed","S5","G5","Recently Confirmed"
"Albany","Animal","Birds","Flycatchers","Tyrannus tyrannus","Eastern Kingbird","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Flycatchers","Sayornis phoebe","Eastern Phoebe","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Flycatchers","Empidonax alnorum","Alder Flycatcher","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Flycatchers","Empidonax minimus","Least Flycatcher","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Flycatchers","Contopus virens","Eastern Wood-Pewee","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Flycatchers","Myiarchus crinitus","Great Crested Flycatcher","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Flycatchers","Empidonax traillii","Willow Flycatcher","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
"Albany","Animal","Birds","Gnatcatchers","Polioptila caerulea","Blue-gray Gnatcatcher","2000-2005","Protected Bird","not listed","S5","G5","Recently Confirmed"
"Albany","Animal","Birds","Grebes","Podilymbus podiceps","Pied-billed Grebe","2012","Threatened","not listed","S3B,S1N","G5","Recently Confirmed"
"Albany","Animal","Birds","Grouse, Pheasants, Turkeys","Bonasa umbellus","Ruffed Grouse","2000-2005","Protected Bird - Game with open season","not listed","S5","G5","Recently Confirmed"
"Albany","Animal","Birds","Grouse, Pheasants, Turkeys","Phasianus colchicus","Ring-necked Pheasant","2000-2005","Protected Bird - Game with open season","not listed","SNA","G5","Recently Confirmed"
"Albany","Animal","Birds","Grouse, Pheasants, Turkeys","Meleagris gallopavo","Wild Turkey","2000-2005","Protected Bird - Game with open season","not listed","S5","G5","Recently Confirmed"
"Albany","Animal","Birds","Grouse, Pheasants, Turkeys","Colinus virginianus","Northern Bobwhite","2000-2005","Protected Bird - Game with open season","not listed","S4","G4G5","Recently Confirmed"
"Albany","Animal","Birds","Gulls, Terns, Plovers, Shorebirds","Actitis macularius","Spotted Sandpiper","2000-2005","Protected Bird","not listed","S5B","G5","Recently Confirmed"
