"year","month","month_code","district_code","district","total_temporary_assistance_cases","total_temporary_assistance_recipients","total_temporary_assistance_children","total_temporary_assistance_adults","total_temporary_assistance_expenditures","family_assistance_federally_participating_cases","family_assistance_federally_participating_recipients","family_assistance_federally_participating_children","family_assistance_federally_participating_adults","family_assistance_federally_participating_expenditures","safety_net_assistance_cases","safety_net_assistance_recipients","safety_net_assistance_children","safety_net_assistance_adults","safety_net_assistance_expenditures","federally_participating_temporary_assistance_for_needy_families_cases","federally_participating_temporary_assistance_for_needy_families_recipients","federally_participating_temporary_assistance_for_needy_families_expenditures","federally_non_participating_cases","federally_non_participating_recipients","federally_non_participating_expenditures","safety_net_assistance_federally_participating_cases","safety_net_assistance_federally_participating_recipients","safety_net_assistance_federally_participating_children","safety_net_assistance_federally_participating_adults","safety_net_assistance_federally_participating_expenditures","safety_net_federally_non_participating_cases","safety_net_federally_non_participating_recipients","safety_net_federally_non_participating_children","safety_net_federally_non_participating_adults","safety_net_federally_non_participating_expenditures","maintenance_of_effort_cases","maintenance_of_effort_recipients","maintenance_of_effort_children","maintenance_of_effort_adults","maintenance_of_effort_expenditures","non_maintenance_of_effort_cases","non_maintenance_of_effort_recipients","non_maintenance_of_effort_children","non_maintenance_of_effort_adults","non_maintenance_of_effort_expenditures"
"2022","June","6","01","Albany","1456","2697","1592","1105","1119487","640","1328","1082","246","405084","816","1369","510","859","714403","641","1331","405477","815","1366","714010","1","3","2","1","393","815","1366","508","858","714010","112","416","299","117","71793","703","950","209","741","642217"
"2022","June","6","02","Allegany","255","418","234","184","122920","122","253","201","52","62900","133","165","33","132","60020","122","253","62900","133","165","60020","0","0","0","0","0","133","165","33","132","60020","10","30","21","9","7793","123","135","12","123","52227"
"2022","June","6","03","Broome","2127","3430","1823","1607","1222765","819","1603","1278","325","490867","1308","1827","545","1282","731898","831","1633","496657","1296","1797","726108","12","30","16","14","5790","1296","1797","529","1268","726108","155","505","343","162","102914","1141","1292","186","1106","623194"
"2022","June","6","04","Cattaraugus","816","1244","577","667","452855","281","591","466","125","148901","535","653","111","542","303954","302","655","160084","514","589","292771","21","64","37","27","11183","514","589","74","515","292771","21","64","42","22","13811","493","525","32","493","278960"
"2022","June","6","05","Cayuga","633","1026","551","475","460537","249","524","421","103","147663","384","502","130","372","312874","260","558","158468","373","468","302069","11","34","22","12","10805","373","468","108","360","302069","30","89","57","32","20798","343","379","51","328","281271"
"2022","June","6","06","Chautauqua","1697","3287","1878","1409","1054531","741","1780","1358","422","491797","956","1507","520","987","562734","753","1821","496295","944","1466","558236","12","41","26","15","4498","944","1466","494","972","558236","137","491","339","152","91962","807","975","155","820","466274"
"2022","June","6","07","Chemung","688","1103","700","403","388162","339","673","581","92","186313","349","430","119","311","201849","341","676","186950","347","427","201212","2","3","1","2","637","347","427","118","309","201212","13","59","46","13","9771","334","368","72","296","191441"
"2022","June","6","08","Chenango","316","491","296","195","139341","171","322","269","53","86648","145","169","27","142","52693","174","329","87912","142","162","51429","3","7","3","4","1264","142","162","24","138","51429","3","11","8","3","1803","139","151","16","135","49626"
"2022","June","6","09","Clinton","694","1033","534","499","453331","302","575","465","110","189550","392","458","69","389","263781","315","606","199107","379","427","254224","13","31","15","16","9557","379","427","54","373","254224","10","26","17","9","6095","369","401","37","364","248129"
"2022","June","6","10","Columbia","269","465","273","192","176052","118","254","210","44","65025","151","211","63","148","111027","124","274","70598","145","191","105454","6","20","13","7","5573","145","191","50","141","105454","15","53","38","15","7539","130","138","12","126","97915"
"2022","June","6","11","Cortland","362","518","249","269","216951","137","256","206","50","78501","225","262","43","219","138450","145","277","84525","217","241","132426","8","21","13","8","6024","217","241","30","211","132426","7","26","17","9","4970","210","215","13","202","127456"
"2022","June","6","12","Delaware","162","278","163","115","88071","81","174","137","37","40898","81","104","26","78","47173","82","176","41421","80","102","46650","1","2","1","1","523","80","102","25","77","46650","5","19","14","5","4054","75","83","11","72","42596"
"2022","June","6","13","Dutchess","828","1322","715","607","1057399","343","716","578","138","424572","485","606","137","469","632827","353","744","460504","475","578","596895","10","28","16","12","35932","475","578","121","457","596895","29","100","69","31","42146","446","478","52","426","554749"
"2022","June","6","14","Erie","8371","16224","9034","7190","4611689","3236","7644","5800","1844","1866792","5135","8580","3234","5346","2744897","3277","7739","1887185","5094","8485","2724504","41","95","52","43","20393","5094","8485","3182","5303","2724504","818","3095","2245","850","550333","4276","5390","937","4453","2174171"
"2022","June","6","15","Essex","86","122","73","49","42830","44","78","69","9","19771","42","44","4","40","23059","44","78","19771","42","44","23059","0","0","0","0","0","42","44","4","40","23059","0","0","0","0","0","42","44","4","40","23059"
"2022","June","6","16","Franklin","374","555","233","322","177168","123","255","188","67","61069","251","300","45","255","116099","123","255","61069","251","300","116099","0","0","0","0","0","251","300","45","255","116099","11","42","31","11","7421","240","258","14","244","108678"
"2022","June","6","17","Fulton","206","311","170","141","136792","90","178","148","30","58233","116","133","22","111","78559","91","180","58717","115","131","78075","1","2","1","1","484","115","131","21","110","78075","5","17","11","6","3328","110","114","10","104","74747"
"2022","June","6","18","Genesee","246","380","184","196","128395","88","181","141","40","42491","158","199","43","156","85904","89","183","42637","157","197","85758","1","2","1","1","146","157","197","42","155","85758","15","52","38","14","10343","142","145","4","141","75415"
"2022","June","6","19","Greene","205","334","184","150","148098","90","187","154","33","59957","115","147","30","117","88141","92","195","61172","113","139","86926","2","8","6","2","1215","113","139","24","115","86926","6","17","11","6","4176","107","122","13","109","82750"
"2022","June","6","20","Hamilton","8","14","7","7","2861","4","10","7","3","1893","4","4","0","4","968","4","10","1893","4","4","968","0","0","0","0","0","4","4","0","4","968","0","0","0","0","0","4","4","0","4","968"
"2022","June","6","21","Herkimer","332","567","325","242","202159","153","314","259","55","91587","179","253","66","187","110572","157","325","93494","175","242","108665","4","11","7","4","1907","175","242","59","183","108665","12","45","31","14","7131","163","197","28","169","101534"
"2022","June","6","22","Jefferson","755","1198","629","569","551185","298","601","487","114","190393","457","597","142","455","360792","309","625","209147","446","573","342038","11","24","13","11","18754","446","573","129","444","342038","38","125","85","40","25715","408","448","44","404","316323"
"2022","June","6","23","Lewis","66","105","73","32","34681","35","69","61","8","17379","31","36","12","24","17302","36","71","19005","30","34","15676","1","2","1","1","1626","30","34","11","23","15676","0","0","0","0","0","30","34","11","23","15676"
"2022","June","6","24","Livingston","356","551","268","283","208559","135","265","206","59","80381","221","286","62","224","128178","138","272","82598","218","279","125961","3","7","4","3","2217","218","279","58","221","125961","14","43","28","15","11220","204","236","30","206","114741"
"2022","June","6","25","Madison","219","349","220","129","126503","99","186","166","20","50340","120","163","54","109","76163","105","204","53450","114","145","73053","6","18","11","7","3110","114","145","43","102","73053","12","35","24","11","6548","102","110","19","91","66505"
