Title,Milepost,Route Location,Direction,Route,Icon Anchor,TP ID,Latitude,Longitude,Location,NYS Municipal Boundaries,New York Zip Codes,Counties
Dewitt,280,Exit 36 (Syracuse I-81) & Exit 35 (Syracuse East),Eastbound,I-90 - NYS Thruway,3,de,43.09103,-76.10088,"(43.09103, -76.10088)",702,715,2132
Guilderland,153,Exit 25 (Schenectady East) & Exit 24 (Albany Northway),Eastbound,I-90 - NYS Thruway,3,gu,42.74384,-73.91855,"(42.74384, -73.91855)",832,72,2030
Parking/Rest Area,353,Exit 46 (Rochester) & 45 (Rochester - Victor),Eastbound,I-90 - NYS Thruway,3,rest-353E,43.0148,-77.48,"(43.0148, -77.48)",799,372,2133
Port Byron Old Erie Canal Heritage Park,308,Exit 41 (Waterloo) & Exit 40 (Weedsport),Eastbound,I-90 NYS Thruway,3,rest-309E,43.036092,-76.635779,"(43.036092, -76.635779)",77,681,618
Parking/Rest Area,443,Exit 57A (Eden - Angola) & 57 (Hamburg - East Aurora),Eastbound,I-90 - NYS Thruway,3,rest-443E,42.6877,-78.9364,"(42.6877, -78.9364)",293,513,2041
Mohawk,172,Exit 27 (Amsterdam) & Exit 26 (Schenectady West),Eastbound,I-90 - NYS Thruway,3,mh,42.91469,-74.16241,"(42.91469, -74.16241)",493,1143,624
Indian Castle,210,Exit 29A (Little Falls) & Exit 29 (Canajoharie),Eastbound,I-90 - NYS Thruway,3,ic,43.01549,-74.80299,"(43.01549, -74.80299)",683,570,2088
Parking/Rest Area,184,Exit 29 (Canajoharie) & 28 (Fultonville - Fonda),Eastbound,I-90 - NYS Thruway,3,rest-184E,42.9435,-74.3946,"(42.9435, -74.3946)",492,1221,624
Port Byron,310,Exit 41 (Waterloo) & Exit 40 (Weedsport),Eastbound,I-90 - NYS Thruway,3,pb,43.02383,-76.67101,"(43.02383, -76.67101)",76,681,618
Clifton Springs,337,Exit 43 (Manchester) & Exit 42 (Geneva),Eastbound,I-90 - NYS Thruway,3,cs,42.9729,-77.17367,"(42.9729, -77.17367)",805,182,2133
Oneida,244,Exit 33 (Verona-Rome) & Exit 32 (Westmoreland-Rome),Eastbound,I-90 - NYS Thruway,3,oe,43.12503,-75.4149,"(43.12503, -75.4149)",979,1393,625
Parking/Rest Area,250,Exit 33 (Verona-Rome) & 32 (Westmoreland - Rome),Eastbound,I-90  - NYS Thruway,3,rest-250E,43.1298,-75.5323,"(43.1298, -75.5323)",982,1385,625
Pembroke,397,Exit 48A (Pembroke) & Exit 48 (Batavia),Eastbound,I-90 - NYS Thruway,3,pe,43.01187,-78.32903,"(43.01187, -78.32903)",785,500,2086
Scottsville,366,Exit 47 (Leroy) & Exit 46 (Rochester),Eastbound,I-90 - NYS Thruway,3,so,43.04088,-77.71522,"(43.04088, -77.71522)",546,420,2093
Angola,447,Exit 57A (Eden-Angola) & Exit 58 (Silver Creek),Eastbound & Westbound,I-90 - NYS Thruway,0,an,42.63576,-78.98909,"(42.63576, -78.98909)",291,483,2041
Plattekill,65,Exit 17 (Newburgh I-84) & Exit 18 (New Paltz),Northbound,I-87 - NYS Thruway,1,pl,41.57777,-74.08534,"(41.57777, -74.08534)",890,1017,2134
Capital Region Welcome Center,127,Exit 21B (Coxsackie - Route 9W) & exit 21A (Berkshire Section/to Mass Pike),Northbound,I-87 - NYS Thruway,0,rest-127W,42.429117,-73.802406,"(42.429117, -73.802406)",752,21,2087
Parking/Rest Area,99,Exit 19 (Kingston) & 20 (Saugerties),Northbound,I-87 - NYS Thruway,3,rest-99N,42.055,-73.9831,"(42.055, -73.9831)",411,330,2182
Malden,103,Exit 20 (Saugerties) & Exit 21 (Catskill),Northbound,I-87 - NYS Thruway,1,ma,42.11083,-73.95654,"(42.11083, -73.95654)",411,330,2182
Sloatsburg,33,Exit 15A (Suffern Rt. 17N) & Exit 16 (Woodbury Toll Barrier),Northbound,I-87 - NYS Thruway,1,sl,41.15128,-74.18817,"(41.15128, -74.18817)",529,1557,628
Ardsley,6,Exit 6A (Yonkers Toll Barrier) & Exit 7 (Ardsley),Northbound,I-87 - NYS Thruway,1,ar,40.984,-73.85287,"(40.984, -73.85287)",974,1445,2185
New Baltimore,127,Exit 21B (Coxsackie) & Exit 21A (Berkshire Section/to Mass Pike),Northbound & Southbound,I-87 - NYS Thruway,0,nb,42.42772,-73.80568,"(42.42772, -73.80568)",752,1232,2087
Ramapo,33,Exit 16 (Woodbury Toll Barrier) & Exit 15A (Suffern Rt. 17N),Southbound,I-87 - NYS Thruway,2,ra,41.1531,-74.1897,"(41.1531, -74.1897)",529,1557,628
Ulster,96,Exit 20 (Saugerties) & Exit 19 (Kingston),Southbound,I-87 - NYS Thruway,2,ul,42.01391,-73.99987,"(42.01391, -73.99987)",408,197,2182
Parking/Rest Area,139,Exit 23 (Albany - Downtown) & 22 (Selkirk),Southbound,I-87 - NYS Thruway,3,rest-193S,42.5935,-73.7863,"(42.5935, -73.7863)",837,1225,2030
Modena,66,Exit 18 (New Paltz) & Exit 17 (Newburgh I-84),Southbound,I-87 NYS Thruway,2,md,41.59213,-74.0886,"(41.59213, -74.0886)",890,1017,2134
Parking/Rest Area,103,Exit 21 (Catskill - Cairo) & 20 (Saugerties),Southbound,I-87 - NYS Thruway,2,rest-103S,42.1069,-73.9593,"(42.1069, -73.9593)",411,330,2182
Western New York Welcome Center,17,Exit 19 (Whitehaven Road) via Alvin Road,Southbound,I-190 Niagara Thruway,0,rest-17W,43.019096,-78.973792,"(43.019096, -78.973792)",290,526,2041
Chittenango,266,Exit 34 (Canastota) & Exit 34A (Syracuse I-481),Westbound,I-90 - NYS Thruway,4,ch,43.09607,-75.8416,"(43.09607, -75.8416)",119,351,2092
Parking/Rest Area,443,Exit 57 (Hamburg - East Aurora) & 57A (Eden - Angola),Westbound,I-90 - NYS Thruway,4,rest-443W,42.688,-78.9378,"(42.688, -78.9378)",293,513,2041
Parking/Rest Area,256,Exit 33 (Verona-Rome) & 34 (Canastota - Chittenango - Cazenovia - Oneida),Westbound,I-90 - NYS Thruway,0,rest-256W,43.1168,-75.6445,"(43.1168, -75.6445)",982,425,625
Clarence,412,Exit 48A (Pembroke) & Exit 49 (Depew),Westbound,I-90 - NYS Thruway,4,cl,42.95248,-78.60289,"(42.95248, -78.60289)",286,532,2041
Parking/Rest Area,318,Exit 40 (Weedsport) & 41 (Waterloo - Clyde - Seneca Falls),Westbound,I-90 - NYS Thruway,0,rest-318W,42.9744,-76.8104,"(42.9744, -76.8104)",576,689,2144
