"msa","metro","year","month","medprice","medprice_ia","percentchngprice","percentchngpriceia","source"
"Atlanta, GA","Atlanta","1997","1","108800","162900","0.00","0.00","Zillow"
"Atlanta, GA","Atlanta","1997","2","109300","163600","0.00","0.00","Zillow"
"Atlanta, GA","Atlanta","1997","3","109700","164200","0.01","0.01","Zillow"
"Atlanta, GA","Atlanta","1997","4","110200","165000","0.01","0.01","Zillow"
"Atlanta, GA","Atlanta","1997","5","110800","165900","0.02","0.02","Zillow"
"Atlanta, GA","Atlanta","1997","6","111400","166800","0.02","0.02","Zillow"
"Atlanta, GA","Atlanta","1997","7","112200","168000","0.03","0.03","Zillow"
"Atlanta, GA","Atlanta","1997","8","113000","169200","0.04","0.04","Zillow"
"Atlanta, GA","Atlanta","1997","9","113800","170400","0.05","0.05","Zillow"
"Atlanta, GA","Atlanta","1997","10","114500","171400","0.05","0.05","Zillow"
"Atlanta, GA","Atlanta","1997","11","115200","172500","0.06","0.06","Zillow"
"Atlanta, GA","Atlanta","1997","12","115900","173500","0.07","0.07","Zillow"
"Atlanta, GA","Atlanta","1998","1","116500","172400","0.07","0.06","Zillow"
"Atlanta, GA","Atlanta","1998","2","117100","173200","0.08","0.06","Zillow"
"Atlanta, GA","Atlanta","1998","3","117600","174000","0.08","0.07","Zillow"
"Atlanta, GA","Atlanta","1998","4","118100","174700","0.09","0.07","Zillow"
"Atlanta, GA","Atlanta","1998","5","118600","175500","0.09","0.08","Zillow"
"Atlanta, GA","Atlanta","1998","6","119300","176500","0.10","0.08","Zillow"
"Atlanta, GA","Atlanta","1998","7","120000","177500","0.10","0.09","Zillow"
"Atlanta, GA","Atlanta","1998","8","120800","178700","0.11","0.10","Zillow"
"Atlanta, GA","Atlanta","1998","9","121600","179900","0.12","0.10","Zillow"
"Atlanta, GA","Atlanta","1998","10","122400","181100","0.13","0.11","Zillow"
"Atlanta, GA","Atlanta","1998","11","123300","182400","0.13","0.12","Zillow"
"Atlanta, GA","Atlanta","1998","12","124200","183700","0.14","0.13","Zillow"
"Atlanta, GA","Atlanta","1999","1","125100","180900","0.15","0.11","Zillow"
"Atlanta, GA","Atlanta","1999","2","125900","182100","0.16","0.12","Zillow"
"Atlanta, GA","Atlanta","1999","3","126600","183100","0.16","0.12","Zillow"
"Atlanta, GA","Atlanta","1999","4","127400","184200","0.17","0.13","Zillow"
"Atlanta, GA","Atlanta","1999","5","128100","185200","0.18","0.14","Zillow"
"Atlanta, GA","Atlanta","1999","6","128900","186400","0.18","0.14","Zillow"
"Atlanta, GA","Atlanta","1999","7","129800","187700","0.19","0.15","Zillow"
"Atlanta, GA","Atlanta","1999","8","130600","188900","0.20","0.16","Zillow"
"Atlanta, GA","Atlanta","1999","9","131400","190000","0.21","0.17","Zillow"
"Atlanta, GA","Atlanta","1999","10","132300","191300","0.22","0.17","Zillow"
"Atlanta, GA","Atlanta","1999","11","133200","192600","0.22","0.18","Zillow"
"Atlanta, GA","Atlanta","1999","12","134100","193900","0.23","0.19","Zillow"
"Atlanta, GA","Atlanta","2000","1","135100","188800","0.24","0.16","Zillow"
"Atlanta, GA","Atlanta","2000","2","136000","190000","0.25","0.17","Zillow"
"Atlanta, GA","Atlanta","2000","3","136800","191100","0.26","0.17","Zillow"
