"region","year","vmt","source"
"Bay Area","2001","158387870","Ct_HPMSLib"
"Bay Area","2002","166012320","Ct_HPMSLib"
"Bay Area","2003","167041870","Ct_HPMSLib"
"Bay Area","2004","166623380","Ct_HPMSLib"
"Bay Area","2005","159908080","Ct_HPMSLib"
"Bay Area","2006","157382190","Ct_HPMSLib"
"Bay Area","2007","156336310","Ct_HPMSLib"
"Bay Area","2008","163173995","Ct_HPMSLib"
"Bay Area","2009","161745330","Ct_HPMSLib"
"Bay Area","2010","158218780","Ct_HPMSLib"
"Bay Area","2011","162158920","Ct_HPMSLib"
"Bay Area","2012","167127040","Ct_HPMSLib_revised"
"Bay Area","2013","165828710","Ct_HPMSLib_revised"
"Bay Area","2014","169981190","Ct_HPMSLib"
"Bay Area","2015","171971030","Ct_HPMSLib"
