"city","county","years","totalunits","totalunits_avg_annual","sfunits","sfunits_avg_annual","mfunits","mfunits_avg_annual","source1","source2"
"Alameda","Alameda County","1990-1999","841","84.1","821","82.1","20","2.0","CIRB",
"Alameda County Unincorporated","Alameda County","1990-1999","3720","372.0","2911","291.1","809","80.9","CIRB",
"Albany","Alameda County","1990-1999","44","4.4","25","2.5","19","1.9","CIRB",
"Berkeley","Alameda County","1990-1999","587","58.7","128","12.8","459","45.9","CIRB",
"Dublin","Alameda County","1990-1999","2485","248.5","1158","115.8","1327","132.7","CIRB",
"Emeryville","Alameda County","1990-1999","788","78.8","11","1.1","777","77.7","CIRB",
"Fremont","Alameda County","1990-1999","7496","749.6","4175","417.5","3321","332.1","CIRB",
"Hayward","Alameda County","1990-1999","2844","284.4","1754","175.4","1090","109.0","CIRB",
"Livermore","Alameda County","1990-1999","4780","478.0","4362","436.2","418","41.8","CIRB",
"Newark","Alameda County","1990-1999","852","85.2","520","52.0","332","33.2","CIRB",
"Oakland","Alameda County","1990-1999","5319","531.9","2897","289.7","2422","242.2","CIRB",
"Piedmont","Alameda County","1990-1999","19","1.9","19","1.9","0","0.0","CIRB",
"Pleasanton","Alameda County","1990-1999","4217","421.7","3566","356.6","651","65.1","CIRB",
"San Leandro","Alameda County","1990-1999","1350","135.0","1295","129.5","55","5.5","CIRB",
"Union City","Alameda County","1990-1999","2815","281.5","2636","263.6","179","17.9","CIRB",
"Antioch","Contra Costa County","1990-1999","7395","739.5","6956","695.6","439","43.9","CIRB",
"Brentwood","Contra Costa County","1990-1999","5203","520.3","4831","483.1","372","37.2","CIRB",
"Clayton","Contra Costa County","1990-1999","0","0.0","0","0.0","0","0.0","CIRB",
"Concord","Contra Costa County","1990-1999","1095","109.5","864","86.4","231","23.1","CIRB",
"Contra Costa County Unincorporated","Contra Costa County","1990-1999","11719","1171.9","9715","971.5","2004","200.4","CIRB",
"Danville","Contra Costa County","1990-1999","3082","308.2","2993","299.3","89","8.9","CIRB",
"El Cerrito","Contra Costa County","1990-1999","189","18.9","54","5.4","135","13.5","CIRB",
"Hercules","Contra Costa County","1990-1999","689","68.9","327","32.7","362","36.2","CIRB",
"Lafayette","Contra Costa County","1990-1999","0","0.0","0","0.0","0","0.0","CIRB",
"Martinez","Contra Costa County","1990-1999","870","87.0","863","86.3","7","0.7","CIRB",
"Moraga","Contra Costa County","1990-1999","0","0.0","0","0.0","0","0.0","CIRB",
"Oakley","Contra Costa County","1990-1999","0","0.0","0","0.0","0","0.0","CIRB",
