"region","year","population","percentchng_1960","source"
"Bay Area","1960","3638939","0","Census"
"Bay Area","1961","3793100","0.042","DOF_E6"
"Bay Area","1962","3920900","0.077","DOF_E6"
"Bay Area","1963","4046100","0.112","DOF_E6"
"Bay Area","1964","4162400","0.144","DOF_E6"
"Bay Area","1965","4258700","0.17","DOF_E6"
"Bay Area","1966","4352000","0.196","DOF_E6"
"Bay Area","1967","4457500","0.225","DOF_E6"
"Bay Area","1968","4517400","0.241","DOF_E6"
"Bay Area","1969","4594400","0.263","DOF_E6"
"Bay Area","1970","4632314","0.273","Census"
"Bay Area","1971","4677300","0.285","DOF_E4"
"Bay Area","1972","4736600","0.302","DOF_E4"
"Bay Area","1973","4779800","0.314","DOF_E4"
"Bay Area","1974","4823900","0.326","DOF_E4"
"Bay Area","1975","4869900","0.338","DOF_E4"
"Bay Area","1976","4927700","0.354","DOF_E4"
"Bay Area","1977","4988600","0.371","DOF_E4"
"Bay Area","1978","5050200","0.388","DOF_E4"
"Bay Area","1979","5099300","0.401","DOF_E4"
"Bay Area","1980","5179784","0.423","Census"
"Bay Area","1981","5235400","0.439","DOF_E4"
"Bay Area","1982","5308900","0.459","DOF_E4"
"Bay Area","1983","5391200","0.482","DOF_E4"
"Bay Area","1984","5471300","0.504","DOF_E4"
"Bay Area","1985","5547300","0.524","DOF_E4"
"Bay Area","1986","5633900","0.548","DOF_E4"
"Bay Area","1987","5706600","0.568","DOF_E4"
"Bay Area","1988","5793100","0.592","DOF_E4"
"Bay Area","1989","5891900","0.619","DOF_E4"
"Bay Area","1990","6020147","0.654","Census"
"Bay Area","1991","6063929","0.666","DOF_E8"
"Bay Area","1992","6150405","0.69","DOF_E8"
"Bay Area","1993","6236622","0.714","DOF_E8"
"Bay Area","1994","6296661","0.73","DOF_E8"
"Bay Area","1995","6330094","0.74","DOF_E8"
"Bay Area","1996","6375868","0.752","DOF_E8"
"Bay Area","1997","6462873","0.776","DOF_E8"
"Bay Area","1998","6566673","0.805","DOF_E8"
"Bay Area","1999","6659001","0.83","DOF_E8"
"Bay Area","2000","6757390","0.857","DOF_E8"
"Bay Area","2001","6833626","0.878","DOF_E8"
"Bay Area","2002","6869180","0.888","DOF_E8"
"Bay Area","2003","6883559","0.892","DOF_E8"
"Bay Area","2004","6895600","0.895","DOF_E8"
"Bay Area","2005","6900602","0.896","DOF_E8"
"Bay Area","2006","6915872","0.901","DOF_E8"
"Bay Area","2007","6964364","0.914","DOF_E8"
"Bay Area","2008","7033325","0.933","DOF_E8"
"Bay Area","2009","7094889","0.95","DOF_E8"
"Bay Area","2010","7150739","0.965","DOF_E5"
"Bay Area","2011","7231698","0.987","DOF_E5"
"Bay Area","2012","7319468","1.011","DOF_E5"
"Bay Area","2013","7417430","1.038","DOF_E5"
"Bay Area","2014","7497928","1.06","DOF_E5"
"Bay Area","2015","7585062","1.084","DOF_E5"
"Bay Area","2016","7657010","1.104","DOF_E5"
"Bay Area","2017","7711181","1.119","DOF_E5"
"Bay Area","2018","7751650","1.13","DOF_E5"
