"sensor_location","address","city","geometry","zip"
"Sebastopol","103 Morris St, Suite T","Sebastopol","POINT (-122.818294 38.403765)","95472.0"
"San Jose - Knox","1007 Knox Ave","San Jose","POINT (-121.849892 37.338202)","94122.0"
"Oakland - Laney College",,"Oakland","POINT (-122.263 37.796)","94607.0"
"Point Reyes",,"Point Reyes","POINT (-122.908333 38.123056)",
"Napa","2552 Jefferson St","Napa","POINT (-122.2961 38.311)","94558.0"
"San Pablo","1865-D Rumrill Boulevard","San Pablo","POINT (-122.3568 37.9604)","94806.0"
"Oakland - West","1100 - 21st Street","Oakland","POINT (-122.282347 37.814781)","94607.0"
"Gilroy","9th & Prince Valle St","Gilroy","POINT (-121.5747 36.9995)","95020.0"
"San Rafael","534 4th Street","San Rafael","POINT (-122.5202 37.9723)","94901.0"
"Fremont","40733 Chapel Way","Fremont","POINT (-121.9619 37.5358)","94538.0"
"Oakland - Primary","9925 International Blvd., #11","Oakland","POINT (-122.1699 37.7431)","94603.0"
"San Jose - Tully","528 Tully Road","San Jose","POINT (-121.8489 37.3062)","95111.0"
"Santa Rosa","837 5th Street","Santa Rosa","POINT (-122.7102 38.4435)","95404.0"
"Vallejo","304 Tuolumne Street","Vallejo","POINT (-122.2382 38.1027)","94590.0"
"San Jose - Primary","158-B E. Jackson Street","San Jose","POINT (-121.895 37.3485)","95112.0"
"Redwood City","897 Barron Avenue","Redwood City","POINT (-122.2034 37.4829)","94063.0"
"San Francisco","10 Arkansas Street","San Francisco","POINT (-122.3991 37.766)","94107.0"
"Livermore","793 Rincon Avenue","Livermore","POINT (-121.7842 37.6875)","94551.0"
"Concord","2956-A Treat Boulevard","Concord","POINT (-122.0262 37.936)","94518.0"
