"county","year","vmt","population","population_adj","vmtpc","source1","source2"
"Alameda County","2001","35113900","1457185","1444720","24.3","Ct_HPMSLib","DOF"
"Alameda County","2002","38469430","1467063","1454514","26.4","Ct_HPMSLib","DOF"
"Alameda County","2003","38501270","1467892","1455336","26.5","Ct_HPMSLib","DOF"
"Alameda County","2004","39362620","1466407","1453863","27.1","Ct_HPMSLib","DOF"
"Alameda County","2005","39232580","1462736","1450224","27.1","Ct_HPMSLib","DOF"
"Alameda County","2006","39327700","1462371","1449862","27.1","Ct_HPMSLib","DOF"
"Alameda County","2007","38391920","1470622","1458042","26.3","Ct_HPMSLib","DOF"
"Alameda County","2008","38405830","1484085","1471390","26.1","Ct_HPMSLib","DOF"
"Alameda County","2009","37692690","1497799","1484987","25.4","Ct_HPMSLib","DOF"
"Alameda County","2010","35715490","1510271","1497352","23.9","Ct_HPMSLib","DOF"
"Alameda County","2011","36531750","1525695","1512644","24.2","Ct_HPMSLib","DOF"
"Alameda County","2012","42332420","1543027","1529828","27.7","Ct_HPMSLib_revised","DOF"
"Alameda County","2013","40243280","1566339","1552941","25.9","Ct_HPMSLib_revised","DOF"
"Alameda County","2014","41337430","1587637","1574056","26.3","Ct_HPMSLib","DOF"
"Contra Costa County","2001","20938600","962076","957168","21.9","Ct_HPMSLib","DOF"
"Contra Costa County","2002","22122840","974657","969685","22.8","Ct_HPMSLib","DOF"
"Contra Costa County","2003","22766550","984256","979235","23.2","Ct_HPMSLib","DOF"
"Contra Costa County","2004","23182040","993958","988887","23.4","Ct_HPMSLib","DOF"
"Contra Costa County","2005","23382350","1001216","996108","23.5","Ct_HPMSLib","DOF"
"Contra Costa County","2006","23124320","1007169","1002031","23.1","Ct_HPMSLib","DOF"
"Contra Costa County","2007","22817200","1015672","1010491","22.6","Ct_HPMSLib","DOF"
"Contra Costa County","2008","22442650","1027264","1022024","22.0","Ct_HPMSLib","DOF"
"Contra Costa County","2009","22431290","1038390","1033093","21.7","Ct_HPMSLib","DOF"
"Contra Costa County","2010","21855790","1049025","1043674","20.9","Ct_HPMSLib","DOF"
"Contra Costa County","2011","22758110","1059495","1054090","21.6","Ct_HPMSLib","DOF"
"Contra Costa County","2012","22139470","1069977","1064519","20.8","Ct_HPMSLib_revised","DOF"
"Contra Costa County","2013","22468150","1083340","1077813","20.8","Ct_HPMSLib_revised","DOF"
"Contra Costa County","2014","22827630","1097172","1091575","20.9","Ct_HPMSLib","DOF"
"Marin County","2001","7513990","247590","241408","31.1","Ct_HPMSLib","DOF"
"Marin County","2002","7980000","247567","241386","33.1","Ct_HPMSLib","DOF"
