"city","county","year","median_contract_rent","median_contract_rent_ia","median_contract_rent_perchg1970","median_contract_rent_ia_perchg1970","source"
"Alameda","Alameda County","1970","128","933","0","0","Census_1970_imputed"
"Alameda","Alameda County","1980","257","879","1.01","-0.06","Census_1980"
"Alameda","Alameda County","1990","632","1315","3.94","0.41","Census_1990"
"Alameda","Alameda County","2000","851","1298","5.65","0.39","Census_2000"
"Alameda","Alameda County","2009","1170","1433","8.14","0.54","ACS_5YR"
"Alameda","Alameda County","2010","1185","1432","8.26","0.53","ACS_5YR"
"Alameda","Alameda County","2011","1236","1456","8.66","0.56","ACS_5YR"
"Alameda","Alameda County","2012","1277","1465","8.98","0.57","ACS_5YR"
"Alameda","Alameda County","2013","1270","1425","8.92","0.53","ACS_5YR"
"Alameda","Alameda County","2014","1310","1429","9.24","0.53","ACS_5YR"
"Alameda","Alameda County","2015","1349","1434","9.54","0.54","ACS_5YR"
"Alameda","Alameda County","2016","1413","1459","10.04","0.56","ACS_5YR"
"Alameda","Alameda County","2017","1535","1535","11","0.64","ACS_5YR"
"Albany","Alameda County","1970","122","889","0","0","Census_1970_imputed"
"Albany","Alameda County","1980","242","828","0.98","-0.07","Census_1980"
"Albany","Alameda County","1990","608","1265","3.99","0.42","Census_1990"
"Albany","Alameda County","2000","890","1358","6.3","0.53","Census_2000"
"Albany","Alameda County","2009","1335","1636","9.95","0.84","ACS_5YR"
"Albany","Alameda County","2010","1366","1651","10.2","0.86","ACS_5YR"
"Albany","Alameda County","2011","1478","1741","11.12","0.96","ACS_5YR"
"Albany","Alameda County","2012","1483","1701","11.16","0.91","ACS_5YR"
"Albany","Alameda County","2013","1566","1757","11.84","0.98","ACS_5YR"
"Albany","Alameda County","2014","1582","1726","11.98","0.94","ACS_5YR"
"Albany","Alameda County","2015","1591","1692","12.05","0.9","ACS_5YR"
"Albany","Alameda County","2016","1604","1656","12.16","0.86","ACS_5YR"
"Albany","Alameda County","2017","1686","1686","12.83","0.9","ACS_5YR"
"American Canyon","Napa County","1970",,,,,"Census_1970_imputed"
"American Canyon","Napa County","1980","275","940",,,"Census_1980"
"American Canyon","Napa County","1990","607","1263",,,"Census_1990"
"American Canyon","Napa County","2000","798","1217",,,"Census_2000"
"American Canyon","Napa County","2009","1242","1522",,,"ACS_5YR"
"American Canyon","Napa County","2010","1359","1643",,,"ACS_5YR"
"American Canyon","Napa County","2011","1559","1836",,,"ACS_5YR"
"American Canyon","Napa County","2012","1621","1860",,,"ACS_5YR"
"American Canyon","Napa County","2013","1553","1743",,,"ACS_5YR"
"American Canyon","Napa County","2014","1543","1683",,,"ACS_5YR"
"American Canyon","Napa County","2015","1511","1607",,,"ACS_5YR"
"American Canyon","Napa County","2016","1513","1562",,,"ACS_5YR"
"American Canyon","Napa County","2017","1643","1643",,,"ACS_5YR"
"Antioch","Contra Costa County","1970","100","730","0","0","Census_1970_imputed"
"Antioch","Contra Costa County","1980","235","804","1.35","0.1","Census_1980"
"Antioch","Contra Costa County","1990","565","1176","4.65","0.61","Census_1990"
"Antioch","Contra Costa County","2000","707","1079","6.07","0.48","Census_2000"
"Antioch","Contra Costa County","2009","1070","1311","9.7","0.8","ACS_5YR"
"Antioch","Contra Costa County","2010","1119","1352","10.19","0.85","ACS_5YR"
"Antioch","Contra Costa County","2011","1169","1377","10.69","0.89","ACS_5YR"
"Antioch","Contra Costa County","2012","1164","1335","10.64","0.83","ACS_5YR"
"Antioch","Contra Costa County","2013","1172","1315","10.72","0.8","ACS_5YR"
"Antioch","Contra Costa County","2014","1213","1323","11.13","0.81","ACS_5YR"
"Antioch","Contra Costa County","2015","1220","1297","11.2","0.78","ACS_5YR"
"Antioch","Contra Costa County","2016","1269","1310","11.68","0.8","ACS_5YR"
"Antioch","Contra Costa County","2017","1409","1409","13.08","0.93","ACS_5YR"
"Atherton","San Mateo County","1970","145","1056","0","0","Census_1970_imputed"
"Atherton","San Mateo County","1980","501","1713","2.46","0.62","Census_1980"
"Atherton","San Mateo County","1990","1001","2083","5.91","0.97","Census_1990"
"Atherton","San Mateo County","2000","2001","3053","12.82","1.89","Census_2000"
"Atherton","San Mateo County","2009","2001","2452","12.82","1.32","ACS_5YR"
"Atherton","San Mateo County","2010","2001","2418","12.82","1.29","ACS_5YR"
"Atherton","San Mateo County","2011","2001","2357","12.82","1.23","ACS_5YR"
"Atherton","San Mateo County","2012","2001","2296","12.82","1.17","ACS_5YR"
"Atherton","San Mateo County","2013","2001","2245","12.82","1.13","ACS_5YR"
"Atherton","San Mateo County","2014","2001","2183","12.82","1.07","ACS_5YR"
"Atherton","San Mateo County","2015","3074","3268","20.22","2.09","ACS_5YR"
"Atherton","San Mateo County","2016","2618","2702","17.08","1.56","ACS_5YR"
"Atherton","San Mateo County","2017","3245","3245","21.4","2.07","ACS_5YR"
"Belmont","San Mateo County","1970","180","1311","0","0","Census_1970_imputed"
"Belmont","San Mateo County","1980","331","1132","0.84","-0.14","Census_1980"
"Belmont","San Mateo County","1990","697","1451","2.88","0.11","Census_1990"
"Belmont","San Mateo County","2000","1058","1614","4.88","0.23","Census_2000"
"Belmont","San Mateo County","2009","1273","1560","6.08","0.19","ACS_5YR"
"Belmont","San Mateo County","2010","1337","1616","6.44","0.23","ACS_5YR"
"Belmont","San Mateo County","2011","1401","1650","6.79","0.26","ACS_5YR"
"Belmont","San Mateo County","2012","1460","1675","7.12","0.28","ACS_5YR"
"Belmont","San Mateo County","2013","1498","1681","7.33","0.28","ACS_5YR"
"Belmont","San Mateo County","2014","1528","1667","7.5","0.27","ACS_5YR"
"Belmont","San Mateo County","2015","1627","1730","8.05","0.32","ACS_5YR"
"Belmont","San Mateo County","2016","1723","1779","8.58","0.36","ACS_5YR"
"Belmont","San Mateo County","2017","1865","1865","9.37","0.42","ACS_5YR"
"Belvedere","Marin County","1970","274","2000","0","0","Census_1970_imputed"
"Belvedere","Marin County","1980","501","1713","0.83","-0.14","Census_1980"
"Belvedere","Marin County","1990","1001","2083","2.65","0.04","Census_1990"
"Belvedere","Marin County","2000","1915","2922","5.98","0.46","Census_2000"
"Belvedere","Marin County","2009","2001","2452","6.29","0.23","ACS_5YR"
"Belvedere","Marin County","2010","2001","2418","6.29","0.21","ACS_5YR"
"Belvedere","Marin County","2011","2001","2357","6.29","0.18","ACS_5YR"
"Belvedere","Marin County","2012","2001","2296","6.29","0.15","ACS_5YR"
"Belvedere","Marin County","2013","2001","2245","6.29","0.12","ACS_5YR"
