"the_geom","objectid","businessaddress","businessname","city","ownername","permittype","state","suite","zip","locationx","locationy"
"POINT (-89.98063037259 30.015005672617)","102","9000 CHEF MENTEUR HWY","SHE SHE'S","NEW ORLEANS","CODE INC","8594 - Adult Entertainment/Admission Charged","LA","K","70127","3708934.39985","553474.280215"
"POINT (-90.066628918584 29.957396895834)","10","522 BOURBON ST","BOOT SCOOTIN RODEO","NEW ORLEANS","RS 522 ENTERTAINMENT LLC","8593 - Adult Entertainment/No Admission Charged","LA",,"70130","3681950.58152","532214.444483"
"POINT (-90.057002877285 29.967351475427)","72","940 ELYSIAN FIELDS AVE","MAG'S 940","NEW ORLEANS","MAGGIE'S 940, LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70117","3684958.32297","535868.119239"
"POINT (-90.068616384222 29.955481358198)","12","241 BOURBON ST","BOURBON COWBOY","NEW ORLEANS","241 ENTERPRISES LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3681328.94325","531510.932611"
"POINT (-90.065199381619 29.950002934943)","117","6 CANAL ST","THE FILLMORE","NEW ORLEANS","FILLMORE NEW ORLEANS CORP.","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70130","3682432.99778","529530.736449"
"POINT (-90.131995604757 29.948996608429)","77","8316 OAK ST","MAPLE LEAF BAR","NEW ORLEANS","ROSAX CORP","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70118","3661284.33357","528936.86208"
"POINT (-90.068090278843 29.956063310874)","93","327 BOURBON ST","RB CABARET","NEW ORLEANS","RB BOURBON,LLC","8594 - Adult Entertainment/Admission Charged","LA",,"70130","3681493.20015","531724.391427"
"POINT (-90.06832530473 29.955758653291)","18","311 BOURBON ST","CAFE BEIGNET IV","NEW ORLEANS","CAFE BEIGNET, LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3681420.00156","531612.784835"
"POINT (-90.050190360861 29.954982667334)","81","545 PATTERSON ST","OLD POINT BAR","NEW ORLEANS","POINT INVESTMENTS CO INC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70114","3687165.63964","531394.460099"
"POINT (-90.07273828513 29.934189676319)","57","1507 MAGAZINE ST","HOTEL ST VINCENT","NEW ORLEANS","1507 MAGAZINE OPEERATOR, LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70130","3680108.90587","523754.118971"
"POINT (-90.064894368391 29.959591812284)","14","801 BOURBON ST","BOURBON PUB & PARADE DISCO","NEW ORLEANS","SCORPIO RISING INC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3682490.98735","533018.672772"
"POINT (-90.057834067811 29.963188942005)","9","532 FRENCHMEN ST","BLUE NILE","NEW ORLEANS","MILA, LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3684712.00399","534351.538117"
"POINT (-90.06878127004 29.955246428302)","114","227 BOURBON ST","THE BEACH ON BOURBON","NEW ORLEANS","JTMC ENTERPRISES LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3681277.67452","531424.927171"
"POINT (-90.069525160203 29.954417633738)","53","125 BOURBON ST","HARD ROCK CAFE","NEW ORLEANS","HARD ROCK CAFE INTL. STP  INC ATTN: TAX DEPARTMENT","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70130","3681045.44232","531120.948546"
"POINT (-90.045725011789 29.968576692677)","80","1117 MONTEGUT ST","N7","NEW ORLEANS","LA JETEE LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70117","3688524.06473","536353.602823"
"POINT (-90.071483219135 29.984114477906)","125","1915 N BROAD ST","THE SHOWCASE BAR LOUNGE","NEW ORLEANS","TURTLE CREEK ENTERPRISE INC","8594 - Adult Entertainment/Admission Charged","LA",,"70119","3680306.48629","541913.004556"
"POINT (-90.076666382294 29.96710817373)","24","2101 ORLEANS AVE","CARVER THEATER","NEW ORLEANS","CARVER THEATER PRODUCTIONS LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA","STE A","70016","3678733.51086","535710.831879"
"POINT (-90.065217251729 29.954224652782)","63","331 DECATUR ST","KERRY IRISH PUB","NEW ORLEANS","KERRY ROSE CORP","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3682410.34901","531065.844866"
"POINT (-90.129144147123 29.949330284698)","23","8140 WILLOW ST","CARROLLTON STATION","NEW ORLEANS","EJO INCORPORATED","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70118","3662186.04723","529067.678336"
"POINT (-90.066107617022 29.957977104078)","140","610 BOURBON ST","TROP ISLE'S ORIG PAPA JOE'S   LOUNGE","NEW ORLEANS","TROP ISLE'S ORIG PAPA JO INC","8405 - Orchestras in Businesses/No Admission Charged","LA",,"70112","3682113.31727","532427.254787"
"POINT (-90.067213934485 29.956996341245)","11","441 BOURBON ST","BOURBON BANDSTAND","NEW ORLEANS","PROMENADE ENTERTAINMENT, L.L.C.","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3681766.94709","532066.740803"
