"service_request","request_type","request_reason","date_created","date_modified","case_close_date","request_status","responsible_agency","final_address","address_councildis","status","contractor","contractor_action","rowid","final_x","final_y","longitude","latitude","geocoded_column"
"2019-631621",,,"2019-11-06T15:32:28.000","2019-11-06T15:32:28.000",,"Pending",,,,,,,"631621",,,"0.0","0.0","(0.0, 0.0)"
"2021-830021","COVID-19","COVID-19 Business Non-Compliance","2021-10-05T21:40:15.000","2021-10-05T21:40:16.000",,"Pending","Safety and Permits","823 Fulton St","B","Pending",,,"830021","3682388.0582","527339.970943","-90.06541220899426","29.943975020749342","(29.943975020749342, -90.06541220899426)"
"2021-821555","Trash/Recycling","Missed Trash Pick-Up","2021-09-15T22:10:42.000","2021-12-15T10:24:59.000","2021-12-15T04:24:59.000","Closed","Department of Sanitation","1672 Rousselin Dr","D","Resolved","Metro Disposal",,"821555","3679749.12072","540389.463435","-90.07329098789097","29.979936715115272","(29.979936715115272, -90.07329098789097)"
"2021-821553","Trash/Recycling","Missed Trash Pick-Up","2021-09-15T21:54:40.000","2021-12-15T10:25:14.000","2021-12-15T04:25:14.000","Closed","Department of Sanitation","1334 Bartholomew St","D","Resolved","Metro Disposal",,"821553","3692020.01737","536332.253319","-90.03467980744881","29.96840408736077","(29.96840408736077, -90.03467980744881)"
"2021-821552","Trash/Recycling","Missed Trash Pick-Up","2021-09-15T21:46:53.000","2021-12-15T10:25:55.000","2021-12-15T04:25:55.000","Closed","Department of Sanitation","1564 N Prieur St","D","Resolved","Metro Disposal",,"821552","3681296.45192","538269.626889","-90.06847778672835","29.97406102351161","(29.97406102351161, -90.06847778672835)"
"2022-913195","Roads/Drainage","Street Flooding / Drainage","2022-08-24T18:39:22.000","2022-08-24T18:39:22.000",,"Pending","Department of Public Works","2929 Lepage St","A","Pending",,,"913195","3676935.89602","540081.819339","-90.08218693034327","29.979175563522716","(29.979175563522716, -90.08218693034327)"
"2022-913166","Abandoned Vehicles","Abandoned/Junk Vehicles","2022-08-24T16:22:22.000","2022-08-24T16:33:54.000",,"Pending","Department of Public Works","FONTAINEBLEAU DR & OCTAVIA ST","B","Pending",,,"913166","3668843.5","529722.78","-90.1080957977218","29.950932129907887","(29.950932129907887, -90.1080957977218)"
"2021-817908","Trash/Recycling","Illegal Dumping","2021-09-09T11:15:12.000","2022-01-18T13:53:43.000","2022-01-18T07:53:43.000","Closed","Department of Sanitation","3320 Palmyra St","B","Resolved",,,"817908","3672889.5716","535868.466119","-90.09511062584782","29.96771113506176","(29.96771113506176, -90.09511062584782)"
"2021-845875","Trash/Recycling","Order Trash Cart","2021-12-04T01:38:45.000","2022-05-18T09:56:18.000","2022-05-18T04:56:18.000","Closed","Department of Sanitation","2511 Touro St","D","Resolved","Metro Disposal",,"845875","3683861.03356","541514.360652","-90.0602644117298","29.982904814657683","(29.982904814657683, -90.0602644117298)"
"2021-845942","Traffic Signals/Signs/Striping/Streetlights","Street Light Outage/Malfunction","2021-12-04T22:13:42.000","2022-08-11T10:32:10.000",,"Pending","Department of Public Works","2613 Soniat St","B","Pending","Legacy Professional Services",,"845942","3668582.57479","525081.193149","-90.10907625840711","29.938176940529708","(29.938176940529708, -90.10907625840711)"
"2021-845936","Traffic Signals/Signs/Striping/Streetlights","Street Light Outage/Malfunction","2021-12-04T19:47:05.000","2022-08-11T10:32:51.000",,"Pending","Department of Public Works","3530 Hyman Ct","C","Pending","Legacy Professional Services",,"845936","3700995.31921","517971.407478","-90.00700673637469","29.917635453228566","(29.917635453228566, -90.00700673637469)"
"2021-782986","Safety & Permits","Safety & Permits Request (Cyber Incident Back Up)","2021-06-04T17:18:25.000","2021-06-23T10:11:20.000","2021-06-23T05:11:20.000","Closed","Safety and Permits",,,"Resolved",,,"782986",,,"0.0","0.0","(0.0, 0.0)"
"2021-845874","Traffic Signals/Signs/Striping/Streetlights","Street Light Outage/Malfunction","2021-12-04T00:02:10.000","2022-08-11T10:29:45.000",,"Pending","Department of Public Works","5918 General Haig St","A","Pending","Legacy Professional Services",,"845874","3670422.79316","546599.833809","-90.10253677086548","29.997291806725396","(29.997291806725396, -90.10253677086548)"
"2021-845881","Trash/Recycling","Replace Trash Cart","2021-12-04T08:29:38.000","2021-12-04T09:00:20.000",,"Pending","Department of Sanitation","2807 N Rocheblave St","D","Assigned to Contractor","Metro Disposal",,"845881","3687968.25007","541397.764748","-90.04729590603692","29.98245810431987","(29.98245810431987, -90.04729590603692)"
"2019-629157",,,"2019-10-26T05:49:42.000","2019-10-26T05:49:42.000",,"Pending",,,,,,,"629157",,,"0.0","0.0","(0.0, 0.0)"
"2021-845917","Property Maintenance","Property Maintenance","2021-12-04T13:59:02.000","2021-12-04T13:59:02.000",,"Pending","Department of Code Enforcement","1202 Marengo St","B","Pending",,,"845917","3671958.78644","519964.080248","-90.0985913105435","29.924006908430712","(29.924006908430712, -90.0985913105435)"
"2019-633423",,,"2019-11-18T11:34:01.000","2019-11-18T11:34:01.000",,"Pending",,,,,,,"633423",,,"0.0","0.0","(0.0, 0.0)"
"2021-815810","Roads/Drainage","Catch Basin - Clogged","2021-08-30T12:43:34.000","2022-08-03T09:11:42.000","2022-08-03T04:11:42.000","Closed","Department of Public Works","6939 General Haig St","A","Resolved",,,"815810","3671210.37467","553441.375127","-90.09981616514348","30.016080357051052","(30.016080357051052, -90.09981616514348)"
"2021-845903","Trash/Recycling","Request a Large Item Pick Up","2021-12-04T11:20:06.000","2022-01-15T10:41:01.000","2022-01-15T04:41:01.000","Closed","Department of Sanitation","1933 Eagle St","A","Resolved","Richards Disposal",,"845903","3662007.18727","532045.496771","-90.12960448938402","29.95751808192908","(29.95751808192908, -90.12960448938402)"
"2021-845916","Trash/Recycling","Replace Trash Cart","2021-12-04T13:58:34.000","2022-01-31T15:34:19.000","2022-01-31T09:34:19.000","Closed","Department of Sanitation","2306 Dante St, New Orleans, Louisiana, 70118","A","Resolved","Richards Disposal",,"845916","3664051.90266","531802.261571","-90.12315596649945","29.956790042622917","(29.956790042622917, -90.12315596649945)"
"2019-628396",,,"2019-10-22T14:51:58.000","2019-10-22T14:51:58.000",,"Pending",,,,,,,"628396",,,"0.0","0.0","(0.0, 0.0)"
"2019-633824",,,"2019-11-20T10:09:49.000","2019-11-20T10:09:49.000",,"Pending",,,,,,,"633824",,,"0.0","0.0","(0.0, 0.0)"
"2021-815679","Parks & Parkways","Request Tree Service (Right of Way/Public Property)","2021-08-28T18:47:03.000","2021-10-19T22:21:26.000","2021-08-29T04:21:01.000","Closed","Department of Parks & Parkway","2503 Calhoun St","A","Resolved",,,"815679","3666248.44186","526056.810622","-90.11641264735123","29.940927942737243","(29.940927942737243, -90.11641264735123)"
"2021-815657","Trash/Recycling","Missed Trash Pick-Up","2021-08-28T16:37:45.000","2021-10-19T22:21:42.000",,"Pending","Department of Sanitation","New Orleans,LA",,"Assigned to Contractor",,,"815657",,,"0.0","0.0","(0.0, 0.0)"
"2019-628405",,,"2019-10-22T15:02:38.000","2019-10-22T15:02:38.000",,"Pending",,,,,,,"628405",,,"0.0","0.0","(0.0, 0.0)"
"2021-815636","Safety & Permits","Licenses & Permits","2021-08-28T15:32:33.000","2021-10-19T22:22:03.000",,"Pending","Safety and Permits","New Orleans,LA","A","Pending",,,"815636","3665211.6","531273.88","-90.11951167167281","29.95530343631452","(29.95530343631452, -90.11951167167281)"
