"ticket_id","issue_type","ticket_created_date_time","ticket_closed_date_time","ticket_status","issue_description","street_address","neighborhood_district","council_district","city","state","zip_code","location","geom","latitude","longitude","closure_reason","case_title"
"101000847991","Street Light","2018-08-21T14:03:55.000","2018-08-28T09:38:35.000","Closed","Issue: Outage Or Cycling | Pole number: PB164","5417 Constance St","WEST RIVERSIDE","A","NEW ORLEANS","LA","70115","(29.9202224971517, -90.1157700850457)",,"29.9202224971517","-90.1157700850457","Case is Invalid","Streetlight - Outage Or Cycling"
"101000847903","Large Item Trash/Garbage Pickup","2018-08-21T12:29:40.000","2018-08-28T10:51:27.000","Closed","Description of item: 4 bags of trash","1801 S White St","BROADMOOR","B","NEW ORLEANS","LA","70125","(29.950804540038, -90.1019344489206)",,"29.950804540038","-90.1019344489206","Case Resolved","Large Item Trash/Garbage Pickup"
"101000849742","Pothole/Roadway Surface Repair","2018-08-24T14:41:00.000","2018-08-28T09:38:50.000","Closed","Street area affected: Travel Lane / Roadway | Running water: No | Standing Water: No | Rocks: No","MAYO RD & I 10 E SERVICE RD","WEST LAKE FOREST","E","NEW ORLEANS","LA","70126","(30.0271568286374, -90.0028355253192)",,"30.0271568286374","-90.0028355253192",,"Pothole/Roadway Surface Repair (District E)"
"101000847653","Trash/Garbage Pickup","2018-08-20T16:28:36.000","2018-08-28T14:03:28.000","Closed","Issue: Replace Trash Cart","4038 DHemecourt St","MID-CITY","A","NEW ORLEANS","LA","70119","(29.9699067477013, -90.1045471973296)",,"29.9699067477013","-90.1045471973296","Case Resolved","Replace Trash Cart"
"101000850848","Code Enforcement General Request","2018-08-28T11:34:00.000","2018-08-28T13:02:24.000","Closed","| High Weeds: Yes","712 Diana St","McDONOGH","C","NEW ORLEANS","LA","70114","(29.9446163523183, -90.0491191933234)",,"29.9446163523183","-90.0491191933234","Case Resolved","Code Enforcement General Request"
"101000850908","Traffic Signal","2018-08-28T12:28:00.000",,"Open","Type of Traffic Signal: Red, Yellow, or Green Traffic Signal | Request for: Other | How much of intesection is impacted: Entire Intersection","GRAVIER ST & CAMP ST","CENTRAL BUSINESS DISTRICT","B","NEW ORLEANS","LA","70130","(29.9510401435263, -90.0688490251451)",,"29.9510401435263","-90.0688490251451",,"Traffic Signal Other"
"101000843537","General Service Request","2018-08-10T09:56:24.000","2018-08-28T16:08:40.000","Closed","[Call 311 for details]",,"CENTRAL CITY","B","NEW ORLEANS","LA","70125","(29.9440295275344, -90.0925689253309)",,"29.9440295275344","-90.0925689253309","Case Resolved","Finance - Revenue"
"101000789236","Abandoned Vehicle Reporting/Removal","2018-03-22T10:18:00.000","2018-08-28T15:54:36.000","Closed","Color: Blue | Make: Ford | Model: F150 | License plate (state): LA - Louisiana | License plate: ************** | VIN: UKNOWN | Cross Street: S Robertson","2414 Robert St","FRERET","B","NEW ORLEANS","LA","70115","(29.9362239596106, -90.1085719926501)",,"29.9362239596106","-90.1085719926501",,"Abandoned Vehicle Stickered (5-day sticker)"
"101000828132","General Service Request","2018-07-06T10:03:41.000","2018-08-28T12:23:37.000","Closed","[Call 311 for details]",,,,,,,"(530187.70942, 3678691.8167)",,"530187.70942","3678691.8167","Case Resolved","Finance - Revenue"
"101000833540","Trash/Garbage Pickup","2018-07-18T14:22:28.000","2018-08-28T15:18:59.000","Closed","Issue: Start Trash Service","3035 Broadway St","MARLYVILLE - FONTAINEBLEAU","B","NEW ORLEANS","LA","70125","(29.9573867632316, -90.1109747193081)",,"29.9573867632316","-90.1109747193081","Case Resolved","Start Trash Service"
